form	lemma	POS	morph
Et	et	CONcoo	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
nule	nul	DETind	NOMB.=s|GENRE=f|CAS=r
rien	rien	NOMcom	NOMB.=s|GENRE=f|CAS=r
n	ne1	ADVneg	MORPH=empty
’	’	PONfbl	MORPH=empty
en	en2	PROadv	MORPH=empty
desdeigne	desdeignier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
si	si	ADVgen	DEGRE=-
ad	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
main	main2	NOMcom	NOMB.=s|GENRE=f|CAS=r
levee	lever	VERppe	NOMB.=s|GENRE=f|CAS=r
en	en1	PRE	MORPH=empty
halt	haut	NOMcom	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
:	:	PONfbl	MORPH=empty
«	«	PONfbl	MORPH=empty
Biau	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
Dex	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r
salt	sauver	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
!	!	PONfrt	MORPH=empty
Alez	aler	VERcjg	MODE=imp|PERS.=2|NOMB.=p
à	a3	PRE	MORPH=empty
Deu	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r
conduie	conduire	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
quer	car	CONcoo	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n
demore	demore	NOMcom	NOMB.=s|GENRE=f|CAS=n
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r
henuie	enoiier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
»	»	PONfbl	MORPH=empty
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
novels	novel	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
chevalier	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=n
s	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
’	’	PONfbl	MORPH=empty
en	en2	PROadv	MORPH=empty
part	partir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
oste	oste	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
mout	mout	ADVgen	DEGRE=-
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
