form	lemma	POS	morph
jour	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r
point	point	NOMcom	NOMB.=s|GENRE=m|CAS=r
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
mal	mal1	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
point	point	NOMcom	NOMB.=s|GENRE=m|CAS=r
oust	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
coe	cöe	NOMcom	NOMB.=s|GENRE=f|CAS=r
perdue	perdre	VERppe	NOMB.=s|GENRE=f|CAS=r
jors	jor	NOMcom	NOMB.=p|GENRE=m|CAS=r
oust	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
court	cort1	NOMcom	NOMB.=s|GENRE=f|CAS=r
tenue	tenir1	VERppe	NOMB.=s|GENRE=f|CAS=r
baron	baron	NOMcom	NOMB.=p|GENRE=m|CAS=n
furent	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r
samble	sembler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r
desvé	desver	VERppe	NOMB.=s|GENRE=m|CAS=r
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
coronner	coroner	VERppe	NOMB.=s|GENRE=m|CAS=r
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
feste	feste1	NOMcom	NOMB.=s|GENRE=f|CAS=r
firent	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
tabours	tabor	NOMcom	NOMB.=p|GENRE=m|CAS=r
vint	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
cours	cort2	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
fiert	ferir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
apert	apert1	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
chief	chief1	NOMcom	NOMB.=s|GENRE=m|CAS=r
apporte	aporter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
descovert	descovrir	VERppe	NOMB.=s|GENRE=m|CAS=r
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
couvrir	covrir	VERinf	MORPH=empty
virent	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
venir	venir	VERinf	MORPH=empty
conmencent	comencier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
gaber	gaber	VERinf	MORPH=empty
