form	lemma	POS	morph
L	le	DETdef	NOMB.=s|GENRE=f|CAS=r
Amor	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r
Jhesu	Jésus	NOMpro	NOMB.=s|GENRE=m|CAS=r
Crist	crist	NOMpro	NOMB.=s|GENRE=m|CAS=r
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
dirai	dire	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
bien	bien1	ADVgen	DEGRE=p
Totes	tot	DETind	NOMB.=p|GENRE=f|CAS=r
les	le	DETdef	NOMB.=p|GENRE=f|CAS=r
vertuz	vertu	NOMcom	NOMB.=p|GENRE=f|CAS=r
totes	tot	DETind	NOMB.=p|GENRE=f|CAS=r
les	le	DETdef	NOMB.=p|GENRE=f|CAS=r
bones	bon	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
ovres	uevre	NOMcom	NOMB.=p|GENRE=f|CAS=r
que	que2	PROrel	NOMB.=p|GENRE=f|CAS=r
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
qui	que2	PROrel	NOMB.=s|GENRE=m|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
charité	charité	NOMcom	NOMB.=s|GENRE=f|CAS=r
ceu	ce1	PROdem	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
l	le	DETdef	NOMB.=s|GENRE=f|CAS=n
amors	amor	NOMcom	NOMB.=s|GENRE=f|CAS=n
de	de	PRE	MORPH=empty
Dé	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r
e	et	CONcoo	MORPH=empty
l	le	DETdef	NOMB.=s|GENRE=f|CAS=n
amors	amor	NOMcom	NOMB.=s|GENRE=f|CAS=n
de	de	PRE	MORPH=empty
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
proeme	proisme	NOMcom	NOMB.=s|GENRE=m|CAS=r
en	en1	PRE	MORPH=empty
sei	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
santifiet	saintefiier	VERppe	NOMB.=s|GENRE=m|CAS=r
e	et	CONcoo	MORPH=empty
appareillet	apareillier1	VERppe	NOMB.=s|GENRE=m|CAS=r
que	que4	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
seit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
dignes	digne	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
gloire	gloire	NOMcom	NOMB.=s|GENRE=f|CAS=r
Nostre	nostre	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
Seignor	seignor	NOMpro	NOMB.=s|GENRE=m|CAS=r
que	que4	CONcoo	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=f|CAS=n
bones	bon	ADJqua	NOMB.=p|GENRE=f|CAS=n|DEGRE=p
ovres	uevre	NOMcom	NOMB.=p|GENRE=f|CAS=n
que	que2	PROrel	NOMB.=p|GENRE=f|CAS=r
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
maus	mal1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
qui	que2	PROrel	NOMB.=s|GENRE=m|CAS=n
charité	charité	NOMcom	NOMB.=s|GENRE=f|CAS=r
nen	ne1	ADVneg	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ne	ne1	ADVneg	MORPH=empty
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
faire	faire	VERinf	MORPH=empty
nul	nul	DETind	NOMB.=s|GENRE=m|CAS=r
bien	bien2	NOMcom	NOMB.=s|GENRE=m|CAS=r
à	a3	PRE	MORPH=empty
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
ops	ues	NOMcom	NOMB.=s|GENRE=m|CAS=r
Issi	issi	ADVgen	DEGRE=-
deit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
aveir	avoir	VERinf	MORPH=empty
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
