form	lemma	POS	morph
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mervelles	merveille	NOMcom	NOMB.=s|GENRE=f|CAS=n
vilain	vilain	NOMcom	NOMB.=s|GENRE=m|CAS=n
ies	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
rice	riche	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
Oiés	öir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
seignor	seignor	NOMcom	NOMB.=p|GENRE=m|CAS=n
croisse	croistre	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
bonté	bonté	NOMcom	NOMB.=s|GENRE=f|CAS=r
glorious	glorïos	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
crois	croiz	NOMcom	NOMB.=s|GENRE=f|CAS=r
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
pené	pener	VERppe	NOMB.=s|GENRE=m|CAS=n
orrés	öir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
canchon	chançon	NOMcom	NOMB.=s|GENRE=f|CAS=r
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
nobilité	nobilité	NOMcom	NOMB.=s|GENRE=f|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
peril	peril	NOMcom	NOMB.=s|GENRE=m|CAS=r
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
desmesurés	desmesurer	VERppe	NOMB.=s|GENRE=m|CAS=n
felons	felon	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
estre	estre1	VERinf	MORPH=empty
trovés	trover	VERppe	NOMB.=s|GENRE=m|CAS=n
volsist	voloir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
justichier	justicier1	VERinf	MORPH=empty
regne	regne	NOMcom	NOMB.=s|GENRE=m|CAS=r
esgarde	esgarder	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
demandé	demander	VERppe	NOMB.=s|GENRE=m|CAS=r
aparchut	apercevoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
bouche	boche	NOMcom	NOMB.=s|GENRE=f|CAS=r
nés	nase	NOMcom	NOMB.=s|GENRE=m|CAS=r
membra	membrer2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
marcis	marchis	NOMcom	NOMB.=s|GENRE=m|CAS=r
honoré	onorer	VERppe	NOMB.=s|GENRE=m|CAS=r
pere	pere	NOMcom	NOMB.=s|GENRE=m|CAS=r
barbé	barbé	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
lignage	lignage	NOMcom	NOMB.=s|GENRE=m|CAS=r
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
grevé	grever	VERppe	NOMB.=s|GENRE=m|CAS=r
souvint	sovenir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
dervé	desver	VERppe	NOMB.=s|GENRE=m|CAS=n
sans	sanc	NOMcom	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r
mué	müer	VERppe	NOMB.=s|GENRE=m|CAS=n
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
donés	doner	VERppe	NOMB.=s|GENRE=m|CAS=n
prendoie	prendre	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
doignon	donjon	NOMcom	NOMB.=s|GENRE=m|CAS=r
fermeté	fermeté	NOMcom	NOMB.=s|GENRE=f|CAS=r
somiers	somier2	NOMcom	NOMB.=s|GENRE=m|CAS=r
or	or1	NOMcom	NOMB.=s|GENRE=m|CAS=r
argent	argent	NOMcom	NOMB.=s|GENRE=m|CAS=r
trousé	torser2	VERppe	NOMB.=p|GENRE=m|CAS=r
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
cevals	cheval	NOMcom	NOMB.=p|GENRE=m|CAS=r
trainés	träiner	VERppe	NOMB.=s|GENRE=m|CAS=n
pendus	pendre	VERppe	NOMB.=s|GENRE=m|CAS=n
forques	forche	NOMcom	NOMB.=p|GENRE=f|CAS=r
vent	vent	NOMcom	NOMB.=s|GENRE=m|CAS=r
encroés	encröer	VERppe	NOMB.=s|GENRE=m|CAS=n
ars	ardre	VERppe	NOMB.=s|GENRE=m|CAS=n
feu	feu	NOMcom	NOMB.=s|GENRE=m|CAS=r
poudre	poudre	NOMcom	NOMB.=s|GENRE=f|CAS=n
venté	venter	VERppe	NOMB.=s|GENRE=f|CAS=n
ot	öir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ris	ris1	NOMcom	NOMB.=s|GENRE=m|CAS=r
jeté	jeter	VERppe	NOMB.=s|GENRE=m|CAS=r
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
entendés	entendre	VERcjg	MODE=imp|PERS.=2|NOMB.=p
cose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=r
demandés	demander	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
dirai	dire	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
grés	gré2	NOMcom	NOMB.=p|GENRE=m|CAS=r
fui	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
jouenes	juene	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
petit	petit	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
aé	aé	NOMcom	NOMB.=s|GENRE=m|CAS=r
estoie	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
leres	larron	NOMcom	NOMB.=s|GENRE=m|CAS=n
ert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
celé	celer1	VERppe	NOMB.=s|GENRE=m|CAS=n
copoie	coper	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
borses	borse	NOMcom	NOMB.=p|GENRE=f|CAS=r
grans	grant	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
gorles	gorle	NOMcom	NOMB.=p|GENRE=m|CAS=r
fermés	fermer	VERppe	NOMB.=p|GENRE=m|CAS=r
fui	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
pris	prendre	VERppe	NOMB.=s|GENRE=m|CAS=n
marcheans	marchëant	NOMcom	NOMB.=p|GENRE=m|CAS=r
senés	sené2	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
coutiaus	coutel	NOMcom	NOMB.=p|GENRE=m|CAS=r
colperent	coper	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
nés	nase	NOMcom	NOMB.=s|GENRE=m|CAS=r
