form	lemma	POS	morph
Qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
veult	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
conter	conter	VERinf	MORPH=empty
ou	o3	CONcoo	MORPH=empty
rimoier	rimoiier1	VERinf	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pas	pas	ADVneg	MORPH=empty
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
sen	sen2	NOMcom	NOMB.=s|GENRE=m|CAS=r
emploier	emploiier	VERinf	MORPH=empty
à	a3	PRE	MORPH=empty
conter	conter	VERinf	MORPH=empty
mensonges	mençogne	NOMcom	NOMB.=p|GENRE=m|CAS=r
ne	ne2	CONcoo	MORPH=empty
fables	fable	NOMcom	NOMB.=p|GENRE=f|CAS=r
n	ne1	ADVneg	MORPH=empty
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pas	pas	ADVneg	MORPH=empty
tel	tel	DETind	NOMB.=s|GENRE=m|CAS=n
contes	conte2	NOMcom	NOMB.=s|GENRE=m|CAS=n
profitables	porfitable	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
Mes	mais1	CONcoo	MORPH=empty
en	en1	PRE	MORPH=empty
voire	voir	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
estoire	estoire1	NOMcom	NOMB.=s|GENRE=f|CAS=r
treitier	traitier	VERinf	MORPH=empty
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
valleir	valoir	VERinf	MORPH=empty
et	et	CONcoo	MORPH=empty
profitier	porfit(i)er	VERinf	MORPH=empty
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
l	le	DETdef	NOMB.=s|GENRE=n|CAS=n
en	on	PROind	NOMB.=s|GENRE=n|CAS=n
bien	bien1	ADVgen	DEGRE=p
mettre	metre2	VERinf	MORPH=empty
poine	peine	NOMcom	NOMB.=s|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
cure	cure	NOMcom	NOMB.=s|GENRE=f|CAS=r
boen	bon	ADVgen	DEGRE=p
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
lere	lire1	VERinf	MORPH=empty
voire	voir	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
escripture	escriture	NOMcom	NOMB.=s|GENRE=f|CAS=r
bien	bien1	ADVgen	DEGRE=p
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
estre	estre1	VERinf	MORPH=empty
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=n
amembree	amembrer2	VERppe	NOMB.=s|GENRE=f|CAS=n
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n
sus	sus	PRE	MORPH=empty
verité	verité	NOMcom	NOMB.=s|GENRE=f|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fondee	fonder2	VERppe	NOMB.=s|GENRE=f|CAS=n
car	car	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
voire	voir	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
chouse	chose	NOMcom	NOMB.=s|GENRE=f|CAS=r
conter	conter	VERinf	MORPH=empty
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
l	le	DETdef	NOMB.=s|GENRE=n|CAS=r
en	on	PROind	NOMB.=s|GENRE=n|CAS=n
en	en1	PRE	MORPH=empty
pris	pris1	NOMcom	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
lous	los1	NOMcom	NOMB.=s|GENRE=m|CAS=r
monter	monter	VERinf	MORPH=empty
Por	por2	PRE	MORPH=empty
c	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
g	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
esleü	eslire	VERppe	NOMB.=s|GENRE=m|CAS=r
tel	tel	DETind	NOMB.=s|GENRE=f|CAS=r
matire	matiere	NOMcom	NOMB.=s|GENRE=f|CAS=r
que	que2	PROrel	NOMB.=s|GENRE=f|CAS=r
ge	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
voill	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
treitier	traitier	VERinf	MORPH=empty
et	et	CONcoo	MORPH=empty
escrire	escrire	VERinf	MORPH=empty
où	où	PROrel	NOMB.=x|GENRE=x|CAS=x
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
n	ne1	ADVneg	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
riens	rien	PROind	NOMB.=s|GENRE=f|CAS=r
fors	fors1	PRE	MORPH=empty
verité	verité	NOMcom	NOMB.=s|GENRE=f|CAS=r
par	par	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
tesmoign	tesmoin	NOMcom	NOMB.=s|GENRE=m|CAS=r
d	de	PRE	MORPH=empty
antiquité	antiquité	NOMcom	NOMB.=s|GENRE=f|CAS=r
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
en	en1	PRE	MORPH=empty
latin	latin	NOMcom	NOMB.=s|GENRE=m|CAS=r
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
livre	livre2	NOMcom	NOMB.=s|GENRE=m|CAS=r
De	de	PRE	MORPH=empty
nuit	nuit	NOMcom	NOMB.=s|GENRE=f|CAS=r
à	a3	PRE	MORPH=empty
l	le	DETdef	NOMB.=s|GENRE=f|CAS=r
iglise	eglise	NOMcom	NOMB.=s|GENRE=f|CAS=r
venoient	venir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
entrer	entrer	VERinf	MORPH=empty
ou	en1+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
cloitre	cloistre	NOMcom	NOMB.=s|GENRE=m|CAS=r
ne	ne1	ADVneg	MORPH=empty
poaient	pöoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
De	de	PRE	MORPH=empty
tot	tot	ADVgen	NOMB.=s|GENRE=m|CAS=r
entor	entor	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
region	regïon	NOMcom	NOMB.=s|GENRE=f|CAS=r
venoient	venir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
à	a3	PRE	MORPH=empty
procession	processïon	NOMcom	NOMB.=s|GENRE=f|CAS=r
les	le	DETdef	NOMB.=p|GENRE=f|CAS=n
provoires	provoire	NOMcom	NOMB.=p|GENRE=f|CAS=n
parroissiaux	paroissïal	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
et	et	CONcoo	MORPH=empty
amenoient	amener	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
grans	grant	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
tropeaux	tropel	NOMcom	NOMB.=p|GENRE=m|CAS=r
o	o4	PRE	MORPH=empty
eus	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
leur	lor2	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r
parrossiens	paroissiien	NOMcom	NOMB.=p|GENRE=m|CAS=r
genvres	juene	NOMcom	NOMB.=p|GENRE=m|CAS=r
ensemble	ensemble	ADVgen	DEGRE=-
et	et	CONcoo	MORPH=empty
anciens	anciien	NOMcom	NOMB.=p|GENRE=m|CAS=r
De	de	PRE	MORPH=empty
nuiz	nuit	NOMcom	NOMB.=s|GENRE=f|CAS=r
à	a3	PRE	MORPH=empty
Chartres	Chartres	NOMpro	NOMB.=s|GENRE=x|CAS=r
demoraient	demorer	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
ou	en1+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
cloistre	cloistre	NOMcom	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
ou	en1+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
monstier	mostier	NOMcom	NOMB.=s|GENRE=m|CAS=r
veillaient	veillier2	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
tretuit	trestot	DETind	NOMB.=p|GENRE=m|CAS=n
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
clerc	clerc	NOMcom	NOMB.=p|GENRE=m|CAS=n
et	et	CONcoo	MORPH=empty
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
provoire	provoire	NOMcom	NOMB.=p|GENRE=m|CAS=n
En	en1	PRE	MORPH=empty
l	le	DETdef	NOMB.=s|GENRE=x|CAS=r
enneur	onor	NOMcom	NOMB.=s|GENRE=x|CAS=r
Dieu	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
en	en1	PRE	MORPH=empty
memoire	memoire	NOMcom	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
haute	haut	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=r
ennoree	onorer	VERppe	NOMB.=s|GENRE=f|CAS=r
chantoient	chanter	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
o	o4	PRE	MORPH=empty
