form	lemma	POS	morph
encomencement	encomencement	NOMcom	NOMB.=s|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
devenuz	devenir	VERppe	NOMB.=s|GENRE=m|CAS=n
homicides	omecide	NOMcom	NOMB.=s|GENRE=m|CAS=n
semblet	sembler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
femme	feme	NOMcom	NOMB.=s|GENRE=f|CAS=r
volt	voloir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
correcier	corrocier	VERinf	MORPH=empty
crimor	cremor	NOMcom	NOMB.=s|GENRE=f|CAS=r
dewerpit	deguerpir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
fut	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
obediens	obedïent	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
voix	voiz	NOMcom	NOMB.=s|GENRE=f|CAS=r
voix	voiz	NOMcom	NOMB.=s|GENRE=f|CAS=r
bien	bien2	NOMcom	NOMB.=s|GENRE=m|CAS=n
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
avenut	avenir	VERppe	NOMB.=s|GENRE=m|CAS=n
crimours	cremor	NOMcom	NOMB.=s|GENRE=f|CAS=n
äust	avoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
force	force2	NOMcom	NOMB.=s|GENRE=f|CAS=r
leist	loisir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
espiriz	esperit	NOMcom	NOMB.=s|GENRE=m|CAS=n
crimor	cremor	NOMcom	NOMB.=s|GENRE=f|CAS=r
raamplit	räemplir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
choses	chose	NOMcom	NOMB.=p|GENRE=f|CAS=r
choses	chose	NOMcom	NOMB.=p|GENRE=f|CAS=r
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
estre	estre1	VERinf	MORPH=empty
crimours	cremor	NOMcom	NOMB.=s|GENRE=f|CAS=n
signor	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r
mise	metre2	VERppe	NOMB.=s|GENRE=f|CAS=n
pitiet	pitié	NOMcom	NOMB.=s|GENRE=f|CAS=r
prosmes	proisme	NOMcom	NOMB.=p|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
soule	sol1	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
chouse	chose	NOMcom	NOMB.=s|GENRE=f|CAS=n
omme	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
traire	traire	VERinf	MORPH=empty
