form	lemma	POS	morph
Quant	cant1	CONsub	MORPH=empty
Elies	Elie	NOMpro	NOMB.=s|GENRE=m|CAS=n
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
mort	morir	VERppe	NOMB.=s|GENRE=m|CAS=r
Rodoan	Rodoan	NOMpro	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
Calabre	Calabre	NOMpro	NOMB.=s|GENRE=f|CAS=r
Corsaut	Corsaut	NOMpro	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
Tabarie	Tabarie	NOMpro	NOMB.=s|GENRE=f|CAS=r
jut	jesir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
envers	envers2	PRE	MORPH=empty
en	en1	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
place	place	NOMcom	NOMB.=s|GENRE=f|CAS=r
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
iii	3	DETcar	NOMB.=p|GENRE=m|CAS=r
paien	paien	NOMcom	NOMB.=p|GENRE=m|CAS=n
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
esgardent	esgarder	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
dessendent	descendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
l	le	DETdef	NOMB.=s|GENRE=f|CAS=r
angarde	angarde	NOMcom	NOMB.=s|GENRE=f|CAS=r
Or	or4	ADVgen	DEGRE=-
s	soi1	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
i	i2	PROadv	MORPH=empty
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
eslaissiét	eslaissier	VERppe	NOMB.=p|GENRE=m|CAS=n
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
felon	felon	NOMcom	NOMB.=p|GENRE=m|CAS=n
mescreable	mescrëable	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
Et	et	CONcoo	MORPH=empty
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
ber	baron	NOMcom	NOMB.=s|GENRE=m|CAS=n
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
desfent	defendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
que	que2	PROrel	NOMB.=s|GENRE=m|CAS=r
Dieus	dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
ait	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
en	en1	PRE	MORPH=empty
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
garde	garde	NOMcom	NOMB.=s|GENRE=f|CAS=r
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
premiers	premier	PROord	NOMB.=s|GENRE=m|CAS=n
qu	que2	PROrel	NOMB.=s|GENRE=m|CAS=r
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
encontre	encontrer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
n	ne1	ADVneg	MORPH=empty
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
talent	talent	NOMcom	NOMB.=s|GENRE=m|CAS=r
d	de	PRE	MORPH=empty
oir	öir	VERinf	MORPH=empty
fable	fable	NOMcom	NOMB.=s|GENRE=f|CAS=r
ains	ainz	ADVgen	DEGRE=-
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
abati	abatre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
à	a3	PRE	MORPH=empty
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
com	come1	CONsub	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r
raine	raine	NOMcom	NOMB.=s|GENRE=f|CAS=r
plate	plat	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
Li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
doi	deus	PROcar	NOMB.=p|GENRE=m|CAS=n
tornent	torner	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
en	en1	PRE	MORPH=empty
fuie	fuie	NOMcom	NOMB.=s|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
Elies	Elie	NOMpro	NOMB.=s|GENRE=m|CAS=n
les	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
cache	chacier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Et	et	CONcoo	MORPH=empty
Gaidonet	Gadonet	NOMpro	NOMB.=s|GENRE=m|CAS=n
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
encauche	enchaucier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
mort	mort	NOMcom	NOMB.=s|GENRE=f|CAS=r
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
manace	menacier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
et	et	CONcoo	MORPH=empty
vait	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ferir	ferir	VERinf	MORPH=empty
Elie	Elie	NOMpro	NOMB.=s|GENRE=m|CAS=r
sor	sor2	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=f|CAS=r
doree	dorer	VERppe	NOMB.=s|GENRE=f|CAS=r
targe	targe1	NOMcom	NOMB.=s|GENRE=f|CAS=r
Desor	desor	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
boucle	bocle	NOMcom	NOMB.=s|GENRE=f|CAS=r
à	a3	PRE	MORPH=empty
or	or1	NOMcom	NOMB.=s|GENRE=m|CAS=r
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
percie	percier	VERppe	NOMB.=s|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
quasse	casser	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Mout	mout	ADVgen	DEGRE=-
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
boin	bon	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
auberc	hauberc	NOMcom	NOMB.=s|GENRE=m|CAS=n
quant	cant1	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
n	ne1	ADVneg	MORPH=empty
en	en2	PROadv	MORPH=empty
rompi	rompre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
maille	maille	NOMcom	NOMB.=s|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
vasal	vassal	NOMcom	NOMB.=p|GENRE=m|CAS=n
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
preu	pro	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
quant	cant1	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
ne	ne1	ADVneg	MORPH=empty
s	soi1	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
