form	lemma	POS	morph
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
onur	onor	NOMcom	NOMB.=s|GENRE=x|CAS=n
repeiré	repairier	VERppe	NOMB.=s|GENRE=m|CAS=n
chevalers	chevalier	NOMcom	NOMB.=p|GENRE=m|CAS=n
meisnee	maisniee	NOMcom	NOMB.=s|GENRE=f|CAS=n
reçut	recevoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
heritage	iretage	NOMcom	NOMB.=s|GENRE=m|CAS=r
set	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
curage	corage	NOMcom	NOMB.=s|GENRE=m|CAS=r
preise	prisier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
honur	onor	NOMcom	NOMB.=s|GENRE=x|CAS=r
turna	torner	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
onur	onor	NOMcom	NOMB.=s|GENRE=f|CAS=r
qui	cuidier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
espeir	esperer	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
vodrat	voloir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
feire	faire	VERinf	MORPH=empty
here	oir	NOMcom	NOMB.=s|GENRE=m|CAS=r
remeint	remanoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
heritez	ireté	NOMcom	NOMB.=s|GENRE=m|CAS=n
chastels	chastel	NOMcom	NOMB.=p|GENRE=m|CAS=n
burs	borc	NOMcom	NOMB.=p|GENRE=m|CAS=n
vinnes	vigne1	NOMcom	NOMB.=p|GENRE=f|CAS=n
prez	pré	NOMcom	NOMB.=p|GENRE=m|CAS=n
Or	or1	NOMcom	NOMB.=s|GENRE=m|CAS=n
argent	argent	NOMcom	NOMB.=s|GENRE=m|CAS=n
pailles	paile	NOMcom	NOMB.=p|GENRE=m|CAS=n
cendals	cendal	NOMcom	NOMB.=p|GENRE=m|CAS=n
palefreiz	palefroi	NOMcom	NOMB.=p|GENRE=m|CAS=n
mulz	mul3	NOMcom	NOMB.=p|GENRE=m|CAS=n
bels	bel1	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
chevals	cheval	NOMcom	NOMB.=p|GENRE=m|CAS=n
veissele	vaissele	NOMcom	NOMB.=s|GENRE=f|CAS=n
or	or1	NOMcom	NOMB.=s|GENRE=m|CAS=r
argent	argent	NOMcom	NOMB.=s|GENRE=m|CAS=r
depart	departir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
