form	lemma	POS	morph
Dux	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=n
Ferris	Ferry	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
sachiez	savoir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
sanz	sans	PRE	MORPH=empty
dotance	dotance	NOMcom	NOMB.=s|GENRE=f|CAS=r
:	:	PONfbl	MORPH=empty
encor	encore	ADVgen	DEGRE=-
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r
plore	plorer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
an	on	PROind	NOMB.=s|GENRE=n|CAS=n
à	a3	PRE	MORPH=empty
Asmance	Amance	NOMpro	NOMB.=s|GENRE=x|CAS=r
,	,	PONfbl	MORPH=empty
à	a3	PRE	MORPH=empty
Nanci	Nancy	NOMpro	NOMB.=s|GENRE=x|CAS=r
et	et	CONcoo	MORPH=empty
à	a3	PRE	MORPH=empty
Sathanai	Stenay	NOMpro	NOMB.=s|GENRE=x|CAS=r
,	,	PONfbl	MORPH=empty
Dex	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
set	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
bien	bien1	ADVgen	DEGRE=p
con	come1	ADVsub	MORPH=empty
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
duel	duel	NOMcom	NOMB.=s|GENRE=m|CAS=r
j	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
’	’	PONfbl	MORPH=empty
en	en2	PROadv	MORPH=empty
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
et	et	CONcoo	MORPH=empty
con	come1	ADVsub	MORPH=empty
j	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
’	’	PONfbl	MORPH=empty
en	en2	PROadv	MORPH=empty
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r
marri	marrir	VERppe	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
oir	oir	NOMcom	NOMB.=s|GENRE=m|CAS=r
i	i2	PROadv	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
del	de+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
duc	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=r
Ferri	Ferry	NOMpro	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
bien	bien1	ADVgen	DEGRE=p
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
devroit	devoir	VERcjg	MODE=con|PERS.=3|NOMB.=s
amander	amender	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
mes	mais1	CONcoo	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
os	oser	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
rien	rien	PROind	NOMB.=s|GENRE=f|CAS=r
comander	comander	VERinf	MORPH=empty
;	;	PONfbl	MORPH=empty
qu	que4	CONcoo	MORPH=empty
’	’	PONfbl	MORPH=empty
an	en1	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
biens	bien2	NOMcom	NOMB.=s|GENRE=m|CAS=n
si	si	ADVgen	DEGRE=-
