form	lemma	POS	morph
N	ne1	ADVneg	MORPH=empty
avez	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
barun	baron	NOMcom	NOMB.=s|GENRE=m|CAS=r
ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
mielz	mieus	ADVgen	DEGRE=c
de	de	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
la	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
facet	faire	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
quens	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=n
Rollant	Roland	NOMpro	NOMB.=s|GENRE=m|CAS=n
quant	cant1	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
s	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
oït	öir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
juger	jugier	VERinf	MORPH=empty
dunc	donc	ADVgen	DEGRE=-
ad	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
parléd	parler	VERppe	NOMB.=s|GENRE=m|CAS=r
à	a3	PRE	MORPH=empty
lei	loi3	NOMcom	NOMB.=s|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
chevaler	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=r
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
parastre	parrastre	NOMcom	NOMB.=s|GENRE=m|CAS=n
mult	mout	ADVgen	DEGRE=-
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r
dei	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
aveir	avoir	VERinf	MORPH=empty
cher	chier	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
rereguarde	arieregarde	NOMcom	NOMB.=s|GENRE=f|CAS=r
avez	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
sur	sor2	PRE	MORPH=empty
mei	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
jugiét	jugier	VERppe	NOMB.=s|GENRE=m|CAS=r
N	ne1	ADVneg	MORPH=empty
i	i2	PROadv	MORPH=empty
perdrat	perdre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
Carles	Charles	NOMpro	NOMB.=s|GENRE=m|CAS=n
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
reis	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
France	France	NOMpro	NOMB.=s|GENRE=f|CAS=r
tient	tenir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
men	mien	ADJpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
escïentre	escïent	NOMcom	NOMB.=s|GENRE=m|CAS=r
palefreid	palefroi	NOMcom	NOMB.=s|GENRE=m|CAS=r
ne	ne2	CONcoo	MORPH=empty
destrer	destrier1	NOMcom	NOMB.=s|GENRE=m|CAS=r
ne	ne2	CONcoo	MORPH=empty
mul	mul3	NOMcom	NOMB.=s|GENRE=m|CAS=n
ne	ne2	CONcoo	MORPH=empty
mule	mule5	NOMcom	NOMB.=s|GENRE=f|CAS=n
que	que2	PROrel	NOMB.=p|GENRE=m|CAS=r
deiet	devoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
chevalcher	chevauchier	VERinf	MORPH=empty
ne	ne2	CONcoo	MORPH=empty
n	ne1	ADVneg	MORPH=empty
i	i2	PROadv	MORPH=empty
perdrat	perdre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
ne	ne2	CONcoo	MORPH=empty
runcin	roncin	NOMcom	NOMB.=s|GENRE=m|CAS=r
ne	ne2	CONcoo	MORPH=empty
sumer	somier2	NOMcom	NOMB.=s|GENRE=m|CAS=r
que	que4	CONsub	MORPH=empty
as	a3+le	PRE.DETdef	MORPH=empty+NOMB.=p|GENRE=f|CAS=r
espees	espee	NOMcom	NOMB.=p|GENRE=f|CAS=r
ne	ne1	ADVneg	MORPH=empty
seit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
einz	ainz	ADVgen	DEGRE=-
eslegiét	esligier	VERppe	NOMB.=s|GENRE=m|CAS=n
Guenes	Ganelon	NOMpro	NOMB.=s|GENRE=m|CAS=n
respunt	respondre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Veir	voir	ADVgen	DEGRE=-
dites	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
jol	je+il	PROper.PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n+PERS.=3|NOMB.=s|GENRE=n|CAS=r
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
bien	bien1	ADVgen	DEGRE=p
Quant	cant1	CONsub	MORPH=empty
ot	öir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Rollant	Roland	NOMpro	NOMB.=s|GENRE=m|CAS=n
qu	que4	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
ert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
