form	lemma	POS	morph
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
castelaine	chastelaine	NOMcom	NOMB.=s|GENRE=f|CAS=r
saint	saint	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
vers	vers1	NOMcom	NOMB.=p|GENRE=m|CAS=r
mort	mort	NOMcom	NOMB.=s|GENRE=f|CAS=r
loënge	löenge	NOMcom	NOMB.=s|GENRE=f|CAS=r
branque	branche	NOMcom	NOMB.=s|GENRE=f|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
miracles	miracle	NOMcom	NOMB.=p|GENRE=m|CAS=r
caliphes	calife	NOMcom	NOMB.=s|GENRE=m|CAS=n
sot	savoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
liez	lié1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
oÿ	öir	VERppe	NOMB.=s|GENRE=m|CAS=r
parler	parler	VERinf	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fait	faire	VERppe	NOMB.=s|GENRE=m|CAS=r
grant	grant	ADJqua	NOMB.=s|GENRE=x|CAS=r|DEGRE=p
hounour	onor	NOMcom	NOMB.=s|GENRE=x|CAS=r
aünerent	äuner	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
fait	faire	VERppe	NOMB.=s|GENRE=m|CAS=r
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
feste	feste1	NOMcom	NOMB.=s|GENRE=f|CAS=r
demoura	demorer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
soudans	soudan	NOMcom	NOMB.=s|GENRE=m|CAS=n
manda	mander	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
bataille	bataille	NOMcom	NOMB.=s|GENRE=f|CAS=r
caliphe	calife	NOMcom	NOMB.=s|GENRE=m|CAS=r
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
gens	gent1	NOMcom	NOMB.=p|GENRE=f|CAS=r
assemblees	assembler	VERppe	NOMB.=p|GENRE=f|CAS=r
part	part1	NOMcom	NOMB.=s|GENRE=f|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
venus	venir	VERppe	NOMB.=s|GENRE=m|CAS=n
caliphe	calife	NOMcom	NOMB.=s|GENRE=m|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
prié	priier	VERppe	NOMB.=s|GENRE=m|CAS=r
face	faire	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
chevalier	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=r
caliphes	calife	NOMcom	NOMB.=s|GENRE=m|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
liez	lié1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fait	faire	VERppe	NOMB.=s|GENRE=m|CAS=r
chevalier	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=r
appartient	apartenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
baillié	baillier	VERppe	NOMB.=s|GENRE=m|CAS=r
chevaliers	chevalier	NOMcom	NOMB.=p|GENRE=m|CAS=r
sarrazins	sarrasin	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
esleüz	eslire	VERppe	NOMB.=p|GENRE=m|CAS=r
faudront	falir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
morir	morir	VERinf	MORPH=empty
jourz	jor	NOMcom	NOMB.=s|GENRE=m|CAS=n
bataille	bataille	NOMcom	NOMB.=s|GENRE=f|CAS=r
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
venus	venir	VERppe	NOMB.=s|GENRE=m|CAS=n
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
os	ost	NOMcom	NOMB.=p|GENRE=m|CAS=n
aprochiez	aprochier	VERppe	NOMB.=p|GENRE=m|CAS=n
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
calyphes	calife	NOMcom	NOMB.=s|GENRE=m|CAS=n
haubers	hauberc	NOMcom	NOMB.=p|GENRE=m|CAS=r
soudans	soudan	NOMcom	NOMB.=s|GENRE=m|CAS=n
batailles	bataille	NOMcom	NOMB.=p|GENRE=f|CAS=n
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
devisees	deviser	VERppe	NOMB.=p|GENRE=f|CAS=n
avint	avenir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
baniere	baniere	NOMcom	NOMB.=s|GENRE=f|CAS=r
deploïe	desploiier	VERppe	NOMB.=s|GENRE=f|CAS=r
soudans	soudan	NOMcom	NOMB.=s|GENRE=m|CAS=n
vit	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
esbahis	esbäir	VERppe	NOMB.=s|GENRE=m|CAS=n
bon	bon	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
point	point	NOMcom	NOMB.=s|GENRE=m|CAS=r
avés	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
desroute	desrompre	VERppe	NOMB.=s|GENRE=f|CAS=r
compaignie	compagnie	NOMcom	NOMB.=s|GENRE=f|CAS=r
chaitis	chaitif	NOMcom	NOMB.=p|GENRE=m|CAS=r
saciés	savoir	VERcjg	MODE=imp|PERS.=2|NOMB.=s
ara	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
regne	regne	NOMcom	NOMB.=s|GENRE=m|CAS=r
ait	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
mauvaise	mauvais	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
sodee	soudee	NOMcom	NOMB.=s|GENRE=f|CAS=r
comant	comant	NOMcom	NOMB.=s|GENRE=m|CAS=r
font	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
encliné	encliner	VERppe	NOMB.=s|GENRE=m|CAS=r
parfont	parfont	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
gent	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=n
honteuse	hontos	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
despite	despire	VERppe	NOMB.=s|GENRE=f|CAS=n
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
font	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
loi	loi3	NOMcom	NOMB.=s|GENRE=f|CAS=r
escripte	escrire	VERppe	NOMB.=s|GENRE=f|CAS=r
fai	faire	VERcjg	MODE=imp|PERS.=2|NOMB.=s
avoir	avoir	VERinf	MORPH=empty
signorie	seignorie	NOMcom	NOMB.=s|GENRE=f|CAS=r
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
puist	pöoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
sosmetre	sosmetre1	VERinf	MORPH=empty
volenté	volenté	NOMcom	NOMB.=s|GENRE=f|CAS=r
ferons	faire	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p
dé	dieu	NOMcom	NOMB.=s|GENRE=m|CAS=r
veons	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
voirs	voir	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
grans	grant	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
savoirs	savoir	NOMcom	NOMB.=s|GENRE=m|CAS=n
croi	croire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
cose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=r
feroient	faire	VERcjg	MODE=con|PERS.=3|NOMB.=p
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
seüsent	savoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=p
jour	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r
morir	morir	VERinf	MORPH=empty
deüsent	devoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=p
bon	bon	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
jour	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r
aroient	avoir	VERcjg	MODE=con|PERS.=3|NOMB.=p
mort	mort	NOMcom	NOMB.=s|GENRE=m|CAS=r
penseroient	penser	VERcjg	MODE=con|PERS.=3|NOMB.=p
fine	finer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
vient	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
ravine	ravine	NOMcom	NOMB.=s|GENRE=f|CAS=r
las	las	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
feroit	faire	VERcjg	MODE=con|PERS.=3|NOMB.=s
penseir	penser	VERinf	MORPH=empty
maus	mal1	NOMcom	NOMB.=p|GENRE=m|CAS=r
faire	faire	VERinf	MORPH=empty
cesser	cesser	VERinf	MORPH=empty
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
soupris	sorprendre	VERppe	NOMB.=s|GENRE=n|CAS=n
garnis	garnir	VERppe	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
desconfis	desconfire	VERppe	NOMB.=s|GENRE=m|CAS=n
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
trosne	tron	NOMcom	NOMB.=s|GENRE=m|CAS=r
seüre	sëur2	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
croi	croire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
aumosne	aumosne	NOMcom	NOMB.=s|GENRE=f|CAS=n
faite	faire	VERppe	NOMB.=s|GENRE=f|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=n
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mors	morir	VERppe	NOMB.=s|GENRE=m|CAS=n
avés	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
pris	prendre	VERppe	NOMB.=s|GENRE=m|CAS=r
trape	trape	NOMcom	NOMB.=s|GENRE=f|CAS=r
gardés	garder	VERcjg	MODE=imp|PERS.=2|NOMB.=p
escape	eschaper	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n
fai	faire	VERcjg	MODE=imp|PERS.=2|NOMB.=s
volentei	volenté	NOMcom	NOMB.=s|GENRE=f|CAS=r
yver	iver2	NOMcom	NOMB.=s|GENRE=m|CAS=r
estei	esté1	NOMcom	NOMB.=s|GENRE=m|CAS=r
armures	armëure	NOMcom	NOMB.=p|GENRE=f|CAS=r
devés	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
prester	prester	VERinf	MORPH=empty
puisse	pöoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s
adouber	adober	VERinf	MORPH=empty
orgoillous	orgoillos	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
dras	drap	NOMcom	NOMB.=p|GENRE=m|CAS=r
riches	riche	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
juaus	jöel	NOMcom	NOMB.=p|GENRE=m|CAS=r
aumoniere	aumosniere	NOMcom	NOMB.=s|GENRE=f|CAS=r
chainture	ceinture	NOMcom	NOMB.=s|GENRE=f|CAS=r
aniaus	anel1	NOMcom	NOMB.=p|GENRE=m|CAS=r
boire	boivre	NOMcom	NOMB.=s|GENRE=m|CAS=r
mangier	mangier	NOMcom	NOMB.=s|GENRE=m|CAS=r
licherie	lecherie	NOMcom	NOMB.=s|GENRE=f|CAS=r
ferai	faire	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
chevalerie	chevalerie	NOMcom	NOMB.=s|GENRE=f|CAS=r
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
servie	servir	VERppe	NOMB.=s|GENRE=m|CAS=r
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r
raison	raison	NOMcom	NOMB.=s|GENRE=f|CAS=r
droiture	droiture	NOMcom	NOMB.=s|GENRE=f|CAS=r
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
fait	faire	VERppe	NOMB.=s|GENRE=m|CAS=r
pechier	pechier	VERinf	MORPH=empty
nature	nature	NOMcom	NOMB.=s|GENRE=f|CAS=r
cités	cité	NOMcom	NOMB.=p|GENRE=f|CAS=n
engien	engin	NOMcom	NOMB.=s|GENRE=m|CAS=r
furent	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
destruites	destruire	VERppe	NOMB.=p|GENRE=f|CAS=n
Cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=n
onme	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r
porroit	pöoir	VERcjg	MODE=con|PERS.=3|NOMB.=s
penser	penser	VERinf	MORPH=empty
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
volenté	volenté	NOMcom	NOMB.=s|GENRE=f|CAS=r
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
tempre	temple3	NOMcom	NOMB.=s|GENRE=m|CAS=r
presenté	presenter	VERppe	NOMB.=s|GENRE=m|CAS=r
desiré	desirrer	VERppe	NOMB.=s|GENRE=m|CAS=n
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
fain	faim	NOMcom	NOMB.=s|GENRE=f|CAS=r
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
bras	braz	NOMcom	NOMB.=p|GENRE=m|CAS=r
tenist	tenir1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
siecle	siecle	NOMcom	NOMB.=s|GENRE=m|CAS=r
fenist	fenir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
nessans	naistre	VERppa	NOMB.=s|GENRE=m|CAS=n
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
chanté	chanter	VERppe	NOMB.=s|GENRE=m|CAS=r
ans	an	NOMcom	NOMB.=p|GENRE=m|CAS=r
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
estrange	estrange	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
enffant	enfant	NOMcom	NOMB.=s|GENRE=m|CAS=r
alerent	aler	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
querre	querre	VERinf	MORPH=empty
porterent	porter	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
riche	riche	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
present	present2	NOMcom	NOMB.=s|GENRE=m|CAS=r
offrirent	ofrir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
savoient	savoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
verité	verité	NOMcom	NOMB.=s|GENRE=f|CAS=r
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
né	naistre	VERppe	NOMB.=s|GENRE=m|CAS=n
desir	desir	NOMcom	NOMB.=s|GENRE=m|CAS=r
parfere	parfaire	VERinf	MORPH=empty
disant	dire	VERppa	NOMB.=x|GENRE=x|CAS=x
beles	bel1	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
paroles	parole	NOMcom	NOMB.=p|GENRE=f|CAS=r
voil	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
beses	baisier	VERcjg	MODE=sub|TEMPS=pst|PERS.=2|NOMB.=s
acoles	acoler	VERcjg	MODE=sub|TEMPS=pst|PERS.=2|NOMB.=p
besiers	baisier	NOMcom	NOMB.=s|GENRE=m|CAS=r
veut	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
atendre	atendre	VERinf	MORPH=empty
voies	voie	NOMcom	NOMB.=p|GENRE=f|CAS=r
doiz	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
