form	lemma	POS	morph
preudom	prodome	NOMcom	NOMB.=s|GENRE=m|CAS=n
oi	öir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
esmiervilla	esmerveillier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
mist	metre2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
nuit	nuit	NOMcom	NOMB.=s|GENRE=f|CAS=r
escrit	escrit	NOMcom	NOMB.=s|GENRE=m|CAS=r
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
conté	conter	VERppe	NOMB.=s|GENRE=m|CAS=r
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
seure	sëur2	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
soiiés	estre1	VERcjg	MODE=imp|PERS.=2|NOMB.=p
oirs	oir	NOMcom	NOMB.=s|GENRE=m|CAS=n
naistera	naistre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
savrai	savoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
dit	dire	VERppe	NOMB.=s|GENRE=m|CAS=r
menti	mentir	VERppe	NOMB.=s|GENRE=m|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
creanche	crëance	NOMcom	NOMB.=s|GENRE=f|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
voirs	voir	ADJqua	NOMB.=s|GENRE=n|CAS=n|DEGRE=p
as	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
dit	dire	VERppe	NOMB.=s|GENRE=m|CAS=r
averas	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=s
garde	garde	NOMcom	NOMB.=s|GENRE=f|CAS=r
mort	mort	NOMcom	NOMB.=s|GENRE=f|CAS=r
granz	grant	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
paours	pëor	NOMcom	NOMB.=p|GENRE=f|CAS=r
porras	pöoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
avoir	avoir	VERinf	MORPH=empty
juge	juge	NOMcom	NOMB.=p|GENRE=m|CAS=n
savront	savoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
prendront	prendre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
avoir	avoir	VERinf	MORPH=empty
biaus	bel1	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
