form	lemma	POS	morph
Iceste	icest	DETdem	NOMB.=s|GENRE=f|CAS=n
beste	beste	NOMcom	NOMB.=s|GENRE=f|CAS=n
sanz	sans	PRE	MORPH=empty
dotance	dotance	NOMcom	NOMB.=s|GENRE=f|CAS=r
porte	porter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mult	mout	ADVgen	DEGRE=-
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
signefiance	senefïance	NOMcom	NOMB.=s|GENRE=f|CAS=r
.	.	PONfrt	MORPH=empty
La	le	DETdef	NOMB.=s|GENRE=f|CAS=n
mer	mer	NOMcom	NOMB.=s|GENRE=f|CAS=n
,	,	PONfbl	MORPH=empty
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
e	et	CONcoo	MORPH=empty
parfonde	profont	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
,	,	PONfbl	MORPH=empty
signefie	seignier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
cest	cest	DETdem	NOMB.=s|GENRE=m|CAS=r
present	present1	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
monde	monde1	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
mult	mout	ADVgen	DEGRE=-
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
malvais	mauvais	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
e	et	CONcoo	MORPH=empty
amer	amer2	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
e	et	CONcoo	MORPH=empty
perillos	perillos	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
si	si	ADVgen	DEGRE=-
com	come1	CONsub	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n
mer	mer	NOMcom	NOMB.=s|GENRE=f|CAS=n
.	.	PONfrt	MORPH=empty
Cil	cel	PROdem	NOMB.=p|GENRE=m|CAS=n
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
par	par	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
mer	mer	NOMcom	NOMB.=s|GENRE=f|CAS=r
siglant	sigler	VERppa	NOMB.=x|GENRE=x|CAS=x
vont	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
,	,	PONfbl	MORPH=empty
signefient	senefiier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
bons	bon	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
,	,	PONfbl	MORPH=empty
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
vont	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
par	par	PRE	MORPH=empty
cest	cest	DETdem	NOMB.=s|GENRE=m|CAS=r
monde	monde1	NOMcom	NOMB.=s|GENRE=m|CAS=r
nagant	nagier	VERppa	NOMB.=x|GENRE=x|CAS=x
e	et	CONcoo	MORPH=empty
lor	lor2	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
nef	nef2	NOMcom	NOMB.=s|GENRE=f|CAS=r
adreit	adroit	ADVgen	DEGRE=-
conduiant	conduire	VERppa	NOMB.=x|GENRE=x|CAS=x
par	par	PRE	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=f|CAS=r
ondes	onde	NOMcom	NOMB.=p|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
par	par	PRE	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
tormenz	torment	NOMcom	NOMB.=p|GENRE=m|CAS=r
contre	contre	PRE	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
periz	peril	NOMcom	NOMB.=p|GENRE=m|CAS=r
e	et	CONcoo	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
venz	vent	NOMcom	NOMB.=p|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Ceo	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
à	a3	PRE	MORPH=empty
dire	dire	VERinf	MORPH=empty
e	et	CONcoo	MORPH=empty
à	a3	PRE	MORPH=empty
entendre	entendre	VERinf	MORPH=empty
:	:	PONfbl	MORPH=empty
ceo	ce1	PROdem	NOMB.=p|GENRE=n|CAS=n
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
bon	bon	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
,	,	PONfbl	MORPH=empty
que	que4	CONcoo	MORPH=empty
entreprendre	entreprendre	VERinf	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
poet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n
ne	ne2	CONcoo	MORPH=empty
faire	faire	VERinf	MORPH=empty
neier	noiier1	VERinf	MORPH=empty
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
nes	ne1+il	ADVneg.PROper	MORPH=empty+PERS.=3|NOMB.=p|GENRE=m|CAS=r
fine	finer	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
guerreier	guerroiier2	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
meïsmes	mëisme	ADJind	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
verité	verité	NOMcom	NOMB.=s|GENRE=f|CAS=n
,	,	PONfbl	MORPH=empty
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
en	en1	PRE	MORPH=empty
l	le	DETdef	NOMB.=s|GENRE=x|CAS=r
’	’	PONfbl	MORPH=empty
evangile	evangile	NOMcom	NOMB.=s|GENRE=x|CAS=r
de	de	PRE	MORPH=empty
sei	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
:	:	PONfbl	MORPH=empty
