form	lemma	POS	morph
voi	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
lune	lune	NOMcom	NOMB.=s|GENRE=f|CAS=r
sages	sage	NOMcom	NOMB.=p|GENRE=m|CAS=n
garderent	garder	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
estoiles	estoile	NOMcom	NOMB.=p|GENRE=f|CAS=r
lune	lune	NOMcom	NOMB.=s|GENRE=f|CAS=r
virent	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
voirs	voir	ADJqua	NOMB.=s|GENRE=n|CAS=n|DEGRE=p
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
vallet	vaslet	NOMcom	NOMB.=s|GENRE=m|CAS=n
garda	garder	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
estoile	estoile	NOMcom	NOMB.=s|GENRE=f|CAS=r
clere	cler	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
sambloit	sembler	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
estre	estre1	VERinf	MORPH=empty
toises	toise	NOMcom	NOMB.=p|GENRE=f|CAS=r
lune	lune	NOMcom	NOMB.=s|GENRE=f|CAS=r
apela	apeler	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
mestres	maistre	NOMcom	NOMB.=p|GENRE=m|CAS=r
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Veez	vëoir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
estoile	estoile	NOMcom	NOMB.=s|GENRE=f|CAS=n
clere	cler	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
lune	lune	NOMcom	NOMB.=s|GENRE=f|CAS=r
senefie	senefiier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=r
voi	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
vallet	vaslet	NOMcom	NOMB.=s|GENRE=m|CAS=n
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
compaignie	compagnie	NOMcom	NOMB.=s|GENRE=f|CAS=r
dames	dame	NOMcom	NOMB.=p|GENRE=f|CAS=r
damoiseles	damoisele	NOMcom	NOMB.=p|GENRE=f|CAS=r
emperieres	emperëor	NOMcom	NOMB.=s|GENRE=m|CAS=n
chevalier	chevalier	NOMcom	NOMB.=p|GENRE=m|CAS=n
leverent	lever	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
empereriz	empererriz	NOMcom	NOMB.=s|GENRE=f|CAS=r
vint	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
asist	asseoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
empereeur	emperëor	NOMcom	NOMB.=s|GENRE=m|CAS=r
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
parla	parler	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
bailliez	baillier	VERcjg	MODE=imp|PERS.=2|NOMB.=p
ferai	faire	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
parler	parler	VERinf	MORPH=empty
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
parler	parler	VERinf	MORPH=empty
foi	foi	NOMcom	NOMB.=s|GENRE=f|CAS=r
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
emperieres	emperëor	NOMcom	NOMB.=s|GENRE=m|CAS=n
puisse	pöoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
avenir	avenir	VERinf	MORPH=empty
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
ypocras	ipocras	NOMcom	NOMB.=s|GENRE=m|CAS=r
neveu	nevo	NOMcom	NOMB.=s|GENRE=m|CAS=r
avint	avenir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
emperieres	emperëor	NOMcom	NOMB.=s|GENRE=m|CAS=n
foi	foi	NOMcom	NOMB.=s|GENRE=f|CAS=r
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
volez	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
filz	fil2	NOMcom	NOMB.=s|GENRE=m|CAS=r
respitier	respitier	VERinf	MORPH=empty
mort	mort	NOMcom	NOMB.=s|GENRE=f|CAS=r
dirai	dire	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
fetes	faire	VERcjg	MODE=imp|PERS.=2|NOMB.=p
volenté	volenté	NOMcom	NOMB.=s|GENRE=f|CAS=r
aurai	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
dit	dire	VERppe	NOMB.=s|GENRE=m|CAS=r
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
emperieres	emperëor	NOMcom	NOMB.=s|GENRE=m|CAS=n
