form	lemma	POS	morph
di	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
feit	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
sages	sage	NOMcom	NOMB.=s|GENRE=m|CAS=n
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r
espleite	esploitier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fin	fin1	NOMcom	NOMB.=s|GENRE=f|CAS=r
eit	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
garant	garant	NOMcom	NOMB.=s|GENRE=m|CAS=r
garant	garant	NOMcom	NOMB.=s|GENRE=m|CAS=r
poet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
aveir	avoir	VERinf	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
feit	faire	VERppe	NOMB.=s|GENRE=m|CAS=r
saveir	savoir	NOMcom	NOMB.=s|GENRE=m|CAS=r
aime	amer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
tent	tenir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
chier	chier	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
eit	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
digne	digne	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
fust	fust1	NOMcom	NOMB.=s|GENRE=m|CAS=r
fut	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
mis	metre2	VERppe	NOMB.=s|GENRE=m|CAS=n
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
fin	fin1	NOMcom	NOMB.=s|GENRE=f|CAS=r
eriont	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
dampné	damner	VERppe	NOMB.=p|GENRE=m|CAS=n
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
né	naistre	VERppe	NOMB.=p|GENRE=m|CAS=n
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
furent	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
seront	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
saintisme	saintisme	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=s
croiz	croiz	NOMcom	NOMB.=s|GENRE=f|CAS=r
geta	jeter	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
parfond	parfont	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
poiz	puiz	NOMcom	NOMB.=s|GENRE=m|CAS=r
poeir	pöoir	NOMcom	NOMB.=s|GENRE=m|CAS=r
