form	lemma	POS	morph
Ne	ne1	ADVneg	MORPH=empty
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=f|CAS=i
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
mieus	mieus	ADVgen	DEGRE=c
noumer	nomer	VERinf	MORPH=empty
ciertes	certes	ADVgen	DEGRE=-
que	que1	ADVgen	MORPH=empty
plaine	plein	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
lune	lune	NOMcom	NOMB.=s|GENRE=f|CAS=r
Vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=f|CAS=n
estes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
plaine	plein	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
lune	lune	NOMcom	NOMB.=s|GENRE=f|CAS=n
et	et	CONcoo	MORPH=empty
serés	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
sans	sans	PRE	MORPH=empty
decours	decors	NOMcom	NOMB.=s|GENRE=m|CAS=r
cuers	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=n
ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
à	a3	PRE	MORPH=empty
droit	droit	NOMcom	NOMB.=s|GENRE=m|CAS=r
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=f|CAS=r
aime	amer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
atent	atendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
vrai	verai	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
secours	secors	NOMcom	NOMB.=s|GENRE=m|CAS=r
trop	trop	ADVgen	DEGRE=-
i	i2	PROadv	MORPH=empty
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
atargié	atargier	VERppe	NOMB.=s|GENRE=m|CAS=r
metre	metre2	VERinf	MORPH=empty
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
esteut	estovoir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
au	a3+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
cours	cors2	NOMcom	NOMB.=s|GENRE=m|CAS=r
Dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n
secourés	secorre1	VERcjg	MODE=imp|PERS.=2|NOMB.=p
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
car	car	CONcoo	MORPH=empty
mes	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=n
termes	terme	NOMcom	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
cours	cort2	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
Vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=f|CAS=n
n	ne1	ADVneg	MORPH=empty
estes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
mie	mie	ADVneg	MORPH=empty
lune	lune	NOMcom	NOMB.=s|GENRE=f|CAS=n
croissans	croistre	VERppa	NOMB.=s|GENRE=f|CAS=n
et	et	CONcoo	MORPH=empty
descroissans	descroistre	VERppa	NOMB.=s|GENRE=f|CAS=n
ains	ainz	ADVgen	DEGRE=-
estes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
de	de	PRE	MORPH=empty
tous	tot	DETind	NOMB.=p|GENRE=m|CAS=r
biens	bien2	NOMcom	NOMB.=p|GENRE=m|CAS=r
raemplie	räemplir	VERppe	NOMB.=s|GENRE=f|CAS=n
tous	tot	DETind	NOMB.=p|GENRE=m|CAS=r
tans	tens	NOMcom	NOMB.=p|GENRE=m|CAS=r
Qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
bien	bien1	ADVgen	DEGRE=p
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=f|CAS=r
ameroit	amer1	VERcjg	MODE=con|PERS.=3|NOMB.=s
comme	come1	CONsub	MORPH=empty
loiaus	lëal	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
amans	amant	NOMcom	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
vostre	vostre	DETpos	PERS.=2|NOMB.=s|GENRE=f|CAS=r
amour	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r
seroit	estre1	VERcjg	MODE=con|PERS.=3|NOMB.=s
tous	tot	DETind	NOMB.=s|GENRE=m|CAS=n
ses	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=n
cuers	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=n
sourundans	soronder	VERppa	NOMB.=s|GENRE=m|CAS=n
Si	si	ADVgen	DEGRE=-
plaine	plein	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
estes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
de	de	PRE	MORPH=empty
bien	bien2	NOMcom	NOMB.=s|GENRE=m|CAS=r
que	que4	CONsub	MORPH=empty
toute	tot	ADVgen	NOMB.=s|GENRE=f|CAS=r
en	en2	PROadv	MORPH=empty
sourondés	soronder	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
Dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n
par	par	PRE	MORPH=empty
vo	vostre	DETpos	PERS.=2|NOMB.=s|GENRE=f|CAS=r
mierchi	merci	NOMcom	NOMB.=s|GENRE=f|CAS=r
sour	sor2	PRE	MORPH=empty
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
en	en2	PROadv	MORPH=empty
respandés	respandre	VERcjg	MODE=imp|PERS.=2|NOMB.=p
tant	tant	ADVgen	DEGRE=-
que	que4	CONsub	MORPH=empty
mes	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=n
cuers	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=n
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
fel	felon	NOMcom	NOMB.=s|GENRE=m|CAS=n
en	en2	PROadv	MORPH=empty
puist	pöoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
estre	estre1	VERinf	MORPH=empty
arousés	aroser1	VERppe	NOMB.=s|GENRE=m|CAS=n
c	que4	CONcoo	MORPH=empty
autrement	autrement	ADVgen	DEGRE=-
ne	ne1	ADVneg	MORPH=empty
puis	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
estre	estre1	VERinf	MORPH=empty
de	de	PRE	MORPH=empty
mes	mon1	DETpos	PERS.=1|NOMB.=p|GENRE=m|CAS=r
pechiés	pechié	NOMcom	NOMB.=p|GENRE=m|CAS=r
mondés	monder2	VERppe	NOMB.=s|GENRE=m|CAS=n
Vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=f|CAS=n
estes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
l	le	DETdef	NOMB.=s|GENRE=m|CAS=n
olifans	olifant	NOMcom	NOMB.=s|GENRE=m|CAS=n
ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
ainc	ainz	ADVgen	DEGRE=-
ne	ne1	ADVneg	MORPH=empty
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
ploia	ploiier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Se	se	CONsub	MORPH=empty
Dieus	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
s	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
offri	ofrir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
à	a3	PRE	MORPH=empty
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=f|CAS=r
hautement	hautement	ADVgen	DEGRE=p
s	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
emploia	emploiier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
