form	lemma	POS	morph
Granz	grant	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
fais	fais	NOMcom	NOMB.=s|GENRE=m|CAS=n
que	que2	PROrel	NOMB.=s|GENRE=m|CAS=r
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n
avera	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
que	que4	CONsub	MORPH=empty
sor	sor2	PRE	MORPH=empty
sei	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
cure	cure	NOMcom	NOMB.=s|GENRE=f|CAS=r
en	en2	PROadv	MORPH=empty
prendra	prendre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
quar	car	CONcoo	MORPH=empty
,	,	PONfbl	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
sachez	savoir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
,	,	PONfbl	MORPH=empty
tot	tot	ADVgen	NOMB.=s|GENRE=m|CAS=r
veirement	voirement	ADVgen	DEGRE=-
si	si	ADVgen	DEGRE=-
cum	come1	CONsub	MORPH=empty
Dex	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
temporaument	temporelment	ADVgen	DEGRE=-
entre	entre2	PRE	MORPH=empty
ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r
seinz	saint	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
apostres	apostle	NOMcom	NOMB.=p|GENRE=m|CAS=r
ensement	ensement	ADVgen	DEGRE=-
,	,	PONfbl	MORPH=empty
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
maistre	maistre	NOMcom	NOMB.=s|GENRE=m|CAS=n
nostres	nostre	ADJpos	PERS.=1|NOMB.=s|GENRE=m|CAS=n
molt	mout	ADVgen	DEGRE=-
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
covient	covenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
estre	estre1	VERinf	MORPH=empty
predome	prodome	NOMcom	NOMB.=s|GENRE=m|CAS=n
qui	que2	PROrel	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
apostoile	apostoile	NOMcom	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
Rome	Rome	NOMpro	NOMB.=s|GENRE=x|CAS=r
.	.	PONfrt	MORPH=empty
Nos	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=n
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
noms	nom	NOMcom	NOMB.=p|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
legat	legat1	NOMcom	NOMB.=s|GENRE=m|CAS=r
avomes	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
ou	en1+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
lue	lieu	NOMcom	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
apostre	apostle	NOMcom	NOMB.=s|GENRE=m|CAS=r
somes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
;	;	PONfbl	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
furent	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
e	et	CONcoo	MORPH=empty
autresi	autresi	ADVgen	DEGRE=-
somes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
nos	nostre	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=n
legaz	legat1	NOMcom	NOMB.=s|GENRE=m|CAS=n
ci	ci	ADVgen	DEGRE=-
,	,	PONfbl	MORPH=empty
isi	ici	ADVgen	DEGRE=-
