form	lemma	POS	morph
mieuz	mieus	ADVgen	DEGRE=c
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
venist	venir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
par	par	PRE	MORPH=empty
foi	foi	NOMcom	NOMB.=s|GENRE=f|CAS=r
assez	assez	ADVgen	DEGRE=-
qu	que4	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
ne	ne1	ADVneg	MORPH=empty
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
ja	ja	ADVgen	DEGRE=-
de	de	PRE	MORPH=empty
mere	mere	NOMcom	NOMB.=s|GENRE=f|CAS=r
nez	naistre	VERppe	NOMB.=s|GENRE=m|CAS=n
Li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
deciple	desciple	NOMcom	NOMB.=p|GENRE=m|CAS=n
quant	cant1	CONsub	MORPH=empty
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
oï	öir	VERppe	NOMB.=s|GENRE=m|CAS=r
tuit	tot	DETind	NOMB.=p|GENRE=m|CAS=n
leur	lor2	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=n
membre	membre	NOMcom	NOMB.=p|GENRE=m|CAS=n
leur	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=i
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
fremi	fremir	VERppe	NOMB.=p|GENRE=m|CAS=n
N	ne1	ADVneg	MORPH=empty
i	i2	PROadv	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
celui	cel	PROdem	NOMB.=s|GENRE=m|CAS=r
paör	pëor	NOMcom	NOMB.=s|GENRE=f|CAS=r
n	ne1	ADVneg	MORPH=empty
ait	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
et	et	CONcoo	MORPH=empty
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
souvent	sovent	ADVgen	DEGRE=p
ne	ne1	ADVneg	MORPH=empty
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
demant	demander	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
Mestre	maistre	NOMcom	NOMB.=s|GENRE=m|CAS=n
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
chascun	chascun	PROind	NOMB.=s|GENRE=m|CAS=n
endroit	endroit	PRE	MORPH=empty
soi	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
que	que2	PROrel	NOMB.=s|GENRE=n|CAS=r
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=n
diz	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n
de	de	PRE	MORPH=empty
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
En	en1	PRE	MORPH=empty
charité	charité	NOMcom	NOMB.=s|GENRE=f|CAS=r
quar	car	ADVgen	MORPH=empty
le	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
di	dire	VERcjg	MODE=imp|PERS.=2|NOMB.=s
Et	et	CONcoo	MORPH=empty
Damedieu	Damedeu	NOMpro	NOMB.=s|GENRE=m|CAS=n
si	si	ADVgen	DEGRE=-
respondi	respondre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
O	o4	PRE	MORPH=empty
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
menjue	mangier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
et	et	CONcoo	MORPH=empty
o	o4	PRE	MORPH=empty
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
boit	boivre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
traïr	träir	VERinf	MORPH=empty
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
fel	felon	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
Judas	Judas	NOMpro	NOMB.=s|GENRE=m|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
respondu	respondre1	VERppe	NOMB.=s|GENRE=m|CAS=r
Sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
donc	donc	ADVgen	DEGRE=-
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n
mestre	maistre	NOMcom	NOMB.=s|GENRE=m|CAS=n
Jhesu	Jésus	NOMpro	NOMB.=s|GENRE=m|CAS=n
Oïl	öil	ADVgen	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n
es	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=n
vraiement	veraiement	ADVgen	DEGRE=-
Parole	parler	VERcjg	MODE=imp|PERS.=2|NOMB.=s
au	a3+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
ou	o3	CONcoo	MORPH=empty
pou	poi	ADVgen	DEGRE=-
ou	o3	CONcoo	MORPH=empty
grant	grant	ADVgen	DEGRE=-
enseigne	enseignier	VERcjg	MODE=imp|PERS.=2|NOMB.=s
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
ou	o3	CONcoo	MORPH=empty
mal	mal1	NOMcom	NOMB.=s|GENRE=m|CAS=r
ou	o3	CONcoo	MORPH=empty
bien	bien2	NOMcom	NOMB.=s|GENRE=m|CAS=r
Jhesus	Jésus	NOMpro	NOMB.=s|GENRE=m|CAS=n
ne	ne1	ADVneg	MORPH=empty
respont	respondre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
nule	nul	DETind	NOMB.=s|GENRE=f|CAS=r
rien	rien	NOMcom	NOMB.=s|GENRE=f|CAS=r
Cil	cel	PROdem	NOMB.=p|GENRE=m|CAS=n
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
avoient	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
amené	amener	VERppe	NOMB.=s|GENRE=m|CAS=r
erent	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
Juïs	jüif	NOMpro	NOMB.=p|GENRE=m|CAS=n
tuit	tot	PROind	NOMB.=p|GENRE=m|CAS=n
forsené	forsener	VERppe	NOMB.=p|GENRE=m|CAS=n
Au	a3+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
Herode	Hérode	NOMpro	NOMB.=s|GENRE=m|CAS=r
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
acusoient	acuser	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
et	et	CONcoo	MORPH=empty
empiroient	empirier	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
et	et	CONcoo	MORPH=empty
blasmoient	blasmer	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
Quant	cant1	CONsub	MORPH=empty
Herode	Hérode	NOMpro	NOMB.=s|GENRE=m|CAS=n
vit	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
Jhesu	Jésus	NOMpro	NOMB.=s|GENRE=m|CAS=r
que	que4	CONsub	MORPH=empty
riens	rien	NOMcom	NOMB.=s|GENRE=f|CAS=r
ne	ne1	ADVneg	MORPH=empty
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
respondu	respondre1	VERppe	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
que	que4	CONsub	MORPH=empty
pour	por2	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
ne	ne1	ADVneg	MORPH=empty
veut	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
rien	rien	PROind	NOMB.=s|GENRE=f|CAS=r
fere	faire	VERinf	MORPH=empty
Cist	cest	DETdem	NOMB.=s|GENRE=m|CAS=n
homs	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
font	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
mal	mal1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
ere	aire2	NOMcom	NOMB.=s|GENRE=f|CAS=r
moult	mout	ADVgen	DEGRE=-
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
despit	despire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
si	si	ADVgen	DEGRE=-
font	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n
gent	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=n
Vestu	vestir	VERppe	NOMB.=s|GENRE=m|CAS=r
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
d	de	PRE	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
blanc	blanc	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
vestement	vestement	NOMcom	NOMB.=s|GENRE=m|CAS=r
puis	puis	ADVgen	DEGRE=-
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
gabé	gaber	VERppe	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
escharni	escharnir	VERppe	NOMB.=s|GENRE=m|CAS=r
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n
male	mal1	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
gent	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=n
et	et	CONcoo	MORPH=empty
escopi	escopir	VERppe	NOMB.=s|GENRE=m|CAS=r
