form	lemma	POS	morph
que	que4	CONsub	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n
freidors	froidor	NOMcom	NOMB.=s|GENRE=f|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ça	ça	ADVgen	DEGRE=-
si	si	ADVgen	DEGRE=-
granz	grant	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
e	et	CONcoo	MORPH=empty
là	là	ADVgen	DEGRE=-
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
chauz	chaut	NOMcom	NOMB.=s|GENRE=m|CAS=n
si	si	ADVgen	DEGRE=-
esboillanz	esbolir	VERppa	NOMB.=s|GENRE=m|CAS=n
Mais	mais1	CONcoo	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
i	i2	PROadv	MORPH=empty
soi	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
or	or4	ADVgen	DEGRE=-
pas	pas	ADVneg	MORPH=empty
enpris	emprendre	VERppe	NOMB.=s|GENRE=m|CAS=n
com	come1	CONsub	MORPH=empty
si	si	ADVgen	DEGRE=-
faites	faire	VERppe	NOMB.=p|GENRE=f|CAS=r
choses	chose	NOMcom	NOMB.=p|GENRE=f|CAS=r
devis	deviser	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
Haute	haut	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
moct	mout	ADVgen	DEGRE=-
l	le	DETdef	NOMB.=s|GENRE=f|CAS=n
ovre	le	DETdef	NOMB.=s|GENRE=f|CAS=n
e	et	CONcoo	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n
matire	matiere	NOMcom	NOMB.=s|GENRE=f|CAS=n
e	et	CONcoo	MORPH=empty
si	si	ADVgen	DEGRE=-
i	i2	PROadv	MORPH=empty
avreit	avoir	VERcjg	MODE=con|PERS.=3|NOMB.=s
trop	trop	ADVgen	DEGRE=-
à	a3	PRE	MORPH=empty
dire	dire	VERinf	MORPH=empty
e	et	CONcoo	MORPH=empty
mei	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
n	ne1	ADVneg	MORPH=empty
i	i2	PROadv	MORPH=empty
list	loisir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pas	pas	ADVneg	MORPH=empty
demorer	demorer	VERinf	MORPH=empty
quer	car	CONcoo	MORPH=empty
moct	mout	ADVgen	DEGRE=-
i	i2	PROadv	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
d	de	PRE	MORPH=empty
el	el1	PROind	NOMB.=s|GENRE=n|CAS=r
à	a3	PRE	MORPH=empty
parler	parler	VERinf	MORPH=empty
Mais	mais1	CONcoo	MORPH=empty
quin	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
voudra	voloir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
saveir	savoir	VERinf	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
fin	fin1	NOMcom	NOMB.=s|GENRE=f|CAS=r
si	si	ADVgen	DEGRE=-
lise	lire1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
Pline	Pline	NOMpro	NOMB.=s|GENRE=m|CAS=r
ou	o3	CONcoo	MORPH=empty
Augustin	Augustin	NOMpro	NOMB.=s|GENRE=m|CAS=r
Entre	entre2	PRE	MORPH=empty
cez	ce2	DETdem	NOMB.=p|GENRE=f|CAS=r
contrarietez	contrarïeté	NOMcom	NOMB.=p|GENRE=f|CAS=r
qui	qui	PROrel	NOMB.=p|GENRE=f|CAS=n
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
si	si	ADVgen	DEGRE=-
granz	grant	ADJqua	NOMB.=p|GENRE=f|CAS=n|DEGRE=p
con	come1	CONsub	MORPH=empty
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
oiez	öir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
