form	lemma	POS	morph
Esjoient	esjöir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
esleecent	eslëecier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
quierent	querre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
dient	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
ures	ore3	NOMcom	NOMB.=p|GENRE=f|CAS=r
Seit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
magnifiéd	magnefiier	VERppe	NOMB.=s|GENRE=m|CAS=n
aiment	amer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
salud	salu	NOMcom	NOMB.=s|GENRE=m|CAS=r
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
busuignus	besoignos	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
povres	povre	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
haste	haster	VERcjg	MODE=imp|PERS.=2|NOMB.=s
aïe	äie	NOMcom	NOMB.=s|GENRE=f|CAS=n
salverre	sauvëor	NOMcom	NOMB.=s|GENRE=m|CAS=n
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
demuerges	demorer	VERcjg	MODE=sub|TEMPS=pst|PERS.=2|NOMB.=s
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
esperai	esperer	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
serei	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
cunfundut	confondre	VERppe	NOMB.=s|GENRE=m|CAS=n
siecle	siecle	NOMcom	NOMB.=s|GENRE=m|CAS=r
justise	justice	NOMcom	NOMB.=s|GENRE=f|CAS=r
guaris	garir	VERcjg	MODE=imp|PERS.=2|NOMB.=s
delivre	delivrer	VERcjg	MODE=imp|PERS.=2|NOMB.=s
encline	encliner	VERcjg	MODE=imp|PERS.=2|NOMB.=s
oreille	oreille	NOMcom	NOMB.=s|GENRE=f|CAS=r
salve	sauver	VERcjg	MODE=imp|PERS.=2|NOMB.=s
Seies	estre1	VERcjg	MODE=imp|PERS.=2|NOMB.=p
fort	fort	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
habitacles	abitacle	NOMcom	NOMB.=s|GENRE=m|CAS=n
entre	entrer	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
cumandas	comander	VERcjg	MODE=ind|TEMPS=psp|PERS.=2|NOMB.=s
salvereies	sauver	VERcjg	MODE=con|PERS.=2|NOMB.=s
serums	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p
fort	fort	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
defulerad	defoler	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
enemis	enemi	NOMcom	NOMB.=p|GENRE=m|CAS=r
loables	löable	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
taises	taire	VERcjg	MODE=sub|TEMPS=pst|PERS.=2|NOMB.=s
buche	boche	NOMcom	NOMB.=s|GENRE=f|CAS=n
felun	felon	NOMcom	NOMB.=s|GENRE=m|CAS=r
buche	boche	NOMcom	NOMB.=s|GENRE=f|CAS=n
tricheur	trichëor	NOMcom	NOMB.=s|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
aoverte	aovrir	VERppe	NOMB.=s|GENRE=f|CAS=n
parlerent	parler	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
langue	langue1	NOMcom	NOMB.=s|GENRE=f|CAS=r
mençunge	mençogne	NOMcom	NOMB.=s|GENRE=m|CAS=r
paroles	parole	NOMcom	NOMB.=p|GENRE=f|CAS=r
haenge	häine	NOMcom	NOMB.=s|GENRE=f|CAS=r
avirunerent	avironer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
escumbatirent	escombatre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
vein	vain	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
amoe	amer1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
cuntrarioent	contrariier	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
orowe	öir	VERcjg	MODE=con|PERS.=1|NOMB.=s
poserent	poser	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
mal	mal1	NOMcom	NOMB.=s|GENRE=m|CAS=r
bien	bien2	NOMcom	NOMB.=s|GENRE=m|CAS=r
haenge	häine	NOMcom	NOMB.=s|GENRE=f|CAS=r
amistie	amistié	NOMcom	NOMB.=s|GENRE=f|CAS=r
Establis	establir	VERcjg	MODE=imp|PERS.=2|NOMB.=s
felun	felon	NOMcom	NOMB.=s|GENRE=m|CAS=r
estaced	estovoir1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
destres	destre	NOMcom	NOMB.=p|GENRE=f|CAS=r
serad	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
jugiez	jugier	VERppe	NOMB.=s|GENRE=m|CAS=n
eissed	issir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
damnez	damner	VERppe	NOMB.=s|GENRE=m|CAS=n
