form	lemma	POS	morph
n	ne2	CONcoo	MORPH=empty
à	a3	PRE	MORPH=empty
nului	nul	PROind	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
vostre	vostre	DETpos	PERS.=2|NOMB.=s|GENRE=f|CAS=r
lignie	ligniee	NOMcom	NOMB.=s|GENRE=f|CAS=r
Si	si	ADVgen	DEGRE=-
fais	faire	VERppe	NOMB.=s|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
n	ne1	ADVneg	MORPH=empty
en	en2	PROadv	MORPH=empty
doutez	doter2	VERcjg	MODE=imp|PERS.=2|NOMB.=p
mie	mie	ADVneg	MORPH=empty
et	et	CONcoo	MORPH=empty
iert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
soiez	estre1	VERcjg	MODE=imp|PERS.=2|NOMB.=p
certains	certain	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
tant	tant	ADVgen	DEGRE=-
qu	que4	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
sera	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
entre	entre2	PRE	MORPH=empty
vos	vostre	DETpos	PERS.=2|NOMB.=p|GENRE=f|CAS=r
mains	main2	NOMcom	NOMB.=p|GENRE=f|CAS=r
Et	et	CONcoo	MORPH=empty
s	se	CONsub	MORPH=empty
à	a3	PRE	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
autre	autre	PROind	NOMB.=s|GENRE=m|CAS=r
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
donnés	doner	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
à	a3	PRE	MORPH=empty
celui	cel	PROdem	NOMB.=s|GENRE=m|CAS=r
resera	restre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
tous	tot	ADVgen	NOMB.=s|GENRE=m|CAS=n
tés	tel	ADJind	NOMB.=s|GENRE=m|CAS=n
Tous	tot	DETind	NOMB.=p|GENRE=m|CAS=r
jours	jor	NOMcom	NOMB.=p|GENRE=m|CAS=r
pour	por2	PRE	MORPH=empty
celui	cel	PROdem	NOMB.=s|GENRE=m|CAS=r
trompera	tromper	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
qui	que2	PROrel	NOMB.=s|GENRE=m|CAS=n
vers	vers2	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
conme	come1	CONsub	MORPH=empty
sien	suen	PROpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
aura	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
Ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
vueil	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
pour	por2	PRE	MORPH=empty
voir	voir	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
jurer	jurer	VERinf	MORPH=empty
nel	ne1+il	ADVneg.PROper	MORPH=empty+PERS.=3|NOMB.=s|GENRE=n|CAS=r
puis	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
ore	or4	ADVgen	DEGRE=-
autrement	autrement	ADVgen	DEGRE=-
prouver	prover	VERinf	MORPH=empty
