form	lemma	POS	morph
Nule	nul	DETind	NOMB.=s|GENRE=f|CAS=n
si	si	ADVgen	DEGRE=-
laide	lait1	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
criature	crïature	NOMcom	NOMB.=s|GENRE=f|CAS=n
ne	ne1	ADVneg	MORPH=empty
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
veue	vëoir	VERppe	NOMB.=s|GENRE=f|CAS=n
n	ne2	CONcoo	MORPH=empty
’	’	PONfbl	MORPH=empty
encontree	encontrer	VERppe	NOMB.=s|GENRE=f|CAS=n
et	et	CONcoo	MORPH=empty
si	si	ADVgen	DEGRE=-
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
teste	teste	NOMcom	NOMB.=s|GENRE=f|CAS=r
lee	lait1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
que	que4	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
n	ne1	ADVneg	MORPH=empty
’	’	PONfbl	MORPH=empty
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
estez	estre1	VERppe	NOMB.=s|GENRE=m|CAS=n
lavez	laver	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
tant	tant	ADVgen	DEGRE=-
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
esté	estre1	VERppe	NOMB.=s|GENRE=m|CAS=n
adolez	adoler	VERppe	NOMB.=s|GENRE=m|CAS=n
les	le	DETdef	NOMB.=p|GENRE=f|CAS=n
danz	dent2	NOMcom	NOMB.=p|GENRE=f|CAS=r
roces	ros3	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
con	come1	CONsub	MORPH=empty
moiaus	moiuel1	NOMcom	NOMB.=p|GENRE=m|CAS=r
d	de	PRE	MORPH=empty
’	’	PONfbl	MORPH=empty
uef	uef	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
si	si	ADVgen	DEGRE=-
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
di	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
que	que4	CONsub	MORPH=empty
à	a3	PRE	MORPH=empty
nul	nul	DETind	NOMB.=s|GENRE=m|CAS=r
fuer	fuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r
ne	ne1	ADVneg	MORPH=empty
deust	devoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
jesir	jesir	VERinf	MORPH=empty
nule	nul	DETind	NOMB.=s|GENRE=f|CAS=n
fame	feme	NOMcom	NOMB.=s|GENRE=f|CAS=n
,	,	PONfbl	MORPH=empty
tant	tant	ADVgen	DEGRE=-
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
chiere	chiere	NOMcom	NOMB.=s|GENRE=f|CAS=r
grifaine	grifain	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
et	et	CONcoo	MORPH=empty
vint	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
au	a3+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
bain	bain	NOMcom	NOMB.=s|GENRE=m|CAS=r
toz	tot	ADVgen	NOMB.=s|GENRE=m|CAS=n
esfraez	esfrëer	VERppe	NOMB.=s|GENRE=m|CAS=n
ausinc	aussi	ADVgen	DEGRE=-
con	come1	CONsub	MORPH=empty
se	se	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
desvez	desver	VERppe	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
«	«	PONfbl	MORPH=empty
Q	que3	PROint	NOMB.=s|GENRE=n|CAS=n
’	’	PONfbl	MORPH=empty
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n
?	?	PONfrt	MORPH=empty
»	»	PONfbl	MORPH=empty
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
«	«	PONfbl	MORPH=empty
Qui	qui	PROint	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
or	or4	ADVgen	DEGRE=-
ceste	cest	PROdem	NOMB.=s|GENRE=f|CAS=n
,	,	PONfbl	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
ne	ne1	ADVneg	MORPH=empty
quier	querre	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
ja	ja	ADVgen	DEGRE=-
trover	trover	VERinf	MORPH=empty
plus	plus	ADVgen	DEGRE=c
preste	prest1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
,	,	PONfbl	MORPH=empty
couchiez	couchier	VERcjg	MODE=imp|PERS.=2|NOMB.=p
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=f|CAS=r
tost	tost1	ADVgen	DEGRE=p
si	si	ADVgen	DEGRE=-
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=f|CAS=r
foutrai	fotre	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
.	.	PONfrt	MORPH=empty
»	»	PONfbl	MORPH=empty
Cele	cel	PROdem	NOMB.=s|GENRE=f|CAS=n
lo	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
vit	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
hideus	hisdos	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
et	et	CONcoo	MORPH=empty
lai	lait1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
Qant	cant1	CONsub	MORPH=empty
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
oï	öir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
volenté	volenté	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
mercie	mercïer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
’	’	PONfbl	MORPH=empty
en	en2	PROadv	MORPH=empty
,	,	PONfbl	MORPH=empty
si	si	ADVgen	DEGRE=-
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
’	’	PONfbl	MORPH=empty
en	en2	PROadv	MORPH=empty
set	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
gré	gré2	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
quant	cant1	CONsub	MORPH=empty
por	por2	PRE	MORPH=empty
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
fiz	fil2	NOMcom	NOMB.=s|GENRE=m|CAS=r
trover	trover	VERinf	MORPH=empty
et	et	CONcoo	MORPH=empty
querre	querre	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
voloit	voloir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
issir	issir	VERinf	MORPH=empty
fors	fors1	ADVgen	DEGRE=-
de	de	PRE	MORPH=empty
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
por	por2	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
bien	bien2	NOMcom	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
mostrer	mostrer	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
voloit	voloir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
mie	mie	ADVneg	MORPH=empty
destorber	destorber	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Milon	Milon	NOMpro	NOMB.=s|GENRE=m|CAS=n
oï	öir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
mandement	mandement	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
si	si	ADVgen	DEGRE=-
s	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
’	’	PONfbl	MORPH=empty
apareille	apareillier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
richement	richement	ADVgen	DEGRE=p
,	,	PONfbl	MORPH=empty
en	en1	PRE	MORPH=empty
Normendie	Normandie	NOMpro	NOMB.=s|GENRE=f|CAS=r
en	en2	PROadv	MORPH=empty
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
passez	passer1	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
puis	puis	ADVgen	DEGRE=-
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
desqu	desque	PRE	MORPH=empty
’	’	PONfbl	MORPH=empty
en	en1	PRE	MORPH=empty
Bretaingne	Bretaigne	NOMpro	NOMB.=s|GENRE=f|CAS=r
alez	aler	VERppe	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
Molt	mout	ADVgen	DEGRE=-
s	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
’	’	PONfbl	MORPH=empty
acointa	acointier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
à	a3	PRE	MORPH=empty
plusors	plusor	DETind	NOMB.=p|GENRE=f|CAS=r
genz	gent1	NOMcom	NOMB.=p|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
molt	mout	ADVgen	DEGRE=-
sercha	cerchier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
tornoiemenz	tornoiement	NOMcom	NOMB.=p|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
riches	riche	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
oster	ostel	NOMcom	NOMB.=p|GENRE=m|CAS=r
tenoit	tenir1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
souvent	sovent	ADVgen	DEGRE=p
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
si	si	ADVgen	DEGRE=-
donnoit	doner	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
cortoisement	cortoisement	ADVgen	DEGRE=p
;	;	PONfbl	MORPH=empty
tout	tot	DETind	NOMB.=s|GENRE=m|CAS=r
yver	iver2	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
avis	avis	NOMcom	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
Quant	cant1	CONsub	MORPH=empty
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
caliphes	calife	NOMcom	NOMB.=s|GENRE=m|CAS=n
sot	savoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
que	que4	CONsub	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Cassidorus	Cassidorus	NOMpro	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
Costantinnoble	Constantinople	NOMpro	NOMB.=s|GENRE=x|CAS=r
,	,	PONfbl	MORPH=empty
moult	mout	ADVgen	DEGRE=-
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
liez	lié1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
dedenz	dedenz	PRE	MORPH=empty
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
quar	car	CONcoo	MORPH=empty
moult	mout	ADVgen	DEGRE=-
