form	lemma	POS	morph
fai	faire	VERcjg	MODE=imp|PERS.=2|NOMB.=s
sac	sac1	NOMcom	NOMB.=s|GENRE=m|CAS=r
avoir	avoir	VERinf	MORPH=empty
plaist	plaire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
sera	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
saus	sauf	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
Tien	tenir1	VERcjg	MODE=imp|PERS.=2|NOMB.=s
tient	tenir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mençaus	menchaut	NOMcom	NOMB.=p|GENRE=m|CAS=r
Alés	aler	VERcjg	MODE=imp|PERS.=2|NOMB.=p
ramaint	remener	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
Ostes	oste	NOMcom	NOMB.=s|GENRE=m|CAS=n
Priés	priier	VERcjg	MODE=imp|PERS.=2|NOMB.=p
cose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=n
viegne	venir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
foi	foi	NOMcom	NOMB.=s|GENRE=f|CAS=r
segneur	seignor	NOMcom	NOMB.=p|GENRE=m|CAS=n
souviegne	sovenir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
ses	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
art	art	NOMcom	NOMB.=s|GENRE=m|CAS=r
Va	aler	VERcjg	MODE=imp|PERS.=2|NOMB.=s
part	part1	NOMcom	NOMB.=s|GENRE=f|CAS=r
espier	espiier1	VERinf	MORPH=empty
roys	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
dort	dormir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fil	fil2	NOMcom	NOMB.=s|GENRE=m|CAS=n
putain	pute	NOMcom	NOMB.=s|GENRE=f|CAS=r
larron	larron	NOMcom	NOMB.=s|GENRE=m|CAS=n
roys	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
dort	dormir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
baron	baron	NOMcom	NOMB.=p|GENRE=m|CAS=n
fussent	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=p
mort	morir	VERppe	NOMB.=p|GENRE=m|CAS=n
prisa	prisier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
catel	chatel	NOMcom	NOMB.=s|GENRE=m|CAS=r
cornu	cornu	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
menestrel	menestrel	NOMcom	NOMB.=s|GENRE=m|CAS=r
commanda	comander	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
bele	bel1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
ricoise	richece	NOMcom	NOMB.=s|GENRE=f|CAS=r
