form	lemma	POS	morph
N	ne1	ADVneg	MORPH=empty
estes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
Diex	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
Nenil	nenil	ADVneg	MORPH=empty
par	par	PRE	MORPH=empty
foi	foi	NOMcom	NOMB.=s|GENRE=f|CAS=r
Qui	qui	PROint	NOMB.=s|GENRE=m|CAS=n
estes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
Chevaliers	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=n
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
Einz	ainz	ADVgen	DEGRE=-
mes	mais1	ADVgen	DEGRE=-
chevalier	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=r
ne	ne1	ADVneg	MORPH=empty
conui	conoistre	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
vallez	vaslet	NOMcom	NOMB.=s|GENRE=m|CAS=n
ne	ne2	CONcoo	MORPH=empty
nul	nul	PROind	NOMB.=s|GENRE=m|CAS=r
n	ne1	ADVneg	MORPH=empty
en	en2	PROadv	MORPH=empty
vi	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
n	ne2	CONcoo	MORPH=empty
onques	onque	ADVgen	DEGRE=-
mes	mais1	ADVgen	DEGRE=-
paller	parler	VERinf	MORPH=empty
n	ne1	ADVneg	MORPH=empty
en	en2	PROadv	MORPH=empty
oï	öir	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
mais	mais1	CONcoo	MORPH=empty
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
hietes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
plus	plus	ADVgen	DEGRE=c
biauz	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
que	que1	CONsub	MORPH=empty
Diex	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
Car	car	ADVgen	MORPH=empty
fusse	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=1|NOMB.=s
ge	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
or	or4	ADVgen	DEGRE=-
autretex	autretel	ADJind	NOMB.=s|GENRE=m|CAS=n
ausis	aussi	ADVgen	DEGRE=-
vermauz	vermeil1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
et	et	CONcoo	MORPH=empty
ausis	aussi	ADVgen	DEGRE=-
faiz	faire	VERppe	NOMB.=s|GENRE=m|CAS=n
A	a3	PRE	MORPH=empty
cest	cest	DETdem	NOMB.=s|GENRE=m|CAS=r
mot	mot	NOMcom	NOMB.=s|GENRE=m|CAS=r
