form	lemma	POS	morph
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
mort	morir	VERppe	NOMB.=s|GENRE=m|CAS=r
jut	jesir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
place	place	NOMcom	NOMB.=s|GENRE=f|CAS=r
paien	paien	NOMcom	NOMB.=p|GENRE=m|CAS=n
esgardent	esgarder	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
dessendent	descendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
angarde	angarde	NOMcom	NOMB.=s|GENRE=f|CAS=r
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
eslaissiét	eslaissier	VERppe	NOMB.=p|GENRE=m|CAS=n
felon	felon	NOMcom	NOMB.=p|GENRE=m|CAS=n
mescreable	mescrëable	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
ber	baron	NOMcom	NOMB.=s|GENRE=m|CAS=n
desfent	defendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ait	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
garde	garde	NOMcom	NOMB.=s|GENRE=f|CAS=r
encontre	encontrer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
talent	talent	NOMcom	NOMB.=s|GENRE=m|CAS=r
oir	öir	VERinf	MORPH=empty
fable	fable	NOMcom	NOMB.=s|GENRE=f|CAS=r
abati	abatre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
raine	raine	NOMcom	NOMB.=s|GENRE=f|CAS=r
plate	plat	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
tornent	torner	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
fuie	fuie	NOMcom	NOMB.=s|GENRE=f|CAS=r
cache	chacier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
encauche	enchaucier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mort	mort	NOMcom	NOMB.=s|GENRE=f|CAS=r
manace	menacier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
vait	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ferir	ferir	VERinf	MORPH=empty
doree	dorer	VERppe	NOMB.=s|GENRE=f|CAS=r
targe	targe1	NOMcom	NOMB.=s|GENRE=f|CAS=r
boucle	bocle	NOMcom	NOMB.=s|GENRE=f|CAS=r
or	or1	NOMcom	NOMB.=s|GENRE=m|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
percie	percier	VERppe	NOMB.=s|GENRE=f|CAS=r
quasse	casser	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
boin	bon	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
auberc	hauberc	NOMcom	NOMB.=s|GENRE=m|CAS=n
rompi	rompre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
maille	maille	NOMcom	NOMB.=s|GENRE=f|CAS=r
vasal	vassal	NOMcom	NOMB.=p|GENRE=m|CAS=n
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
preu	pro	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
entrabatent	entr'abatre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
passe	passer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
toli	tolir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
hanste	hanste	NOMcom	NOMB.=s|GENRE=f|CAS=r
pré	pré	NOMcom	NOMB.=s|GENRE=m|CAS=r
jete	jeter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
espee	espee	NOMcom	NOMB.=s|GENRE=f|CAS=r
traite	traire	VERppe	NOMB.=s|GENRE=f|CAS=r
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mandé	mander	VERppe	NOMB.=s|GENRE=m|CAS=r
riche	riche	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
secor	secors	NOMcom	NOMB.=s|GENRE=m|CAS=r
ajut	ajoster	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
amena	amener	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
escus	escu	NOMcom	NOMB.=p|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
secor	secors	NOMcom	NOMB.=s|GENRE=m|CAS=r
venus	venir	VERppe	NOMB.=s|GENRE=m|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
asamblé	assembler	VERppe	NOMB.=s|GENRE=m|CAS=r
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
lairons	laissier	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p
cor	cort2	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
nés	nase	NOMcom	NOMB.=s|GENRE=m|CAS=r
menbru	membru1	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
dirons	dire	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p
fiere	fier	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
vertu	vertu	NOMcom	NOMB.=s|GENRE=f|CAS=r
mainent	mener	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
quiver	culvert	NOMcom	NOMB.=p|GENRE=m|CAS=n
mescreu	mescroire	VERppe	NOMB.=p|GENRE=m|CAS=n
Dist	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
avenu	avenir	VERppe	NOMB.=s|GENRE=m|CAS=n
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
escapé	eschaper	VERppe	NOMB.=p|GENRE=m|CAS=n
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
vertu	vertu	NOMcom	NOMB.=s|GENRE=f|CAS=r
vauront	voloir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
repairier	repairier	VERinf	MORPH=empty
jors	jor	NOMcom	NOMB.=p|GENRE=m|CAS=r
averont	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
compaigne	compagnie	NOMcom	NOMB.=s|GENRE=f|CAS=r
