form	lemma	POS	morph
homs	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
escerchier	escerchier	VERinf	MORPH=empty
seinte	saint	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
incarnation	incarnacïon	NOMcom	NOMB.=s|GENRE=f|CAS=r
estion	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=p
limon	limon2	NOMcom	NOMB.=s|GENRE=m|CAS=r
fit	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
estraist	estraire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
faire	faire	VERinf	MORPH=empty
plait	plaire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Oez	öir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
nature	nature	NOMcom	NOMB.=s|GENRE=f|CAS=r
nature	nature	NOMcom	NOMB.=s|GENRE=f|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
monde	monde1	NOMcom	NOMB.=s|GENRE=m|CAS=r
lion	lïon	NOMcom	NOMB.=p|GENRE=m|CAS=r
dorment	dormir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
someillent	someillier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
cuer	cuer2	NOMcom	NOMB.=p|GENRE=m|CAS=n
dorment	dormir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
oel	ueil	NOMcom	NOMB.=p|GENRE=m|CAS=n
voillent	veillier2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
mervoille	merveille	NOMcom	NOMB.=s|GENRE=f|CAS=r
dor	dormir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=n
voille	veillier2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
antande	entendre	VERinf	MORPH=empty
vuet	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
dire	dire	VERinf	MORPH=empty
mont	monde1	NOMcom	NOMB.=s|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
vit	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
fragilité	fragilité	NOMcom	NOMB.=s|GENRE=f|CAS=r
prist	prendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
humanité	umanité	NOMcom	NOMB.=s|GENRE=f|CAS=r
