form	lemma	POS	morph
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
contredie	contredire	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
entent	entendre	VERcjg	MODE=imp|PERS.=2|NOMB.=s
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
droit	droit	NOMcom	NOMB.=s|GENRE=m|CAS=r
atent	atendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
granz	grant	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
anuiz	enui	NOMcom	NOMB.=p|GENRE=m|CAS=r
as	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
faiz	faire	VERppe	NOMB.=p|GENRE=m|CAS=r
avons	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
retraiz	retraire	VERppe	NOMB.=p|GENRE=m|CAS=r
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
amendé	amender	VERppe	NOMB.=p|GENRE=m|CAS=n
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
Roys	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
conmandé	comander	VERppe	NOMB.=s|GENRE=m|CAS=r
as	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
fait	faire	VERppe	NOMB.=s|GENRE=m|CAS=r
pener	pener	VERinf	MORPH=empty
cort	cort1	NOMcom	NOMB.=s|GENRE=f|CAS=r
poïst	pöoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
amener	amener	VERinf	MORPH=empty
jeunes	jëune	NOMcom	NOMB.=p|GENRE=m|CAS=r
chanus	chenu	NOMcom	NOMB.=p|GENRE=m|CAS=r
as	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
fous	fol3	NOMcom	NOMB.=p|GENRE=m|CAS=r
tenus	tenir1	VERppe	NOMB.=p|GENRE=m|CAS=r
clamor	clamor	NOMcom	NOMB.=s|GENRE=m|CAS=r
font	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
as	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
honniz	honir	VERppe	NOMB.=s|GENRE=m|CAS=r
Veill	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
plez	plait	NOMcom	NOMB.=s|GENRE=m|CAS=n
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
feniz	fenir	VERppe	NOMB.=s|GENRE=m|CAS=n
