form	lemma	POS	morph
d	de	PRE	MORPH=empty
ome	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
char	char2	NOMcom	NOMB.=s|GENRE=f|CAS=r
se	se	CONsub	MORPH=empty
de	de	PRE	MORPH=empty
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r
non	non	ADVneg	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=f|CAS=n
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
vo	vostre	DETpos	PERS.=2|NOMB.=s|GENRE=f|CAS=n
feme	feme	NOMcom	NOMB.=s|GENRE=f|CAS=n
et	et	CONcoo	MORPH=empty
vo	vostre	DETpos	PERS.=2|NOMB.=s|GENRE=f|CAS=n
ancele	ancele	NOMcom	NOMB.=s|GENRE=f|CAS=n
Mere	mere	NOMcom	NOMB.=s|GENRE=f|CAS=n
Dieu	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
virge	virge	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
pucele	pucele	NOMcom	NOMB.=s|GENRE=f|CAS=n
m	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r
ounor	onor	NOMcom	NOMB.=s|GENRE=f|CAS=r
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r
m	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r
ame	ame	NOMcom	NOMB.=s|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r
mech	metre2	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
hui	ui	ADVgen	DEGRE=-
en	en1	PRE	MORPH=empty
vostre	vostre	DETpos	PERS.=2|NOMB.=s|GENRE=f|CAS=r
avoerie	avöerie	NOMcom	NOMB.=s|GENRE=f|CAS=r
S	se	CONsub	MORPH=empty
onques	onque	ADVgen	DEGRE=-
amastes	amer1	VERcjg	MODE=ind|TEMPS=psp|PERS.=2|NOMB.=p
castee	chastëé	NOMcom	NOMB.=s|GENRE=f|CAS=r
tensés	tencier	VERcjg	MODE=imp|PERS.=2|NOMB.=p
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=f|CAS=i
viers	vers2	PRE	MORPH=empty
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
avoé	avöé	NOMcom	NOMB.=s|GENRE=m|CAS=r
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
la	là	ADVgen	DEGRE=-
tient	tenir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
nue	nu1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
cele	cel	DETdem	NOMB.=s|GENRE=f|CAS=r
espee	espee	NOMcom	NOMB.=s|GENRE=f|CAS=r
que	que4	CONsub	MORPH=empty
jou	je	PROper	PERS.=1|NOMB.=s|GENRE=f|CAS=r
ne	ne1	ADVneg	MORPH=empty
soie	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s
desmenbree	desmembrer	VERppe	NOMB.=s|GENRE=f|CAS=n
Dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
quens	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=n
Trop	trop	ADVgen	DEGRE=-
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
atendu	atendre	VERppe	NOMB.=s|GENRE=m|CAS=r
que	que4	CONsub	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=f|CAS=i
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
