form	lemma	POS	morph
oï	öir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
volenté	volenté	NOMcom	NOMB.=s|GENRE=f|CAS=r
mercie	mercïer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
set	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
gré	gré2	NOMcom	NOMB.=s|GENRE=m|CAS=r
fiz	fil2	NOMcom	NOMB.=s|GENRE=m|CAS=r
trover	trover	VERinf	MORPH=empty
querre	querre	VERinf	MORPH=empty
voloit	voloir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
issir	issir	VERinf	MORPH=empty
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
bien	bien2	NOMcom	NOMB.=s|GENRE=m|CAS=r
mostrer	mostrer	VERinf	MORPH=empty
voloit	voloir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
destorber	destorber	VERinf	MORPH=empty
oï	öir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
mandement	mandement	NOMcom	NOMB.=s|GENRE=m|CAS=r
apareille	apareillier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
passez	passer1	VERppe	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
alez	aler	VERppe	NOMB.=s|GENRE=m|CAS=n
acointa	acointier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
genz	gent1	NOMcom	NOMB.=p|GENRE=f|CAS=r
sercha	cerchier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
tornoiemenz	tornoiement	NOMcom	NOMB.=p|GENRE=m|CAS=r
riches	riche	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
oster	ostel	NOMcom	NOMB.=p|GENRE=m|CAS=r
tenoit	tenir1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
donnoit	doner	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
yver	iver2	NOMcom	NOMB.=s|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
avis	avis	NOMcom	NOMB.=s|GENRE=m|CAS=n
