form	lemma	POS	morph
freidors	froidor	NOMcom	NOMB.=s|GENRE=f|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
granz	grant	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
chauz	chaut	NOMcom	NOMB.=s|GENRE=m|CAS=n
esboillanz	esbolir	VERppa	NOMB.=s|GENRE=m|CAS=n
soi	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
enpris	emprendre	VERppe	NOMB.=s|GENRE=m|CAS=n
faites	faire	VERppe	NOMB.=p|GENRE=f|CAS=r
choses	chose	NOMcom	NOMB.=p|GENRE=f|CAS=r
devis	deviser	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
Haute	haut	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
matire	matiere	NOMcom	NOMB.=s|GENRE=f|CAS=n
avreit	avoir	VERcjg	MODE=con|PERS.=3|NOMB.=s
dire	dire	VERinf	MORPH=empty
list	loisir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
demorer	demorer	VERinf	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
parler	parler	VERinf	MORPH=empty
voudra	voloir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
saveir	savoir	VERinf	MORPH=empty
fin	fin1	NOMcom	NOMB.=s|GENRE=f|CAS=r
lise	lire1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
contrarietez	contrarïeté	NOMcom	NOMB.=p|GENRE=f|CAS=r
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
granz	grant	ADJqua	NOMB.=p|GENRE=f|CAS=n|DEGRE=p
oiez	öir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
freidure	froidure	NOMcom	NOMB.=s|GENRE=f|CAS=r
arson	arson	NOMcom	NOMB.=s|GENRE=f|CAS=r
rest	restre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
doce	douz	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
abitation	abitacion	NOMcom	NOMB.=s|GENRE=f|CAS=n
atemprement	atemprement	NOMcom	NOMB.=s|GENRE=m|CAS=r
er	air1	NOMcom	NOMB.=s|GENRE=m|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
entier	entier	ADJqua	NOMB.=s|GENRE=n|CAS=n|DEGRE=p
sain	sain	ADJqua	NOMB.=s|GENRE=n|CAS=n|DEGRE=p
remés	remanoir	VERppe	NOMB.=s|GENRE=m|CAS=n
refirent	refaire2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
tens	tens	NOMcom	NOMB.=s|GENRE=m|CAS=r
esté	esté1	NOMcom	NOMB.=s|GENRE=m|CAS=r
iver	iver2	NOMcom	NOMB.=s|GENRE=m|CAS=r
part	partir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
refu	restre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
desier	desiier	NOMcom	NOMB.=s|GENRE=m|CAS=n
rentrassent	rentrer	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=p
navie	navie	NOMcom	NOMB.=s|GENRE=f|CAS=r
ront	ravoir2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
veie	voie	NOMcom	NOMB.=s|GENRE=f|CAS=r
acoillie	acoillir	VERppe	NOMB.=s|GENRE=f|CAS=r
finerent	finer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
retraireit	retraire	VERcjg	MODE=con|PERS.=3|NOMB.=s
dolors	dolor	NOMcom	NOMB.=s|GENRE=f|CAS=r
damage	damage	NOMcom	NOMB.=s|GENRE=m|CAS=r
firent	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
las	las	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
sanc	sen2	NOMcom	NOMB.=s|GENRE=m|CAS=r
espandirent	espandre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
arstrent	ardre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
trebucherent	trebuchier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
essillerent	essillier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
cuvers	culvert	NOMcom	NOMB.=p|GENRE=m|CAS=n
chiens	chien	NOMcom	NOMB.=p|GENRE=m|CAS=n
refirent	refaire2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
avint	avenir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
feiee	foie2	NOMcom	NOMB.=s|GENRE=f|CAS=r
vis	vil1	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
jenz	gent1	NOMcom	NOMB.=p|GENRE=m|CAS=r
