form	lemma	POS	morph
atise	atisier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mal	mal1	NOMcom	NOMB.=s|GENRE=m|CAS=r
bien	bien2	NOMcom	NOMB.=s|GENRE=m|CAS=r
brise	brisier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
enchantez	enchanter	VERppe	NOMB.=s|GENRE=m|CAS=n
desenchantez	desenchanter	VERcjg	MODE=imp|PERS.=2|NOMB.=p
volentez	volenté	NOMcom	NOMB.=s|GENRE=f|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
plaine	plein	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
franchise	franchise	NOMcom	NOMB.=s|GENRE=f|CAS=r
granz	grant	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
orfentez	orfenté	NOMcom	NOMB.=p|GENRE=f|CAS=r
sera	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=n
rentez	renter	VERppe	NOMB.=s|GENRE=m|CAS=n
fort	fort	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
justice	justice	NOMcom	NOMB.=s|GENRE=f|CAS=r
Dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n
sainte	saint	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
corage	corage	NOMcom	NOMB.=s|GENRE=m|CAS=r
varie	variier	VERcjg	MODE=imp|PERS.=2|NOMB.=s
serve	servir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
ert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
tarie	tarir	VERppe	NOMB.=s|GENRE=f|CAS=n
dolors	dolor	NOMcom	NOMB.=s|GENRE=f|CAS=n
garie	garir	VERppe	NOMB.=s|GENRE=f|CAS=n
sera	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
ame	ame	NOMcom	NOMB.=s|GENRE=f|CAS=n
serve	serve2	NOMcom	NOMB.=s|GENRE=f|CAS=n
avra	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
dure	dur	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
verve	verve	NOMcom	NOMB.=s|GENRE=f|CAS=r
mors	mors1	NOMcom	NOMB.=s|GENRE=f|CAS=n
enerve	enerver	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
marie	marïer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ame	ame	NOMcom	NOMB.=s|GENRE=f|CAS=n
enterve	enterver	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Souffrez	sofrir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=n
deserve	deservir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
ame	ame	NOMcom	NOMB.=s|GENRE=f|CAS=n
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
perie	perir	VERppe	NOMB.=s|GENRE=f|CAS=n
Dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n
charité	charité	NOMcom	NOMB.=s|GENRE=f|CAS=r
humilite	umelité	NOMcom	NOMB.=s|GENRE=f|CAS=r
portas	porter	VERcjg	MODE=ind|TEMPS=psp|PERS.=2|NOMB.=s
salu	salu	NOMcom	NOMB.=s|GENRE=m|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
geté	jeter	VERppe	NOMB.=s|GENRE=m|CAS=r
duel	duel	NOMcom	NOMB.=s|GENRE=m|CAS=r
vilté	vilté	NOMcom	NOMB.=s|GENRE=f|CAS=r
enferne	enfernal	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
palu	palu1	NOMcom	NOMB.=s|GENRE=m|CAS=r
Dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n
salu	salüer	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
salu	salu	NOMcom	NOMB.=s|GENRE=m|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
valu	valoir	VERppe	NOMB.=s|GENRE=m|CAS=r
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
verite	verité	NOMcom	NOMB.=s|GENRE=f|CAS=r
gar	garder	VERcjg	MODE=imp|PERS.=2|NOMB.=s
enfer	enfer	NOMcom	NOMB.=s|GENRE=m|CAS=r
jalu	jalos	NOMcom	NOMB.=s|GENRE=m|CAS=n
praingne	prendre	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
erite	erite	NOMcom	NOMB.=s|GENRE=f|CAS=r
enfer	enfer	NOMcom	NOMB.=s|GENRE=m|CAS=r
ert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
offerte	ofrir	VERppe	NOMB.=s|GENRE=f|CAS=n
porte	porte1	NOMcom	NOMB.=s|GENRE=f|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ouverte	ovrir	VERppe	NOMB.=s|GENRE=f|CAS=n
ame	ame	NOMcom	NOMB.=s|GENRE=f|CAS=n
outrage	outrage	NOMcom	NOMB.=s|GENRE=m|CAS=r
aura	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
dure	dur	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
perte	perte	NOMcom	NOMB.=s|GENRE=f|CAS=r
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
folie	folie2	NOMcom	NOMB.=s|GENRE=f|CAS=r
aperte	apert1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
praing	prendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
herbregage	herberjage	NOMcom	NOMB.=s|GENRE=m|CAS=r
Dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n
faz	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
hommage	omage	NOMcom	NOMB.=s|GENRE=m|CAS=r
torne	torner	VERcjg	MODE=imp|PERS.=2|NOMB.=s
douz	douz	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
visage	visage	NOMcom	NOMB.=s|GENRE=m|CAS=r
dure	dur	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
déserte	deserte2	NOMcom	NOMB.=s|GENRE=f|CAS=r
non	nom	NOMcom	NOMB.=s|GENRE=m|CAS=r
filz	fil2	NOMcom	NOMB.=s|GENRE=m|CAS=r
