form	lemma	POS	morph
avez	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
barun	baron	NOMcom	NOMB.=s|GENRE=m|CAS=r
facet	faire	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
quens	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=n
oït	öir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
juger	jugier	VERinf	MORPH=empty
ad	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
parléd	parler	VERppe	NOMB.=s|GENRE=m|CAS=r
lei	loi3	NOMcom	NOMB.=s|GENRE=f|CAS=r
chevaler	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=r
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
parastre	parrastre	NOMcom	NOMB.=s|GENRE=m|CAS=n
dei	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
aveir	avoir	VERinf	MORPH=empty
cher	chier	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
rereguarde	arieregarde	NOMcom	NOMB.=s|GENRE=f|CAS=r
avez	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
jugiét	jugier	VERppe	NOMB.=s|GENRE=m|CAS=r
perdrat	perdre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
reis	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
tient	tenir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
escïentre	escïent	NOMcom	NOMB.=s|GENRE=m|CAS=r
palefreid	palefroi	NOMcom	NOMB.=s|GENRE=m|CAS=r
destrer	destrier1	NOMcom	NOMB.=s|GENRE=m|CAS=r
mul	mul3	NOMcom	NOMB.=s|GENRE=m|CAS=n
mule	mule5	NOMcom	NOMB.=s|GENRE=f|CAS=n
deiet	devoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
chevalcher	chevauchier	VERinf	MORPH=empty
perdrat	perdre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
runcin	roncin	NOMcom	NOMB.=s|GENRE=m|CAS=r
sumer	somier2	NOMcom	NOMB.=s|GENRE=m|CAS=r
espees	espee	NOMcom	NOMB.=p|GENRE=f|CAS=r
seit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
eslegiét	esligier	VERppe	NOMB.=s|GENRE=m|CAS=n
respunt	respondre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
dites	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
ot	öir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
rereguarde	arieregarde	NOMcom	NOMB.=s|GENRE=f|CAS=r
parlat	parler	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
parastre	parrastre	NOMcom	NOMB.=s|GENRE=m|CAS=r
culvert	culvert	NOMcom	NOMB.=s|GENRE=m|CAS=n
malvais	mauvais	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
put	put	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
aire	aire2	NOMcom	NOMB.=s|GENRE=f|CAS=r
quias	cuidier1	VERcjg	MODE=ind|TEMPS=psp|PERS.=2|NOMB.=s
guant	gant	NOMcom	NOMB.=s|GENRE=m|CAS=n
çaïst	chëoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
place	place	NOMcom	NOMB.=s|GENRE=f|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
parjurez	parjurer	VERppe	NOMB.=s|GENRE=m|CAS=n
malmis	maumetre	VERppe	NOMB.=s|GENRE=m|CAS=n
juz	jugier	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
pendre	pendre	VERinf	MORPH=empty
murir	morir	VERinf	MORPH=empty
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r
metre	metre2	VERinf	MORPH=empty
fel	felon	NOMcom	NOMB.=s|GENRE=m|CAS=r
felonie	felonie	NOMcom	NOMB.=s|GENRE=f|CAS=r
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
ad	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
parent	parent	NOMcom	NOMB.=s|GENRE=m|CAS=r
voeille	voloir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
desmentir	desmentir	VERinf	MORPH=empty
espee	espee	NOMcom	NOMB.=s|GENRE=f|CAS=r
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
ceinte	ceindre	VERppe	NOMB.=s|GENRE=f|CAS=r
jugement	jugement	NOMcom	NOMB.=s|GENRE=m|CAS=r
voel	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
guarantir	garantir	VERinf	MORPH=empty
Respundent	respondre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
avez	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
dit	dire	VERppe	NOMB.=s|GENRE=m|CAS=r
