form	lemma	POS	morph
rainnes	raine	NOMcom	NOMB.=p|GENRE=f|CAS=n
erent	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
asemblees	assembler	VERppe	NOMB.=p|GENRE=f|CAS=n
poor	pëor	NOMcom	NOMB.=s|GENRE=f|CAS=r
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
effreees	esfrëer	VERppe	NOMB.=p|GENRE=f|CAS=n
eiwe	aigue	NOMcom	NOMB.=s|GENRE=f|CAS=r
vont	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
plongier	plongier	VERinf	MORPH=empty
virent	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
aprochier	aprochier	VERinf	MORPH=empty
lievres	lievre	NOMcom	NOMB.=s|GENRE=f|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
rapellez	rapeler	VERppe	NOMB.=p|GENRE=m|CAS=r
Signor	seignor	NOMcom	NOMB.=p|GENRE=m|CAS=n
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
esgardez	esgarder	VERcjg	MODE=imp|PERS.=2|NOMB.=p
rainnes	raine	NOMcom	NOMB.=p|GENRE=f|CAS=r
veons	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
poor	pëor	NOMcom	NOMB.=s|GENRE=f|CAS=r
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
porpensons	porpenser	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
alons	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
querrant	querre	VERppa	NOMB.=x|GENRE=x|CAS=x
folie	folie2	NOMcom	NOMB.=s|GENRE=f|CAS=r
grave	grave	NOMcom	NOMB.=s|GENRE=f|CAS=r
avons	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
gerpie	guerpir	VERppe	NOMB.=s|GENRE=f|CAS=r
estre	estre1	VERinf	MORPH=empty
aseurez	assëurer	VERppe	NOMB.=p|GENRE=m|CAS=n
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
troverez	trover	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
doute	doter2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
rien	rien	NOMcom	NOMB.=s|GENRE=f|CAS=r
Ralon	raler	VERcjg	MODE=imp|PERS.=1|NOMB.=p
ferons	faire	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p
lievre	lievre	NOMcom	NOMB.=p|GENRE=m|CAS=n
retornerent	retorner	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
cerf	cerf	NOMcom	NOMB.=s|GENRE=m|CAS=n
beveit	boivre	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
eiwe	aigue	NOMcom	NOMB.=s|GENRE=f|CAS=r
soif	soi2	NOMcom	NOMB.=s|GENRE=f|CAS=r
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
garda	garder	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
cornes	corne1	NOMcom	NOMB.=p|GENRE=f|CAS=r
vit	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
at	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
dit	dire	VERppe	NOMB.=s|GENRE=m|CAS=r
beste	beste	NOMcom	NOMB.=s|GENRE=f|CAS=n
contrevaloit	contrevaloir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
belles	bel1	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
cornes	corne1	NOMcom	NOMB.=p|GENRE=f|CAS=r
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
entendi	entendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
loer	löer1	VERinf	MORPH=empty
cornes	corne1	NOMcom	NOMB.=p|GENRE=f|CAS=r
esgarder	esgarder	VERinf	MORPH=empty
vit	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
venir	venir	VERinf	MORPH=empty
chiens	chien	NOMcom	NOMB.=p|GENRE=m|CAS=r
corant	corir	VERppa	NOMB.=x|GENRE=x|CAS=x
maistres	maistre	NOMcom	NOMB.=s|GENRE=m|CAS=n
venoit	venir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
errant	errer2	VERppa	NOMB.=x|GENRE=x|CAS=x
vienent	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
queroient	querre	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
prendre	prendre	VERinf	MORPH=empty
voloient	voloir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
bois	bois	NOMcom	NOMB.=s|GENRE=m|CAS=r
met	metre2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
enmaiés	enmaiier	VERppe	NOMB.=s|GENRE=m|CAS=n
cornes	corne1	NOMcom	NOMB.=p|GENRE=f|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ataichiés	atachier2	VERppe	NOMB.=s|GENRE=m|CAS=n
buison	buisson	NOMcom	NOMB.=s|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
retenus	retenir	VERppe	NOMB.=s|GENRE=m|CAS=n
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
chien	chien	NOMcom	NOMB.=p|GENRE=m|CAS=n
venus	venir	VERppe	NOMB.=p|GENRE=m|CAS=n
