form	lemma	POS	morph
sanc	sanc	NOMcom	NOMB.=s|GENRE=m|CAS=n
remut	removoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
fremi	fremir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
sot	savoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
vient	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ami	ami	NOMcom	NOMB.=s|GENRE=m|CAS=r
ad	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fet	faire	VERppe	NOMB.=s|GENRE=m|CAS=r
doner	doner	VERinf	MORPH=empty
cumande	comander	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
aller	aler	VERinf	MORPH=empty
chambre	chambre1	NOMcom	NOMB.=s|GENRE=f|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
deliveree	delivrer	VERppe	NOMB.=s|GENRE=f|CAS=n
meschine	meschine	NOMcom	NOMB.=s|GENRE=f|CAS=r
ad	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
apelee	apeler	VERppe	NOMB.=s|GENRE=f|CAS=r
brief	brief	NOMcom	NOMB.=s|GENRE=m|CAS=r
aveient	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
deslié	desliier	VERppe	NOMB.=s|GENRE=m|CAS=r
ad	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
sel	sëel2	NOMcom	NOMB.=s|GENRE=m|CAS=r
debrusé	debrisier	VERppe	NOMB.=s|GENRE=m|CAS=r
chief	chief1	NOMcom	NOMB.=s|GENRE=m|CAS=r
trovat	trover	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
ami	ami	NOMcom	NOMB.=s|GENRE=m|CAS=r
cunut	conoistre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
nun	nom	NOMcom	NOMB.=s|GENRE=m|CAS=r
feiz	foiz	NOMcom	NOMB.=p|GENRE=m|CAS=r
baise	baisier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
plurant	plorer	VERppa	NOMB.=x|GENRE=x|CAS=x
puist	pöoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
dire	dire	VERinf	MORPH=empty
chief	chief1	NOMcom	NOMB.=s|GENRE=m|CAS=r
piece	piece	NOMcom	NOMB.=s|GENRE=f|CAS=r
veit	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
escrit	escrit	NOMcom	NOMB.=s|GENRE=m|CAS=r
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
cumandé	comander	VERppe	NOMB.=s|GENRE=m|CAS=r
dit	dire	VERppe	NOMB.=s|GENRE=m|CAS=r
granz	grant	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
peines	peine	NOMcom	NOMB.=p|GENRE=f|CAS=r
dolur	dolor	NOMcom	NOMB.=s|GENRE=f|CAS=r
seofre	sofrir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
nuit	nuit	NOMcom	NOMB.=s|GENRE=f|CAS=r
jur	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r
