form	lemma	POS	morph
quident	cuidier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
irrunt	aler	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
secle	siecle	NOMcom	NOMB.=s|GENRE=m|CAS=r
perdrunt	perdre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
estrurs	estros	NOMcom	NOMB.=s|GENRE=m|CAS=r
avrunt	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pruz	pro	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
rien	rien	NOMcom	NOMB.=s|GENRE=f|CAS=r
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
pus	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
dire	dire	VERinf	MORPH=empty
bref	brief	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
moz	mot	NOMcom	NOMB.=s|GENRE=m|CAS=r
apresme	aproismier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
jur	jor	NOMcom	NOMB.=s|GENRE=m|CAS=n
erent	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
suffraitus	sofraitos	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
bien	bien2	NOMcom	NOMB.=p|GENRE=m|CAS=r
nuz	nu1	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
fameillus	fameillos	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
perdreit	perdre	VERcjg	MODE=con|PERS.=3|NOMB.=s
sucors	secors	NOMcom	NOMB.=s|GENRE=m|CAS=r
conseil	conseil	NOMcom	NOMB.=s|GENRE=m|CAS=r
pert	perdre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
truisse	trover	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
duz	douz	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
esteot	estovoir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
demander	demander	VERinf	MORPH=empty
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
anguissus	angoissos	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
diables	dïable	NOMcom	NOMB.=p|GENRE=m|CAS=n
meinent	mener	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
rescus	rescos	NOMcom	NOMB.=s|GENRE=m|CAS=n
veez	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
secle	siecle	NOMcom	NOMB.=s|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
perillus	perillos	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
heent	häir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
