form	lemma	POS	morph
escouteit	escouter	VERppe	NOMB.=s|GENRE=m|CAS=r
clamour	clamor	NOMcom	NOMB.=s|GENRE=f|CAS=n
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
brait	braire	VERppe	NOMB.=s|GENRE=m|CAS=r
crieit	crïer2	VERppe	NOMB.=s|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
entreie	entrer	VERppe	NOMB.=s|GENRE=f|CAS=n
oreilles	oreille	NOMcom	NOMB.=p|GENRE=f|CAS=r
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
meute	movoir	VERppe	NOMB.=s|GENRE=f|CAS=n
ait	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
trembleit	trembler1	VERppe	NOMB.=s|GENRE=m|CAS=r
fondemens	fondement	NOMcom	NOMB.=p|GENRE=m|CAS=n
montaingnes	montaigne	NOMcom	NOMB.=p|GENRE=f|CAS=r
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
meuz	movoir	VERppe	NOMB.=p|GENRE=m|CAS=n
troubleiz	torbler	VERppe	NOMB.=p|GENRE=m|CAS=n
sires	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
courrecieiz	corrocier	VERppe	NOMB.=s|GENRE=m|CAS=n
ire	ire	NOMcom	NOMB.=s|GENRE=f|CAS=r
courrouz	corroz	NOMcom	NOMB.=s|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
issue	issir	VERppe	NOMB.=s|GENRE=f|CAS=n
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
fumee	fumee2	NOMcom	NOMB.=s|GENRE=f|CAS=n
feu	feu	NOMcom	NOMB.=s|GENRE=m|CAS=n
faice	feste2	NOMcom	NOMB.=s|GENRE=f|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
issus	issir	VERppe	NOMB.=s|GENRE=m|CAS=n
enflammeiz	enflamer	VERppe	NOMB.=s|GENRE=m|CAS=n
cherbons	charbon	NOMcom	NOMB.=p|GENRE=m|CAS=n
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
empris	emprendre	VERppe	NOMB.=p|GENRE=m|CAS=n
ait	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
enclineit	encliner	VERppe	NOMB.=s|GENRE=m|CAS=r
cielz	ciel	NOMcom	NOMB.=p|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
descendus	descendre	VERppe	NOMB.=s|GENRE=m|CAS=n
tenebres	tenebre	NOMcom	NOMB.=p|GENRE=f|CAS=n
obscurteit	oscurté	NOMcom	NOMB.=s|GENRE=f|CAS=n
pieiz	pié	NOMcom	NOMB.=p|GENRE=m|CAS=r
ait	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
monteit	monter	VERppe	NOMB.=s|GENRE=m|CAS=r
cherubins	cerubin	NOMcom	NOMB.=p|GENRE=m|CAS=r
ait	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
voleit	voler	VERppe	NOMB.=s|GENRE=m|CAS=r
ait	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
voleit	voler	VERppe	NOMB.=s|GENRE=m|CAS=r
pennes	pene	NOMcom	NOMB.=p|GENRE=f|CAS=r
aules	ele1	NOMcom	NOMB.=p|GENRE=f|CAS=r
venz	vent	NOMcom	NOMB.=p|GENRE=m|CAS=r
ait	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mis	metre2	VERppe	NOMB.=s|GENRE=m|CAS=r
tenebres	tenebre	NOMcom	NOMB.=p|GENRE=f|CAS=r
reponre	repondre	VERinf	MORPH=empty
quaichieir	cachier	VERinf	MORPH=empty
tabernaicle	tabernacle	NOMcom	NOMB.=s|GENRE=m|CAS=r
Yauve	aigue	NOMcom	NOMB.=s|GENRE=f|CAS=n
obscure	oscur	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
tenebrouse	tenebros	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
nues	nüe	NOMcom	NOMB.=p|GENRE=f|CAS=r
air	air1	NOMcom	NOMB.=s|GENRE=m|CAS=r
clarteit	clarté	NOMcom	NOMB.=s|GENRE=f|CAS=r
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
resplendissour	resplendissor	NOMcom	NOMB.=s|GENRE=f|CAS=r
nues	nüe	NOMcom	NOMB.=p|GENRE=f|CAS=n
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
passeies	passer1	VERppe	NOMB.=p|GENRE=f|CAS=n
Grelle	gresle	NOMcom	NOMB.=s|GENRE=f|CAS=n
cherbons	charbon	NOMcom	NOMB.=p|GENRE=m|CAS=n
feu	feu	NOMcom	NOMB.=s|GENRE=m|CAS=r
sires	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
asoploie	assoploiier	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
huerte	hurter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
apella	apeler	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
maltalent	mautalent	NOMcom	NOMB.=s|GENRE=m|CAS=r
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
feroie	faire	VERcjg	MODE=con|PERS.=1|NOMB.=s
dens	dent2	NOMcom	NOMB.=s|GENRE=f|CAS=r
acoillir	acoillir	VERinf	MORPH=empty
voloie	voloir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
essemple	essemple	NOMcom	NOMB.=s|GENRE=m|CAS=r
assomme	assomer2	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
orgoillous	orgoillos	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
home	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r
fie	fïer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
proece	pröece	NOMcom	NOMB.=s|GENRE=f|CAS=r
hurte	hurter	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
blesce	blecier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
avint	avenir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
an	an	NOMcom	NOMB.=s|GENRE=m|CAS=r
out	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
bois	bois	NOMcom	NOMB.=s|GENRE=m|CAS=r
