form	lemma	POS	morph
Et	et	CONcoo	MORPH=empty
mist	metre2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
à	a3	PRE	MORPH=empty
raison	raison	NOMcom	NOMB.=s|GENRE=f|CAS=r
par	par	PRE	MORPH=empty
mos	mot	NOMcom	NOMB.=p|GENRE=m|CAS=r
tex	tel	ADJind	NOMB.=p|GENRE=m|CAS=r
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
estes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
biaus	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
et	et	CONcoo	MORPH=empty
preus	pro	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
dient	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
tuit	tot	DETind	NOMB.=p|GENRE=m|CAS=n
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
Dieu	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r
merci	merci	NOMcom	NOMB.=s|GENRE=f|CAS=r
si	si	ADVgen	DEGRE=-
avriez	avoir	VERcjg	MODE=con|PERS.=2|NOMB.=p
bien	bien1	ADVgen	DEGRE=p
deservi	deservir	VERppe	NOMB.=s|GENRE=m|CAS=n
d	de	PRE	MORPH=empty
avoir	avoir	VERinf	MORPH=empty
amie	ami	NOMcom	NOMB.=s|GENRE=f|CAS=r
en	en1	PRE	MORPH=empty
si	si	ADVgen	DEGRE=-
haut	haut	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
leu	lieu	NOMcom	NOMB.=s|GENRE=m|CAS=r
qu	que4	CONsub	MORPH=empty
en	en2	PROadv	MORPH=empty
eussiez	avoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=2|NOMB.=p
honnour	onor	NOMcom	NOMB.=s|GENRE=x|CAS=r
et	et	CONcoo	MORPH=empty
preu	pro	NOMcom	NOMB.=s|GENRE=m|CAS=r
car	car	CONcoo	MORPH=empty
bien	bien1	ADVgen	DEGRE=p
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
seroit	estre1	VERcjg	MODE=con|PERS.=3|NOMB.=s
tel	tel	DETind	NOMB.=s|GENRE=f|CAS=n
amie	ami	NOMcom	NOMB.=s|GENRE=f|CAS=n
Ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=n
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
n	ne1	ADVneg	MORPH=empty
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
mie	mie	ADVneg	MORPH=empty
encore	encore	ADVgen	DEGRE=-
à	a3	PRE	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
mise	metre2	VERppe	NOMB.=s|GENRE=f|CAS=r
m	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r
entente	entente	NOMcom	NOMB.=s|GENRE=f|CAS=r
Par	par	PRE	MORPH=empty
foi	foi	NOMcom	NOMB.=s|GENRE=f|CAS=r
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
longue	lonc	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
atente	atente	NOMcom	NOMB.=s|GENRE=f|CAS=n
