form	lemma	POS	morph
coupe	cope1	NOMcom	NOMB.=s|GENRE=f|CAS=r
diable	dïable	NOMcom	NOMB.=s|GENRE=m|CAS=r
ome	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r
par	part1	NOMcom	NOMB.=s|GENRE=f|CAS=r
fel	felon	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
anemis	enemi	NOMcom	NOMB.=s|GENRE=m|CAS=n
asaia	assalir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r
envoisié	envoisier	VERppe	NOMB.=s|GENRE=m|CAS=r
trouva	trover	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
cose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=r
anuia	enoiier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
vit	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
aproça	aprochier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
pecié	pechié	NOMcom	NOMB.=s|GENRE=m|CAS=r
moustre	mostrer	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
entendre	entendre	VERinf	MORPH=empty
fu	feu	NOMcom	NOMB.=s|GENRE=m|CAS=r
ardant	ardre	VERppa	NOMB.=s|GENRE=m|CAS=r
trouva	trover	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
cendre	cendre	NOMcom	NOMB.=s|GENRE=m|CAS=r
fina	finer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
soufler	sofler	VERinf	MORPH=empty
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
esprendre	esprendre2	VERinf	MORPH=empty
pot	pöoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
ardoir	ardre	NOMcom	NOMB.=x|GENRE=x|CAS=x
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
prendre	prendre	VERinf	MORPH=empty
vi	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
bele	bel1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
entention	entencïon	NOMcom	NOMB.=s|GENRE=f|CAS=r
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
cure	cure	NOMcom	NOMB.=s|GENRE=f|CAS=r
partir	partir	VERinf	MORPH=empty
felon	felon	NOMcom	NOMB.=s|GENRE=m|CAS=r
tenist	tenir1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
loien	liien	NOMcom	NOMB.=s|GENRE=m|CAS=r
prison	prison	NOMcom	NOMB.=s|GENRE=f|CAS=r
doi	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
demander	demander	VERinf	MORPH=empty
rien	rien	NOMcom	NOMB.=s|GENRE=f|CAS=r
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
encouper	encouper1	VERinf	MORPH=empty
droit	droit	NOMcom	NOMB.=s|GENRE=m|CAS=r
atendoie	atendre	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
fel	felon	NOMcom	NOMB.=s|GENRE=m|CAS=n
voloit	voloir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
