form	lemma	POS	morph
venist	venir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
foi	foi	NOMcom	NOMB.=s|GENRE=f|CAS=r
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
mere	mere	NOMcom	NOMB.=s|GENRE=f|CAS=r
nez	naistre	VERppe	NOMB.=s|GENRE=m|CAS=n
deciple	desciple	NOMcom	NOMB.=p|GENRE=m|CAS=n
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
oï	öir	VERppe	NOMB.=s|GENRE=m|CAS=r
membre	membre	NOMcom	NOMB.=p|GENRE=m|CAS=n
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
fremi	fremir	VERppe	NOMB.=p|GENRE=m|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
paör	pëor	NOMcom	NOMB.=s|GENRE=f|CAS=r
ait	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
demant	demander	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
Mestre	maistre	NOMcom	NOMB.=s|GENRE=m|CAS=n
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
diz	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
charité	charité	NOMcom	NOMB.=s|GENRE=f|CAS=r
di	dire	VERcjg	MODE=imp|PERS.=2|NOMB.=s
respondi	respondre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
menjue	mangier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
boit	boivre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
traïr	träir	VERinf	MORPH=empty
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fel	felon	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
respondu	respondre1	VERppe	NOMB.=s|GENRE=m|CAS=r
Sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
mestre	maistre	NOMcom	NOMB.=s|GENRE=m|CAS=n
es	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
Parole	parler	VERcjg	MODE=imp|PERS.=2|NOMB.=s
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
enseigne	enseignier	VERcjg	MODE=imp|PERS.=2|NOMB.=s
mal	mal1	NOMcom	NOMB.=s|GENRE=m|CAS=r
bien	bien2	NOMcom	NOMB.=s|GENRE=m|CAS=r
respont	respondre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
rien	rien	NOMcom	NOMB.=s|GENRE=f|CAS=r
avoient	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
amené	amener	VERppe	NOMB.=s|GENRE=m|CAS=r
erent	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
forsené	forsener	VERppe	NOMB.=p|GENRE=m|CAS=n
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
acusoient	acuser	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
empiroient	empirier	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
blasmoient	blasmer	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
vit	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
riens	rien	NOMcom	NOMB.=s|GENRE=f|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
respondu	respondre1	VERppe	NOMB.=s|GENRE=m|CAS=r
veut	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fere	faire	VERinf	MORPH=empty
homs	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
font	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mal	mal1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
ere	aire2	NOMcom	NOMB.=s|GENRE=f|CAS=r
despit	despire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
font	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
gent	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=n
Vestu	vestir	VERppe	NOMB.=s|GENRE=m|CAS=r
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
blanc	blanc	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
vestement	vestement	NOMcom	NOMB.=s|GENRE=m|CAS=r
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
gabé	gaber	VERppe	NOMB.=s|GENRE=m|CAS=r
escharni	escharnir	VERppe	NOMB.=s|GENRE=m|CAS=r
male	mal1	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
gent	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=n
escopi	escopir	VERppe	NOMB.=s|GENRE=m|CAS=r
