form	lemma	POS	morph
si	si	ADVgen	DEGRE=-
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
porter	porter	VERinf	MORPH=empty
en	en1	PRE	MORPH=empty
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
lit	lit1	NOMcom	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
robe	robe	NOMcom	NOMB.=s|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
drap	drap	NOMcom	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
soie	soie3	NOMcom	NOMB.=s|GENRE=f|CAS=r
ynde	inde	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
fez	faire	VERppe	NOMB.=s|GENRE=m|CAS=n
et	et	CONcoo	MORPH=empty
tissuz	tistre	VERppe	NOMB.=s|GENRE=m|CAS=n
en	en1	PRE	MORPH=empty
Ynde	Inde	NOMpro	NOMB.=s|GENRE=f|CAS=r
Pour	por2	PRE	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
que	que4	CONsub	MORPH=empty
vestir	vestir	VERinf	MORPH=empty
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
feïst	faire	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
envoia	envoiier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
et	et	CONcoo	MORPH=empty
si	si	ADVgen	DEGRE=-
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Amis	ami	NOMcom	NOMB.=s|GENRE=m|CAS=n
ces	cest	DETdem	NOMB.=p|GENRE=m|CAS=r
dras	drap	NOMcom	NOMB.=p|GENRE=m|CAS=r
que	que2	PROrel	NOMB.=p|GENRE=m|CAS=r
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
veez	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
vestirez	vestir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
se	se	CONsub	MORPH=empty
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
creez	croire	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
Et	et	CONcoo	MORPH=empty
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
vallez	vaslet	NOMcom	NOMB.=s|GENRE=m|CAS=n
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Biau	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
porriez	pöoir	VERcjg	MODE=con|PERS.=2|NOMB.=p
assez	assez	ADVgen	DEGRE=-
miex	mieus	ADVgen	DEGRE=c
dire	dire	VERinf	MORPH=empty
Li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
drap	drap	NOMcom	NOMB.=p|GENRE=m|CAS=n
que	que2	PROrel	NOMB.=p|GENRE=m|CAS=r
