form	lemma	POS	morph
umilité	umelité	NOMcom	NOMB.=s|GENRE=f|CAS=n
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
orgoil	orgueil	NOMcom	NOMB.=s|GENRE=m|CAS=r
acompaignier	acompagnier	VERinf	MORPH=empty
het	häir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
desdeignier	desdeignier	VERinf	MORPH=empty
§voloir	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
avoir	avoir	VERinf	MORPH=empty
seignoril	seignorel	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
hauteche	hautece	NOMcom	NOMB.=s|GENRE=f|CAS=r
gardez	garder	VERcjg	MODE=imp|PERS.=2|NOMB.=p
demuert	demorer	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
cuers	cuer2	NOMcom	NOMB.=p|GENRE=m|CAS=r
male	mal1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
teche	tache	NOMcom	NOMB.=s|GENRE=f|CAS=r
laissiez	laissier	VERcjg	MODE=imp|PERS.=2|NOMB.=p
avarice	avarice	NOMcom	NOMB.=s|GENRE=f|CAS=r
plaintés	planter	VERcjg	MODE=imp|PERS.=2|NOMB.=p
largesche	largece	NOMcom	NOMB.=s|GENRE=f|CAS=r
soiez	estre1	VERcjg	MODE=imp|PERS.=2|NOMB.=p
neit	net2	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
caste	chaste	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
greignor	graignor	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=c
nobleche	noblece	NOMcom	NOMB.=s|GENRE=f|CAS=n
avez	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
couvoitisse	covoitise	NOMcom	NOMB.=s|GENRE=f|CAS=r
leschié	laissier	VERcjg	MODE=imp|PERS.=2|NOMB.=p
couvoitise	covoitise	NOMcom	NOMB.=s|GENRE=f|CAS=n
seulle	sol1	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
deffait	desfaire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
eschielle	eschiele1	NOMcom	NOMB.=s|GENRE=f|CAS=r
monte	monter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
cielz	ciel	NOMcom	NOMB.=p|GENRE=m|CAS=r
envie	envie	NOMcom	NOMB.=s|GENRE=f|CAS=r
renfiele	renfieler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
umilitez	umelité	NOMcom	NOMB.=s|GENRE=f|CAS=n
§radoutast	radoucir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
enniele	enmieler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Orgoil	orgueil	NOMcom	NOMB.=s|GENRE=m|CAS=n
couvoitié	covoitié	NOMcom	NOMB.=s|GENRE=f|CAS=n
envie	envie	NOMcom	NOMB.=s|GENRE=f|CAS=n
luxure	luxure	NOMcom	NOMB.=s|GENRE=f|CAS=n
font	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r
ame	ame	NOMcom	NOMB.=s|GENRE=f|CAS=r
mener	mener	VERinf	MORPH=empty
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r
sure	sur2	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
cuers	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=n
chasteez	chastëé	NOMcom	NOMB.=s|GENRE=f|CAS=n
humilité	umelité	NOMcom	NOMB.=s|GENRE=f|CAS=n
dure	durer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
doute	doter2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
vices	vice1	NOMcom	NOMB.=p|GENRE=m|CAS=r
venim	venin	NOMcom	NOMB.=s|GENRE=m|CAS=r
ordure	ordure	NOMcom	NOMB.=s|GENRE=f|CAS=r
preu	pro	NOMcom	NOMB.=s|GENRE=m|CAS=r
pri	priier	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
bone	bon	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
gent	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=n
