form	lemma	POS	morph
que	que4	CONsub	MORPH=empty
là	là	ADVgen	DEGRE=-
iert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=n
fins	fin1	NOMcom	NOMB.=s|GENRE=f|CAS=n
là	là	ADVgen	DEGRE=-
morra	morir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
ne	ne2	CONcoo	MORPH=empty
ja	ja	ADVgen	DEGRE=-
mais	mais1	ADVgen	DEGRE=-
n	ne1	ADVneg	MORPH=empty
en	en2	PROadv	MORPH=empty
repairera	repairier	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
Ne	ne1	ADVneg	MORPH=empty
demora	demorer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
pas	pas	ADVneg	MORPH=empty
puis	puis	ADVgen	DEGRE=-
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
meis	mois2	NOMcom	NOMB.=s|GENRE=m|CAS=r
c	que4	CONsub	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f|CAS=n
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
feste	feste1	NOMcom	NOMB.=s|GENRE=f|CAS=r
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
reis	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
Granz	grant	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n
corz	cort1	NOMcom	NOMB.=s|GENRE=f|CAS=n
qui	cui	PROrel	NOMB.=s|GENRE=f|CAS=r
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
ajosta	ajoster	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
e	et	CONcoo	MORPH=empty
granz	grant	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n
genz	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=n
qu	que2	PROrel	NOMB.=s|GENRE=f|CAS=r
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
asenbla	assembler	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
assez	assez	ADVgen	DEGRE=-
i	i2	PROadv	MORPH=empty
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
contes	conte1	NOMcom	NOMB.=p|GENRE=m|CAS=r
e	et	CONcoo	MORPH=empty
dus	duc2	NOMcom	NOMB.=p|GENRE=m|CAS=r
e	et	CONcoo	MORPH=empty
chevaliers	chevalier	NOMcom	NOMB.=p|GENRE=m|CAS=r
set	set	PROcar	NOMB.=p|GENRE=m|CAS=r
cenz	cent	PROcar	NOMB.=p|GENRE=m|CAS=r
e	et	CONcoo	MORPH=empty
plus	plus	ADVgen	DEGRE=c
Jason	Jason	NOMpro	NOMB.=s|GENRE=m|CAS=n
i	i2	PROadv	MORPH=empty
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
e	et	CONcoo	MORPH=empty
Hercules	Hercule	NOMpro	NOMB.=s|GENRE=m|CAS=n
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
sostint	sostenir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
maint	maint	DETind	NOMB.=s|GENRE=m|CAS=r
pesant	pesant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
fais	fait1	NOMcom	NOMB.=p|GENRE=m|CAS=r
e	et	CONcoo	MORPH=empty
mainte	maint	DETind	NOMB.=s|GENRE=f|CAS=r
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
merveille	merveille	NOMcom	NOMB.=s|GENRE=f|CAS=r
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
e	et	CONcoo	MORPH=empty
maint	maint	DETind	NOMB.=s|GENRE=m|CAS=r
felon	felon	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
jaiant	jaiant	NOMcom	NOMB.=s|GENRE=m|CAS=r
ocist	ocire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
e	et	CONcoo	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=f|CAS=r
bones	bone	NOMcom	NOMB.=p|GENRE=f|CAS=r
iluec	iluec	ADVgen	DEGRE=-
ficha	fichier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
ou	où	PROrel	NOMB.=x|GENRE=x|CAS=x
Alisandres	Alexandre	NOMpro	NOMB.=s|GENRE=m|CAS=n
les	il	PROper	PERS.=3|NOMB.=p|GENRE=f|CAS=r
trova	trover	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=f|CAS=r
granz	grant	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
merveilles	merveille	NOMcom	NOMB.=p|GENRE=f|CAS=r
e	et	CONcoo	MORPH=empty
si	si	ADVgen	DEGRE=-
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Jusqu	jusque	PRE	MORPH=empty
à	a3	PRE	MORPH=empty
treis	trois	DETcar	NOMB.=p|GENRE=m|CAS=r
anz	an	NOMcom	NOMB.=p|GENRE=m|CAS=r
verra	vëoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
tiel	tel	DETind	NOMB.=s|GENRE=m|CAS=r
jor	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r
qu	que2	PROrel	NOMB.=x|GENRE=x|CAS=x
en	en1	PRE	MORPH=empty
cest	cest	DETdem	NOMB.=s|GENRE=m|CAS=r
païs	päis	NOMcom	NOMB.=s|GENRE=m|CAS=r
