form	lemma	POS	morph
di	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
faille	faille3	NOMcom	NOMB.=s|GENRE=f|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
malvaise	mauvais	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
fraipaille	frapaille	NOMcom	NOMB.=s|GENRE=f|CAS=r
fais	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
proie	proie	NOMcom	NOMB.=s|GENRE=f|CAS=r
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=r
vaille	valoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
sivront	sivre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
sergant	serjant	NOMcom	NOMB.=p|GENRE=m|CAS=n
pietaille	pietaille	NOMcom	NOMB.=s|GENRE=f|CAS=n
fai	faire	VERcjg	MODE=imp|PERS.=2|NOMB.=s
armer	armer	VERinf	MORPH=empty
bataille	bataille	NOMcom	NOMB.=s|GENRE=f|CAS=r
valroient	valoir	VERcjg	MODE=con|PERS.=3|NOMB.=p
vaillant	valoir	VERppa	NOMB.=s|GENRE=f|CAS=r
maaille	mäaille	NOMcom	NOMB.=s|GENRE=f|CAS=r
fuiront	fuir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
perte	perte	NOMcom	NOMB.=s|GENRE=f|CAS=n
aille	aler	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
avras	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=s
gent	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=r
valissant	valissant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
paille	paille	NOMcom	NOMB.=s|GENRE=f|CAS=r
gent	gent1	NOMcom	NOMB.=p|GENRE=m|CAS=n
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
frapaille	frapaille	NOMcom	NOMB.=s|GENRE=f|CAS=n
ociront	ocire	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
devinaille	devinaille	NOMcom	NOMB.=s|GENRE=f|CAS=n
di	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r
coraille	coraille	NOMcom	NOMB.=s|GENRE=f|CAS=r
trairont	traire	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
branc	brant1	NOMcom	NOMB.=s|GENRE=m|CAS=r
taille	taillier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Biax	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
fix	fil2	NOMcom	NOMB.=s|GENRE=m|CAS=n
droiturier	droiturier2	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
tort	tort2	NOMcom	NOMB.=s|GENRE=m|CAS=r
guere	guerre	NOMcom	NOMB.=s|GENRE=f|CAS=r
commencier	comencier	VERinf	MORPH=empty
di	dire	VERcjg	MODE=imp|PERS.=2|NOMB.=s
escera	eschëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
as	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
norri	norrir	VERppe	NOMB.=s|GENRE=m|CAS=r
as	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
fait	faire	VERppe	NOMB.=s|GENRE=m|CAS=r
chevalier	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=r
traïnans	träiner	VERppa	NOMB.=s|GENRE=m|CAS=n
iert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
bouele	böele	NOMcom	NOMB.=s|GENRE=f|CAS=n
lais	laissier	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
vaillant	valoir	VERppa	NOMB.=s|GENRE=f|CAS=r
prunele	prunele	NOMcom	NOMB.=s|GENRE=f|CAS=r
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n
cuisant	cuisant	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
estencele	estencele	NOMcom	NOMB.=s|GENRE=f|CAS=n
morras	morir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=s
cuers	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=n
revele	reveler2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Biaus	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
fix	fil2	NOMcom	NOMB.=s|GENRE=m|CAS=n
fuse	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=1|NOMB.=s
creüe	croire	VERppe	NOMB.=s|GENRE=f|CAS=n
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
vielle	vieil	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
chenue	chenu	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
cens	sens	NOMcom	NOMB.=s|GENRE=m|CAS=r
esperdue	esperdre	VERppe	NOMB.=s|GENRE=f|CAS=n
guerre	guerre	NOMcom	NOMB.=s|GENRE=f|CAS=n
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
meue	movoir	VERppe	NOMB.=s|GENRE=f|CAS=n
oï	öir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=n
tressue	tressüer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
apele	apeler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fiere	fier	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
veüe	veüe	NOMcom	NOMB.=s|GENRE=f|CAS=r
Gardez	garder	VERcjg	MODE=imp|PERS.=2|NOMB.=p
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
gens	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=n
esmeüe	esmovoir	VERppe	NOMB.=s|GENRE=f|CAS=n
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
guere	guerre	NOMcom	NOMB.=s|GENRE=f|CAS=n
creüe	croistre	VERppe	NOMB.=s|GENRE=f|CAS=n
eglise	eglise	NOMcom	NOMB.=s|GENRE=f|CAS=n
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
arse	ardre	VERppe	NOMB.=s|GENRE=f|CAS=n
confondue	confondre	VERppe	NOMB.=s|GENRE=f|CAS=n
Laissiés	laissier	VERcjg	MODE=imp|PERS.=2|NOMB.=p
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=r
vielle	vieil	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
remasue	remanoir	VERppe	NOMB.=s|GENRE=f|CAS=n
gens	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=n
blasme	blasmer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
venue	venir	VERppe	NOMB.=s|GENRE=f|CAS=n
