form	lemma	POS	morph
empenc	empeindre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
forsenez	forsener	VERppe	NOMB.=s|GENRE=m|CAS=n
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
crevez	crever	VERppe	NOMB.=p|GENRE=m|CAS=r
voleit	voloir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
estra	estre1	VERinf	MORPH=empty
aprestez	aprester	VERppe	NOMB.=s|GENRE=m|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
reis	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
esmez	esmer	VERppe	NOMB.=p|GENRE=m|CAS=r
ger	chier	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
fil	fil2	NOMcom	NOMB.=s|GENRE=m|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
reis	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
livrez	livrer	VERppe	NOMB.=p|GENRE=m|CAS=r
grailes	graisle	NOMcom	NOMB.=p|GENRE=m|CAS=r
sonent	soner	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
fin	fin2	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
or	or1	NOMcom	NOMB.=s|GENRE=m|CAS=r
adobez	adober	VERppe	NOMB.=p|GENRE=m|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
dit	dire	VERppe	NOMB.=s|GENRE=m|CAS=r
Franc	franc1	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
chivalers	chevalier	NOMcom	NOMB.=p|GENRE=m|CAS=n
alez	aler	VERcjg	MODE=imp|PERS.=2|NOMB.=p
escuer	escuier2	NOMcom	NOMB.=p|GENRE=m|CAS=n
metent	metre2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
estree	estree	NOMcom	NOMB.=s|GENRE=f|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ait	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
lance	lance	NOMcom	NOMB.=s|GENRE=f|CAS=r
paree	parer1	VERppe	NOMB.=s|GENRE=f|CAS=r
bones	bon	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
armes	arme	NOMcom	NOMB.=p|GENRE=f|CAS=r
luist	luisir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
contree	contree	NOMcom	NOMB.=s|GENRE=f|CAS=n
escüers	escuier2	NOMcom	NOMB.=p|GENRE=m|CAS=r
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
asenblee	assemblee	NOMcom	NOMB.=s|GENRE=f|CAS=r
chivauge	chevauchier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
