form	lemma	POS	morph
L	le	DETdef	NOMB.=s|GENRE=f|CAS=n
esperance	esperance	NOMcom	NOMB.=s|GENRE=f|CAS=n
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
cheue	chëoir	VERppe	NOMB.=s|GENRE=f|CAS=n
Apres	après	ADVgen	DEGRE=-
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
aimme	amer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
bonement	bonement	ADVgen	DEGRE=-
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
doute	doter2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
trop	trop	ADVgen	DEGRE=-
durement	durement2	ADVgen	DEGRE=p
qu	que4	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
em	en1	PRE	MORPH=empty
parlant	parler	VERppa	NOMB.=x|GENRE=x|CAS=x
ne	ne1	ADVneg	MORPH=empty
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
corrouce	corrocier	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
ou	o3	CONcoo	MORPH=empty
autrement	autrement	ADVgen	DEGRE=-
s	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
amie	ami	NOMcom	NOMB.=s|GENRE=f|CAS=r
douce	douz	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
Et	et	CONcoo	MORPH=empty
autel	autel1	PROind	NOMB.=s|GENRE=m|CAS=r
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
dy	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
fame	fame	NOMcom	NOMB.=s|GENRE=f|CAS=r
Briement	briément	ADVgen	DEGRE=-
nus	nul	PROind	NOMB.=s|GENRE=m|CAS=n
ne	ne1	ADVneg	MORPH=empty
porroit	pöoir	VERcjg	MODE=con|PERS.=3|NOMB.=s
par	par	PRE	MORPH=empty
m	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r
ame	ame	NOMcom	NOMB.=s|GENRE=f|CAS=r
des	de+le	PRE.DETdef	MORPH=empty+NOMB.=p|GENRE=m|CAS=r
amans	amant	NOMcom	NOMB.=p|GENRE=m|CAS=r
dire	dire	VERinf	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
peeur	pëor	NOMcom	NOMB.=s|GENRE=f|CAS=r
Il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
ne	ne1	ADVneg	MORPH=empty
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
omques	onque	ADVgen	DEGRE=-
sans	sans	PRE	MORPH=empty
freeur	frëor	NOMcom	NOMB.=s|GENRE=f|CAS=r
Por	por2	PRE	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
uns	un	DETndf	NOMB.=s|GENRE=m|CAS=n
versefierres	versefïeor	NOMcom	NOMB.=s|GENRE=m|CAS=n
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
d	de	PRE	MORPH=empty
Amours	amor	NOMpro	NOMB.=s|GENRE=f|CAS=r
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
connoisserres	conoissëor	NOMcom	NOMB.=s|GENRE=m|CAS=n
et	et	CONcoo	MORPH=empty
sot	savoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
quiex	quel1	ADJind	NOMB.=p|GENRE=m|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
d	de	PRE	MORPH=empty
Amours	amor	NOMpro	NOMB.=s|GENRE=f|CAS=r
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
us	us	NOMcom	NOMB.=p|GENRE=m|CAS=n
apelez	apeler	VERppe	NOMB.=s|GENRE=m|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Ovidius	Ovide	NOMpro	NOMB.=s|GENRE=m|CAS=n
Amours	amor	NOMpro	NOMB.=s|GENRE=f|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=n
trop	trop	ADVgen	DEGRE=-
douteuse	dotos	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
plaine	plein	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
de	de	PRE	MORPH=empty
poor	pëor	NOMcom	NOMB.=s|GENRE=f|CAS=r
curieuse	curïos	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
De	de	PRE	MORPH=empty
m	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r
amour	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r
seur	sor2	PRE	MORPH=empty
comdicion	condicïon	NOMcom	NOMB.=s|GENRE=f|CAS=r
car	car	CONcoo	MORPH=empty
tele	tel	ADJind	NOMB.=s|GENRE=f|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
nostre	nostre	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=n
entencion	entencïon	NOMcom	NOMB.=s|GENRE=f|CAS=n
c	que4	CONsub	MORPH=empty
on	on	PROind	NOMB.=s|GENRE=n|CAS=n
la	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
donner	doner	VERinf	MORPH=empty
simplement	simplement	ADVgen	DEGRE=p
ou	o3	CONcoo	MORPH=empty
