form	lemma	POS	morph
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n
ainc	ainc	ADVgen	DEGRE=-
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
mellast	mesler	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
tel	tel	DETind	NOMB.=s|GENRE=m|CAS=r
art	art	NOMcom	NOMB.=s|GENRE=m|CAS=r
plus	plus	ADVgen	DEGRE=c
set	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Porrete	Pourette	NOMpro	NOMB.=s|GENRE=f|CAS=n
de	de	PRE	MORPH=empty
Renart	Renart	NOMpro	NOMB.=s|GENRE=m|CAS=r
que	que1	CONsub	MORPH=empty
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
ne	ne1	ADVneg	MORPH=empty
savés	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
d	de	PRE	MORPH=empty
Insangrin	Ysengrin	NOMpro	NOMB.=s|GENRE=m|CAS=r
Ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
cunchia	conchiier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Damagrin	dam+Magrin	NOMpro	NOMB.=s|GENRE=m|CAS=n
Entre	entre2	PRE	MORPH=empty
li	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
Baudet	Baudet	NOMpro	NOMB.=s|GENRE=m|CAS=r
d	de	PRE	MORPH=empty
Estruem	Etrun	NOMpro	NOMB.=s|GENRE=x|CAS=r
qu	que4	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
n	ne1	ADVneg	MORPH=empty
en	en2	PROadv	MORPH=empty
porterent	porter	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
rien	rien	PROind	NOMB.=s|GENRE=f|CAS=r
del	de+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
suen	suen	PROpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
ains	ainz	ADVgen	DEGRE=-
furent	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
cunkié	conchiier	VERppe	NOMB.=p|GENRE=m|CAS=n
si	si	ADVgen	DEGRE=-
andoi	ambedos	PROcar	NOMB.=p|GENRE=m|CAS=n
que	que4	CONsub	MORPH=empty
l	le	DETdef	NOMB.=s|GENRE=m|CAS=n
uns	un	PROind	NOMB.=s|GENRE=m|CAS=n
laissa	laissier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
palefroi	palefroi	NOMcom	NOMB.=s|GENRE=m|CAS=r
Mais	mais1	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
chou	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
n	ne1	ADVneg	MORPH=empty
afiert	aferir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
à	a3	PRE	MORPH=empty
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
rien	rien	PROind	NOMB.=s|GENRE=f|CAS=n
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
vuel	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
avoir	avoir	VERinf	MORPH=empty
gage	gage	NOMcom	NOMB.=s|GENRE=m|CAS=r
del	de+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
mien	mien	PROpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
si	si	ADVgen	DEGRE=-
en	en2	PROadv	MORPH=empty
serai	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
plus	plus	ADVgen	DEGRE=c
asseur	assëur	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
Ostes	oste	NOMcom	NOMB.=s|GENRE=m|CAS=n
ja	ja	ADVgen	DEGRE=-
mar	mar	ADVgen	DEGRE=-
arés	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
peur	pëor	NOMcom	NOMB.=s|GENRE=f|CAS=r
Eles	il	PROper	PERS.=3|NOMB.=p|GENRE=f|CAS=n
revenront	revenir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
ja	ja	ADVgen	DEGRE=-
par	par	PRE	MORPH=empty
tans	tens	NOMcom	NOMB.=s|GENRE=m|CAS=r
Et	et	CONcoo	MORPH=empty
se	se	CONsub	MORPH=empty
de	de	PRE	MORPH=empty
riens	rien	PROind	NOMB.=s|GENRE=f|CAS=r
estes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
doutans	doter2	VERppa	NOMB.=s|GENRE=m|CAS=n
tenés	tenir1	VERcjg	MODE=imp|PERS.=2|NOMB.=p
cest	cest	DETdem	NOMB.=s|GENRE=m|CAS=r
mantiel	mantel	NOMcom	NOMB.=s|GENRE=m|CAS=r
en	en1	PRE	MORPH=empty
vos	vostre	DETpos	PERS.=2|NOMB.=p|GENRE=f|CAS=r
mains	main2	NOMcom	NOMB.=p|GENRE=f|CAS=r
