form	lemma	POS	morph
entrer	entrer	VERinf	MORPH=empty
celle	cele	NOMcom	NOMB.=s|GENRE=f|CAS=r
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
mur	mur	NOMcom	NOMB.=s|GENRE=m|CAS=r
corrumpu	corrompre	VERppe	NOMB.=s|GENRE=m|CAS=r
remés	remanoir	VERppe	NOMB.=p|GENRE=m|CAS=n
estoient	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
fammes	feme	NOMcom	NOMB.=p|GENRE=f|CAS=n
villes	vieil	ADJqua	NOMB.=p|GENRE=f|CAS=n|DEGRE=p
enfants	enfant	NOMcom	NOMB.=p|GENRE=m|CAS=n
aler	aler	VERinf	MORPH=empty
pooient	pöoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
part	part1	NOMcom	NOMB.=s|GENRE=f|CAS=r
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r
proiant	priier	VERppa	NOMB.=x|GENRE=x|CAS=x
apruchoient	aprochier	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
liues	lieue	NOMcom	NOMB.=p|GENRE=f|CAS=r
vile	vile	NOMcom	NOMB.=s|GENRE=f|CAS=r
encontre	encontre2	NOMcom	NOMB.=s|GENRE=f|CAS=r
venoient	venir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
aler	aler	VERinf	MORPH=empty
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r
haterent	haster	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
portoient	porter	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
Cor	cort1	NOMcom	NOMB.=s|GENRE=f|CAS=r
troverent	trover	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
reposoient	reposer	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
reposerent	reposer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
reverence	reverence	NOMcom	NOMB.=s|GENRE=f|CAS=r
porterent	porter	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
porter	porter	VERinf	MORPH=empty
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
amenevis	amanevir	VERppe	NOMB.=s|GENRE=m|CAS=n
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
gent	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=r
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=n
sevelis	sevelir	VERppe	NOMB.=s|GENRE=m|CAS=n
jor	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r
juillet	juillet	NOMcom	NOMB.=s|GENRE=m|CAS=r
fuit	fuir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
mis	metre2	VERppe	NOMB.=s|GENRE=m|CAS=n
mostier	mostier	NOMcom	NOMB.=s|GENRE=m|CAS=r
devis	deviser	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
titre	title	NOMcom	NOMB.=s|GENRE=m|CAS=r
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
prestes	prestre	NOMcom	NOMB.=s|GENRE=m|CAS=n
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=n
seinz	saint	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
amis	ami	NOMcom	NOMB.=s|GENRE=m|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
sevelis	sevelir	VERppe	NOMB.=s|GENRE=m|CAS=n
onor	onor	NOMcom	NOMB.=s|GENRE=x|CAS=r
clergie	clergie	NOMcom	NOMB.=s|GENRE=f|CAS=r
oroison	oraison	NOMcom	NOMB.=s|GENRE=f|CAS=r
tens	tens	NOMcom	NOMB.=s|GENRE=m|CAS=r
presevrerent	perseverer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
frere	frere	NOMcom	NOMB.=p|GENRE=m|CAS=n
entenderent	entendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
mostrer	mostrer	VERinf	MORPH=empty
deignasse	deignier	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
prierent	priier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r
porteroient	porter	VERcjg	MODE=con|PERS.=3|NOMB.=p
esvoil	esveil	NOMcom	NOMB.=s|GENRE=m|CAS=r
erent	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
abes	abé1	NOMcom	NOMB.=s|GENRE=m|CAS=n
freres	frere	NOMcom	NOMB.=p|GENRE=m|CAS=r
tornet	torner	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
ore	ore3	NOMcom	NOMB.=s|GENRE=f|CAS=r
jor	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r
donet	doner	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
oiez	öir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
plait	plaire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Des	Dieu	NOMcom	NOMB.=s|GENRE=m|CAS=n
ovret	ovrir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
conduist	conduire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
aviet	avoiier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Conseil	conseil	NOMcom	NOMB.=s|GENRE=m|CAS=r
prident	prendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
descorderent	descorder1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
viautrent	voloir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
acorderent	acorder	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
mie	mi2	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
nuit	nuit	NOMcom	NOMB.=s|GENRE=f|CAS=r
cité	cité	NOMcom	NOMB.=s|GENRE=f|CAS=r
isserent	issir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
bruit	bruit	NOMcom	NOMB.=s|GENRE=m|CAS=r
noise	noise	NOMcom	NOMB.=s|GENRE=f|CAS=r
sachoiz	savoir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
menerent	mener	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
volonté	volenté	NOMcom	NOMB.=s|GENRE=f|CAS=r
vindrent	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
iglise	eglise	NOMcom	NOMB.=s|GENRE=f|CAS=r
riviere	riviere	NOMcom	NOMB.=s|GENRE=f|CAS=r
apele	apeler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
seint	saint	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r
portoient	porter	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
devise	deviser	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
