form	lemma	POS	morph
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
des	des2	PRE	MORPH=empty
l	le	DETdef	NOMB.=s|GENRE=m|CAS=r
encomencement	encomencement	NOMcom	NOMB.=s|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
devenuz	devenir	VERppe	NOMB.=s|GENRE=m|CAS=n
homicides	omecide	NOMcom	NOMB.=s|GENRE=m|CAS=n
Ce	ce1	PROdem	NOMB.=s|GENRE=m|CAS=n
semblet	sembler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
qu	que4	CONsub	MORPH=empty
Adans	Adam	NOMpro	NOMB.=s|GENRE=m|CAS=n
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
pis	pis1	ADVgen	DEGRE=c
quant	cant1	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
femme	feme	NOMcom	NOMB.=s|GENRE=f|CAS=r
ne	ne1	ADVneg	MORPH=empty
volt	voloir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
mies	mie	ADVneg	MORPH=empty
correcier	corrocier	VERinf	MORPH=empty
Mais	mais1	CONcoo	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
crimor	cremor	NOMcom	NOMB.=s|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
Deu	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r
dewerpit	deguerpir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
quant	cant1	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
anceos	ainçois	ADVgen	DEGRE=-
fut	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
obediens	obedïent	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
à	a3	PRE	MORPH=empty
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
voix	voiz	NOMcom	NOMB.=s|GENRE=f|CAS=r
qu	que1	CONsub	MORPH=empty
à	a3	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
voix	voiz	NOMcom	NOMB.=s|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
Deu	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r
Hai	hai!	INJ	MORPH=empty
cum	come1	ADVint	MORPH=empty
bien	bien2	NOMcom	NOMB.=s|GENRE=m|CAS=n
nos	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=i
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
avenut	avenir	VERppe	NOMB.=s|GENRE=m|CAS=n
si	se	CONsub	MORPH=empty
li	le	DETdef	NOMB.=s|GENRE=f|CAS=n
crimours	cremor	NOMcom	NOMB.=s|GENRE=f|CAS=n
de	de	PRE	MORPH=empty
Deu	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r
äust	avoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
en	en1	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
plus	plus	ADVgen	DEGRE=c
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
force	force2	NOMcom	NOMB.=s|GENRE=f|CAS=r
si	si	ADVgen	DEGRE=-
cum	come1	CONsub	MORPH=empty
en	en2	PROadv	MORPH=empty
leist	loisir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
nomeiment	nomeement	ADVgen	DEGRE=-
de	de	PRE	MORPH=empty
Crist	crist	NOMpro	NOMB.=s|GENRE=m|CAS=r
Et	et	CONcoo	MORPH=empty
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
espiriz	esperit	NOMcom	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
crimor	cremor	NOMcom	NOMB.=s|GENRE=f|CAS=r
lo	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
raamplit	räemplir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
En	en1	PRE	MORPH=empty
totes	tot	DETind	NOMB.=p|GENRE=f|CAS=r
choses	chose	NOMcom	NOMB.=p|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
per	par	PRE	MORPH=empty
totes	tot	DETind	NOMB.=p|GENRE=f|CAS=r
choses	chose	NOMcom	NOMB.=p|GENRE=f|CAS=r
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
estre	estre1	VERinf	MORPH=empty
li	le	DETdef	NOMB.=s|GENRE=f|CAS=n
crimours	cremor	NOMcom	NOMB.=s|GENRE=f|CAS=n
nostre	nostre	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
signor	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r
mise	metre2	VERppe	NOMB.=s|GENRE=f|CAS=n
davant	devant	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
pitiet	pitié	NOMcom	NOMB.=s|GENRE=f|CAS=r
des	de+le	PRE.DETdef	MORPH=empty+NOMB.=p|GENRE=m|CAS=r
prosmes	proisme	NOMcom	NOMB.=p|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
c	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
cille	cel	DETind	NOMB.=s|GENRE=f|CAS=n
soule	sol1	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
chouse	chose	NOMcom	NOMB.=s|GENRE=f|CAS=n
que	que2	PROrel	NOMB.=s|GENRE=f|CAS=r
tot	tot	DETind	NOMB.=s|GENRE=m|CAS=n
l	le	DETdef	NOMB.=s|GENRE=m|CAS=n
omme	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
traire	traire	VERinf	MORPH=empty
à	a3	PRE	MORPH=empty
lei	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
