form	lemma	POS	morph
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=f|CAS=n
m	je	PROper	PERS.=1|NOMB.=s|GENRE=f|CAS=r
escapai	eschaper	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
le	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r
soi	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
bien	bien1	ADVgen	DEGRE=p
nous	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=n
veïmes	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=p
tout	tot	DETind	NOMB.=s|GENRE=m|CAS=r
ton	ton4	DETpos	PERS.=2|NOMB.=s|GENRE=m|CAS=r
couvin	covin	NOMcom	NOMB.=s|GENRE=m|CAS=r
Demandes	demander	VERcjg	MODE=imp|PERS.=2|NOMB.=s
Baudon	Baudon	NOMpro	NOMB.=s|GENRE=m|CAS=r
men	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
cousin	cosin	NOMcom	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
Gautier	Gautier	NOMpro	NOMB.=s|GENRE=m|CAS=r
quant	cant1	CONsub	MORPH=empty
t	tu	PROper	PERS.=2|NOMB.=s|GENRE=f|CAS=r
en	en2	PROadv	MORPH=empty
vi	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
partir	partir	VERinf	MORPH=empty
s	se	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
orent	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
en	en1	PRE	MORPH=empty
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
que	que2	PROrel	NOMB.=s|GENRE=n|CAS=r
tenir	tenir1	VERinf	MORPH=empty
Trois	trois	DETcar	NOMB.=p|GENRE=f|CAS=r
fois	foiz	NOMcom	NOMB.=p|GENRE=f|CAS=r
leur	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=i
escapai	eschaper	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
tous	tot	DETind	NOMB.=p|GENRE=m|CAS=r
deus	deus	PROcar	NOMB.=p|GENRE=m|CAS=r
Robin	Robin	NOMpro	NOMB.=s|GENRE=m|CAS=n
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=n
ies	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
