form	lemma	POS	morph
bons	bon	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
jovenenciaus	jovencel	NOMcom	NOMB.=s|GENRE=m|CAS=n
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
habitacle	abitacle	NOMcom	NOMB.=s|GENRE=m|CAS=r
mer	mer	NOMcom	NOMB.=s|GENRE=f|CAS=r
palu	palu1	NOMcom	NOMB.=s|GENRE=m|CAS=r
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
espaontable	espöentable	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
liu	lieu	NOMcom	NOMB.=s|GENRE=m|CAS=r
orible	orrible	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
mangoit	mangier	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
solaus	soleil	NOMcom	NOMB.=s|GENRE=m|CAS=n
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
couciés	couchier	VERppe	NOMB.=s|GENRE=m|CAS=n
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
povre	povre	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
viande	vïande	NOMcom	NOMB.=s|GENRE=f|CAS=r
mangoit	mangier	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
escaloignes	eschaloigne	NOMcom	NOMB.=s|GENRE=f|CAS=r
diables	dïable	NOMcom	NOMB.=s|GENRE=m|CAS=n
vit	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
jovenenciaus	jovencel	NOMcom	NOMB.=s|GENRE=m|CAS=n
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
arestés	arester	VERppe	NOMB.=s|GENRE=m|CAS=n
liu	lieu	NOMcom	NOMB.=s|GENRE=m|CAS=r
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
habité	abiter	VERppe	NOMB.=s|GENRE=m|CAS=r
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
dolans	dolent	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
sacler	sarcler	VERinf	MORPH=empty
hauwel	höel	NOMcom	NOMB.=s|GENRE=m|CAS=r
hauwer	höer	VERinf	MORPH=empty
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
sains	saint	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
sains	saint	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
couçoit	couchier	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
cele	cele	NOMcom	NOMB.=s|GENRE=f|CAS=r
saint	saint	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
baissoit	baisier	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
liu	lieu	NOMcom	NOMB.=s|GENRE=m|CAS=r
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
geu	jesir	VERppe	NOMB.=s|GENRE=m|CAS=r
sains	saint	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
geust	jesir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
sains	saint	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
kier	chier	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r
cele	cele	NOMcom	NOMB.=s|GENRE=f|CAS=n
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
lonc	lonc	NOMcom	NOMB.=s|GENRE=m|CAS=r
lé	lé	NOMcom	NOMB.=s|GENRE=m|CAS=r
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
dormant	dormir	VERppa	NOMB.=s|GENRE=m|CAS=n
peust	pöoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
estendre	estendre	VERinf	MORPH=empty
alerent	aler	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
paine	peine	NOMcom	NOMB.=s|GENRE=f|CAS=r
son	son1	NOMcom	NOMB.=s|GENRE=m|CAS=r
mont	monde1	NOMcom	NOMB.=s|GENRE=m|CAS=r
