form	lemma	POS	morph
et	et	CONcoo	MORPH=empty
Aucibiers	Aucibier	NOMpro	NOMB.=s|GENRE=m|CAS=n
s	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
an	en2	PROadv	MORPH=empty
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
garde	garde	NOMcom	NOMB.=s|GENRE=f|CAS=r
donés	doner	VERppe	NOMB.=s|GENRE=m|CAS=n
Adont	adonc	ADVgen	DEGRE=-
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
pence	penser	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
qu	que4	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
vient	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
à	a3	PRE	MORPH=empty
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
jouster	joster	VERinf	MORPH=empty
dont	donc	ADVgen	DEGRE=-
a	a3	PRE	MORPH=empty
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
gent	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=r
hautement	hautement	ADVgen	DEGRE=p
apellet	apeler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Veés	vëoir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
i	un	PROcar	NOMB.=s|GENRE=m|CAS=r
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
vient	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
conreés	conrëer	VERppe	NOMB.=s|GENRE=m|CAS=n
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
sis	si	ADVgen	DEGRE=-
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
vient	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
molt	mout	ADVgen	DEGRE=-
richement	richement	ADVgen	DEGRE=p
armés	armer	VERppe	NOMB.=s|GENRE=m|CAS=n
Se	se	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
ocit	ocire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
arier	ariere	ADVgen	DEGRE=-
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r
en	en2	PROadv	MORPH=empty
alés	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
en	en1	PRE	MORPH=empty
celle	cele	PROdem	NOMB.=s|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
quoi	coi2	PROrel	NOMB.=s|GENRE=n|CAS=r
chascuns	chascun	PROind	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
nés	naistre	VERppe	NOMB.=s|GENRE=m|CAS=n
En	en1	PRE	MORPH=empty
cet	cest	DETdem	NOMB.=s|GENRE=m|CAS=r
païs	päis	NOMcom	NOMB.=s|GENRE=m|CAS=r
avriés	avoir	VERcjg	MODE=con|PERS.=2|NOMB.=p
mal	mal1	ADVgen	DEGRE=p
demorer	demorer	NOMcom	NOMB.=s|GENRE=m|CAS=r
Et	et	CONcoo	MORPH=empty
cil	cel	PROdem	NOMB.=p|GENRE=m|CAS=n
respondent	respondre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
A	a3	PRE	MORPH=empty
vostre	vostre	DETpos	PERS.=2|NOMB.=s|GENRE=f|CAS=r
volenté	volenté	NOMcom	NOMB.=s|GENRE=f|CAS=r
Lors	lors	ADVgen	DEGRE=-
c	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
et	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
turs	Turc	NOMpro	NOMB.=s|GENRE=m|CAS=n
vers	vers2	PRE	MORPH=empty
