form	lemma	POS	morph
Et	et	CONcoo	MORPH=empty
li	le	DETdef	NOMB.=s|GENRE=f|CAS=n
pucelle	pucele	NOMcom	NOMB.=s|GENRE=f|CAS=n
el	en1+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
destre	destre	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
surcil	sorcil	NOMcom	NOMB.=s|GENRE=m|CAS=r
;	;	PONfbl	MORPH=empty
honteose	hontos	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
utele	utile	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
,	,	PONfbl	MORPH=empty
se	se	CONsub	MORPH=empty
el	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
at	a3	PRE	MORPH=empty
home	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r
amee	amer1	VERppe	NOMB.=s|GENRE=f|CAS=n
en	en2	PROadv	MORPH=empty
iert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
Enfers	enfer	NOMcom	NOMB.=s|GENRE=m|CAS=n
toust	tost1	ADVgen	DEGRE=p
morat	morir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
Soinge	soing	NOMcom	NOMB.=s|GENRE=m|CAS=n
toust	tost1	ADVgen	DEGRE=p
serat	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
fais	faire	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
à	a3	PRE	MORPH=empty
Deu	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
commande	comander	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
Lune	lune	NOMcom	NOMB.=s|GENRE=f|CAS=n
.	.	PONfrt	MORPH=empty
ix	9	PROcar	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
Li	le	DETdef	NOMB.=s|GENRE=f|CAS=n
novemes	novaine	NOMcom	NOMB.=s|GENRE=f|CAS=n
de	de	PRE	MORPH=empty
totes	tot	DETind	NOMB.=p|GENRE=f|CAS=r
choses	chose	NOMcom	NOMB.=p|GENRE=f|CAS=r
faire	faire	VERinf	MORPH=empty
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
bune	bon	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
.	.	PONfrt	MORPH=empty
Fuitous	fuitif	NOMcom	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
trovez	trover	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
malades	malade	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
toust	tost1	ADVgen	DEGRE=p
garist	garir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
Enfes	enfant	NOMcom	NOMB.=s|GENRE=m|CAS=n
ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
naist	naistre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
voiseus	vezïos	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
,	,	PONfbl	MORPH=empty
glorious	glorïos	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
,	,	PONfbl	MORPH=empty
clers	cler	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
de	de	PRE	MORPH=empty
bunes	bone	NOMcom	NOMB.=p|GENRE=f|CAS=r
gratieus	gracïos	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
;	;	PONfbl	MORPH=empty
de	de	PRE	MORPH=empty
ci	ci	ADVgen	DEGRE=-
à	a3	PRE	MORPH=empty
uit	uit	DETcar	NOMB.=p|GENRE=m|CAS=r
anz	an	NOMcom	NOMB.=p|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
