form	lemma	POS	morph
Longue	lonc	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
atente	atente	NOMcom	NOMB.=s|GENRE=f|CAS=n
poroit	pöoir	VERcjg	MODE=con|PERS.=3|NOMB.=s
nuire	nuire	VERinf	MORPH=empty
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
vis	vis2	NOMcom	NOMB.=s|GENRE=m|CAS=n
lo	löer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
soiiés	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=2|NOMB.=p
amis	ami	NOMcom	NOMB.=s|GENRE=m|CAS=n
haut	haut	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
liu	lieu	NOMcom	NOMB.=s|GENRE=m|CAS=r
veés	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
soiiés	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=2|NOMB.=p
amés	amer1	VERppe	NOMB.=s|GENRE=m|CAS=n
respont	respondre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n
foi	foi	NOMcom	NOMB.=s|GENRE=f|CAS=r
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
dites	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
monte	monter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
conte	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=n
amer	amer1	VERinf	MORPH=empty
doie	devoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
doie	doie	NOMcom	NOMB.=p|GENRE=f|CAS=r
amer	amer1	VERinf	MORPH=empty
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=r
soveraine	soverain	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
metoie	metre2	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
paine	peine	NOMcom	NOMB.=s|GENRE=f|CAS=r
estes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
devient	devenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
grans	grant	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
mervelle	merveille	NOMcom	NOMB.=s|GENRE=f|CAS=n
avient	avenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
avenra	avenir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
castelaine	chastelaine	NOMcom	NOMB.=s|GENRE=f|CAS=r
saint	saint	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
vers	vers1	NOMcom	NOMB.=p|GENRE=m|CAS=r
mort	mort	NOMcom	NOMB.=s|GENRE=f|CAS=r
loënge	löenge	NOMcom	NOMB.=s|GENRE=f|CAS=r
branque	branche	NOMcom	NOMB.=s|GENRE=f|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
miracles	miracle	NOMcom	NOMB.=p|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mervelles	merveille	NOMcom	NOMB.=s|GENRE=f|CAS=n
vilain	vilain	NOMcom	NOMB.=s|GENRE=m|CAS=n
ies	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
rice	riche	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
Oiés	öir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
seignor	seignor	NOMcom	NOMB.=p|GENRE=m|CAS=n
croisse	croistre	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
bonté	bonté	NOMcom	NOMB.=s|GENRE=f|CAS=r
glorious	glorïos	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
crois	croiz	NOMcom	NOMB.=s|GENRE=f|CAS=r
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
pené	pener	VERppe	NOMB.=s|GENRE=m|CAS=n
orrés	öir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
canchon	chançon	NOMcom	NOMB.=s|GENRE=f|CAS=r
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
nobilité	nobilité	NOMcom	NOMB.=s|GENRE=f|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
peril	peril	NOMcom	NOMB.=s|GENRE=m|CAS=r
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
desmesurés	desmesurer	VERppe	NOMB.=s|GENRE=m|CAS=n
felons	felon	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
estre	estre1	VERinf	MORPH=empty
trovés	trover	VERppe	NOMB.=s|GENRE=m|CAS=n
