form	lemma	POS	morph
seroit	estre1	VERcjg	MODE=con|PERS.=3|NOMB.=s
fons	fonz	NOMcom	NOMB.=s|GENRE=m|CAS=r
rive	rive	NOMcom	NOMB.=s|GENRE=f|CAS=r
porroie	pöoir	VERcjg	MODE=con|PERS.=1|NOMB.=s
vive	vivre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
verras	vëoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=s
aconter	aconter	VERinf	MORPH=empty
peuz	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
cité	cité	NOMcom	NOMB.=s|GENRE=f|CAS=r
monter	monter	VERinf	MORPH=empty
gardes	garder	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
leauté	lëauté	NOMcom	NOMB.=s|GENRE=f|CAS=r
fin	fin1	NOMcom	NOMB.=s|GENRE=f|CAS=r
fauseté	fausseté	NOMcom	NOMB.=s|GENRE=f|CAS=r
iras	aler	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=s
pramet	prometre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fere	faire	VERinf	MORPH=empty
entremet	entremetre	VERcjg	MODE=imp|PERS.=2|NOMB.=s
parolle	parler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
meichine	medecine	NOMcom	NOMB.=s|GENRE=f|CAS=n
chevalier	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=n
reine	röine1	NOMcom	NOMB.=s|GENRE=f|CAS=n
partirent	partir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
Grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r
vont	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
feisant	faire	VERppa	NOMB.=x|GENRE=x|CAS=x
homes	ome	NOMcom	NOMB.=p|GENRE=m|CAS=r
blans	blanc	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
veu	vëoir	VERppe	NOMB.=s|GENRE=m|CAS=r
conforz	confort	NOMcom	NOMB.=p|GENRE=m|CAS=r
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
eü	avoir	VERppe	NOMB.=s|GENRE=m|CAS=r
glorieuse	glorïos	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
pucele	pucele	NOMcom	NOMB.=s|GENRE=f|CAS=r
