form	lemma	POS	morph
pleure	plorer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
dus	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=n
plaint	plaindre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
soupire	sospirer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
larmes	larme	NOMcom	NOMB.=p|GENRE=f|CAS=r
regrete	regreter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
douce	douz	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
castiaus	chastel	NOMcom	NOMB.=p|GENRE=m|CAS=r
marces	marche1	NOMcom	NOMB.=p|GENRE=f|CAS=r
fesis	faire	VERcjg	MODE=sub|TEMPS=ipf|PERS.=2|NOMB.=s
biaus	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
serouges	serorge1	NOMcom	NOMB.=s|GENRE=m|CAS=n
fieus	fil2	NOMcom	NOMB.=s|GENRE=m|CAS=n
cachas	chacier	VERcjg	MODE=ind|TEMPS=psp|PERS.=2|NOMB.=s
acointas	acointier	VERcjg	MODE=ind|TEMPS=psp|PERS.=2|NOMB.=s
ert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
seus	sol1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
jors	jor	NOMcom	NOMB.=s|GENRE=m|CAS=n
hace	häir	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s
Biaus	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
fieus	fil2	NOMcom	NOMB.=s|GENRE=m|CAS=n
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
face	faire	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s
manoir	manoir1	VERinf	MORPH=empty
bos	bois	NOMcom	NOMB.=p|GENRE=m|CAS=r
serés	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
sages	sage	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
devenrés	devenir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
sos	sot	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
enfantieus	enfantif	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
savages	sauvage	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
