form	lemma	POS	morph
N	ne1	ADVneg	MORPH=empty
’	’	PONfbl	MORPH=empty
i	i2	PROadv	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
celui	cel	PROdem	NOMB.=s|GENRE=m|CAS=r
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
contredie	contredire	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
«	«	PONfbl	MORPH=empty
Renart	Renart	NOMpro	NOMB.=s|GENRE=m|CAS=n
»	»	PONfbl	MORPH=empty
,	,	PONfbl	MORPH=empty
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Ysengrin	Ysengrin	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
«	«	PONfbl	MORPH=empty
entent	entendre	VERcjg	MODE=imp|PERS.=2|NOMB.=s
,	,	PONfbl	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
droit	droit	NOMcom	NOMB.=s|GENRE=m|CAS=r
atent	atendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
des	de+le	PRE.DETdef	MORPH=empty+NOMB.=p|GENRE=m|CAS=r
granz	grant	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
anuiz	enui	NOMcom	NOMB.=p|GENRE=m|CAS=r
que	que2	PROrel	NOMB.=p|GENRE=m|CAS=r
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=n
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
’	’	PONfbl	MORPH=empty
as	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
faiz	faire	VERppe	NOMB.=p|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
que	que2	PROrel	NOMB.=p|GENRE=m|CAS=r
nous	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=n
avons	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
ceens	çaienz	ADVgen	DEGRE=-
retraiz	retraire	VERppe	NOMB.=p|GENRE=m|CAS=r
:	:	PONfbl	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
encore	encore	ADVgen	DEGRE=-
amendé	amender	VERppe	NOMB.=p|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
si	si	ADVgen	DEGRE=-
l	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r
’	’	PONfbl	MORPH=empty
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
Roys	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
conmandé	comander	VERppe	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Mont	mout	ADVgen	DEGRE=-
as	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
ainz	ainz	ADVgen	DEGRE=-
fait	faire	VERppe	NOMB.=s|GENRE=m|CAS=r
pener	pener	VERinf	MORPH=empty
qu	que4	CONsub	MORPH=empty
’	’	PONfbl	MORPH=empty
à	a3	PRE	MORPH=empty
cort	cort1	NOMcom	NOMB.=s|GENRE=f|CAS=r
te	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=r
poïst	pöoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
amener	amener	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Et	et	CONcoo	MORPH=empty
des	de+le	PRE.DETdef	MORPH=empty+NOMB.=p|GENRE=m|CAS=r
jeunes	jëune	NOMcom	NOMB.=p|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
des	de+le	PRE.DETdef	MORPH=empty+NOMB.=p|GENRE=m|CAS=r
chanus	chenu	NOMcom	NOMB.=p|GENRE=m|CAS=r
en	en2	PROadv	MORPH=empty
as	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
assez	assez	ADVgen	DEGRE=-
por	por2	PRE	MORPH=empty
fous	fol3	NOMcom	NOMB.=p|GENRE=m|CAS=r
tenus	tenir1	VERppe	NOMB.=p|GENRE=m|CAS=r
por	por2	PRE	MORPH=empty
eulz	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
toy	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=r
clamor	clamor	NOMcom	NOMB.=s|GENRE=m|CAS=r
font	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
et	et	CONcoo	MORPH=empty
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
ci	ci	ADVgen	DEGRE=-
emprés	emprès	PRE	MORPH=empty
toy	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=r
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
por	por2	PRE	MORPH=empty
moy	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
que	que2	PROrel	NOMB.=s|GENRE=m|CAS=r
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=n
as	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
si	si	ADVgen	DEGRE=-
honniz	honir	VERppe	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Veill	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
que	que4	CONsub	MORPH=empty
ci	ci	ADVgen	DEGRE=-
plez	plait	NOMcom	NOMB.=s|GENRE=m|CAS=n
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
hui	ui	ADVgen	DEGRE=-
feniz	fenir	VERppe	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
