form	lemma	POS	morph
valut	valoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
digneté	dignité	NOMcom	NOMB.=s|GENRE=f|CAS=n
force	force2	NOMcom	NOMB.=s|GENRE=f|CAS=n
poesté	pöesté	NOMcom	NOMB.=s|GENRE=f|CAS=n
vilain	vilain	NOMcom	NOMB.=s|GENRE=m|CAS=r
revendra	revenir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
princes	prince	NOMcom	NOMB.=p|GENRE=m|CAS=r
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
monde	monde1	NOMcom	NOMB.=s|GENRE=m|CAS=r
mort	mort	NOMcom	NOMB.=s|GENRE=f|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pierre	piere	NOMcom	NOMB.=s|GENRE=f|CAS=r
fonde	fonde1	NOMcom	NOMB.=s|GENRE=f|CAS=r
aprestee	aprester	VERppe	NOMB.=s|GENRE=f|CAS=r
lancier	lancier3	VERinf	MORPH=empty
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
muscier	mucier	VERinf	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
garite	garite	NOMcom	NOMB.=s|GENRE=f|CAS=r
Fei	foi	NOMcom	NOMB.=s|GENRE=f|CAS=r
dei	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
sainte	saint	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
merveille	merveille	NOMcom	NOMB.=s|GENRE=f|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
penson	penser	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
beste	beste	NOMcom	NOMB.=s|GENRE=f|CAS=r
peisson	poisson	NOMcom	NOMB.=s|GENRE=m|CAS=r
oisel	oisel	NOMcom	NOMB.=s|GENRE=m|CAS=r
porveit	porvëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
tens	tens	NOMcom	NOMB.=s|GENRE=m|CAS=r
porveer	porvëoir	VERinf	MORPH=empty
deit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
home	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
purveit	porvëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
