form	lemma	POS	morph
volenté	volenté	NOMcom	NOMB.=s|GENRE=f|CAS=r
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r
granz	grant	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
torbes	torbe1	NOMcom	NOMB.=p|GENRE=f|CAS=r
enemis	enemi	NOMcom	NOMB.=p|GENRE=m|CAS=r
venoient	venir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
armé	armer	VERppe	NOMB.=p|GENRE=m|CAS=n
sembloit	sembler	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
montaigne	montaigne	NOMcom	NOMB.=s|GENRE=f|CAS=n
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
plaine	plein	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
testemoignent	testemoignier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
virent	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
venoient	venir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
tens	tens	NOMcom	NOMB.=s|GENRE=m|CAS=r
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
sainz	saint	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
corage	corage	NOMcom	NOMB.=s|GENRE=m|CAS=r
ferm	ferm	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
paisible	paisible	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
chaçoit	chacier	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
deables	dïable	NOMcom	NOMB.=p|GENRE=m|CAS=r
non	nom	NOMcom	NOMB.=s|GENRE=m|CAS=r
bestes	beste	NOMcom	NOMB.=p|GENRE=f|CAS=n
salvages	sauvage	ADJqua	NOMB.=p|GENRE=f|CAS=n|DEGRE=p
forest	forest	NOMcom	NOMB.=s|GENRE=f|CAS=r
desertine	desertine	NOMcom	NOMB.=s|GENRE=f|CAS=r
estoient	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
nuit	nuit	NOMcom	NOMB.=s|GENRE=f|CAS=r
avint	avenir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
sainz	saint	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
venuz	venir	VERppe	NOMB.=s|GENRE=m|CAS=n
vain	vain	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
looient	löer1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
avoient	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
droit	droit	NOMcom	NOMB.=s|GENRE=m|CAS=r
enmoient	amer1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
rien	rien	NOMcom	NOMB.=s|GENRE=f|CAS=r
bien	bien2	NOMcom	NOMB.=s|GENRE=m|CAS=r
doçor	douçor	NOMcom	NOMB.=s|GENRE=f|CAS=r
trovoient	trover	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
prové	prover	VERppe	NOMB.=s|GENRE=m|CAS=n
mort	mort	NOMcom	NOMB.=s|GENRE=f|CAS=r
plainssent	plaindre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
plorerent	plorer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
bon	bon	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
pere	pere	NOMcom	NOMB.=s|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
droiz	droit	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
fin	fin1	NOMcom	NOMB.=s|GENRE=f|CAS=r
die	dire	VERcjg	MODE=sub|TEMPS=ipf|PERS.=1|NOMB.=s
trespassa	trespasser	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r
jor	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r
avint	avenir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
sainz	saint	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
vint	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
primerain	premerain	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
desert	desert2	NOMcom	NOMB.=s|GENRE=m|CAS=r
viseter	visiter	VERinf	MORPH=empty
freres	frere	NOMcom	NOMB.=p|GENRE=m|CAS=r
habitoient	abiter	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
volenté	volenté	NOMcom	NOMB.=s|GENRE=f|CAS=r
avez	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
comencié	comencier	VERppe	NOMB.=s|GENRE=m|CAS=r
cognoissiez	conoistre	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
mauvaies	mauvais	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
agais	agait	NOMcom	NOMB.=p|GENRE=m|CAS=r
ennemi	enemi	NOMcom	NOMB.=s|GENRE=m|CAS=r
foiez	foiz	NOMcom	NOMB.=p|GENRE=f|CAS=r
avez	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
veu	vëoir	VERppe	NOMB.=s|GENRE=m|CAS=r
crueuses	crüel	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
forces	force2	NOMcom	NOMB.=p|GENRE=f|CAS=r
felonnies	felonie	NOMcom	NOMB.=p|GENRE=f|CAS=r
criez	crïer2	VERcjg	MODE=imp|PERS.=2|NOMB.=p
merci	merci	NOMcom	NOMB.=s|GENRE=f|CAS=r
creance	crëance	NOMcom	NOMB.=s|GENRE=f|CAS=r
saintisme	saintisme	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=s
nom	nom	NOMcom	NOMB.=s|GENRE=m|CAS=r
enfichiez	enfichier	VERcjg	MODE=imp|PERS.=2|NOMB.=p
pensees	pensee	NOMcom	NOMB.=p|GENRE=f|CAS=r
porra	pöoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
mal	mal1	NOMcom	NOMB.=s|GENRE=m|CAS=r
faire	faire	VERinf	MORPH=empty
ennemis	enemi	NOMcom	NOMB.=s|GENRE=m|CAS=n
grevance	grevance	NOMcom	NOMB.=s|GENRE=f|CAS=r
sovienge	sovenir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
amonestemenz	amonestement	NOMcom	NOMB.=p|GENRE=m|CAS=r
paroles	parole	NOMcom	NOMB.=p|GENRE=f|CAS=r
soviegne	sovenir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
decevable	decevable	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
sachiez	savoir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
celestel	celestïal	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
loier	loiier	NOMcom	NOMB.=p|GENRE=m|CAS=n
seront	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
doné	doner	VERppe	NOMB.=p|GENRE=m|CAS=n
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r
