form	lemma	POS	morph
corouz	corroz	NOMcom	NOMB.=s|GENRE=m|CAS=n
vint	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
morteus	mortel	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
entent	entendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
mos	mot	NOMcom	NOMB.=p|GENRE=m|CAS=n
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
duc	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
morte	morir	VERppe	NOMB.=s|GENRE=f|CAS=r
mesure	mesure	NOMcom	NOMB.=s|GENRE=f|CAS=r
desconforte	desconforter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
las	las	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
douce	douz	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
amor	amor	NOMcom	NOMB.=s|GENRE=f|CAS=n
cortoise	cortois	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
meillor	meillor	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=c
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
loial	lëal	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
trichierres	trichëor	NOMcom	NOMB.=s|GENRE=m|CAS=n
desloial	deslëal	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
morte	morir	VERppe	NOMB.=s|GENRE=f|CAS=r
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
droiture	droiture	NOMcom	NOMB.=s|GENRE=f|CAS=n
tornast	torner	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
aventure	aventure	NOMcom	NOMB.=s|GENRE=f|CAS=n
eussiez	avoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=2|NOMB.=p
mal	mal1	NOMcom	NOMB.=s|GENRE=m|CAS=r
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r
aviez	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=2|NOMB.=p
loial	lëal	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
avez	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
prise	prendre	VERppe	NOMB.=s|GENRE=f|CAS=r
ferai	faire	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
justise	justice	NOMcom	NOMB.=s|GENRE=f|CAS=r
trahison	träison	NOMcom	NOMB.=s|GENRE=f|CAS=r
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
fete	faire	VERppe	NOMB.=s|GENRE=f|CAS=r
