form	lemma	POS	morph
Donc	donc	ADVgen	DEGRE=-
ne	ne1	ADVneg	MORPH=empty
valut	valoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=n
digneté	dignité	NOMcom	NOMB.=s|GENRE=f|CAS=n
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=n
force	force2	NOMcom	NOMB.=s|GENRE=f|CAS=n
ne	ne2	CONcoo	MORPH=empty
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=n
poesté	pöesté	NOMcom	NOMB.=s|GENRE=f|CAS=n
nient	nïent	ADVgen	DEGRE=-
plus	plus	ADVgen	DEGRE=c
que	que1	CONsub	MORPH=empty
de	de	PRE	MORPH=empty
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
vilain	vilain	NOMcom	NOMB.=s|GENRE=m|CAS=r
Ausi	aussi	ADVgen	DEGRE=-
revendra	revenir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
demain	demain	ADVgen	DEGRE=-
à	a3	PRE	MORPH=empty
cent	cent	DETcar	NOMB.=p|GENRE=m|CAS=r
princes	prince	NOMcom	NOMB.=p|GENRE=m|CAS=r
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
el	en1+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
monde	monde1	NOMcom	NOMB.=s|GENRE=m|CAS=r
La	le	DETdef	NOMB.=s|GENRE=f|CAS=n
mort	mort	NOMcom	NOMB.=s|GENRE=f|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
pierre	piere	NOMcom	NOMB.=s|GENRE=f|CAS=r
