form	lemma	POS	morph
medicines	medecine	NOMcom	NOMB.=p|GENRE=f|CAS=n
noisous	noisos	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
rueve	rover	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
chastier	chastiier	VERinf	MORPH=empty
perissent	perir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p
floibe	foible	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
corage	corage	NOMcom	NOMB.=s|GENRE=m|CAS=r
rueve	rover	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
conforter	conforter	VERinf	MORPH=empty
desperent	desperer	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p
merchit	merci	NOMcom	NOMB.=s|GENRE=f|CAS=r
malades	malade	NOMcom	NOMB.=p|GENRE=m|CAS=r
rueve	rover	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
recivoir	recevoir	VERinf	MORPH=empty
armes	ame	NOMcom	NOMB.=p|GENRE=f|CAS=n
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
malades	malade	ADJqua	NOMB.=p|GENRE=f|CAS=n|DEGRE=p
pechiés	pechié	NOMcom	NOMB.=p|GENRE=m|CAS=r
Soiés	estre1	VERcjg	MODE=imp|PERS.=2|NOMB.=p
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
patient	pacïent	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
noisous	noisos	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
malitios	malicïos	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
soiés	estre1	VERcjg	MODE=imp|PERS.=2|NOMB.=p
patient	pacïent	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
sofrant	sofrir	VERppa	NOMB.=s|GENRE=n|CAS=n
omme	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r
chastie	chastiier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
enmiedre	enmieudrer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
soventes	sovent	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
fois	foiz	NOMcom	NOMB.=p|GENRE=f|CAS=r
provochet	provochier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mal	mal1	NOMcom	NOMB.=s|GENRE=m|CAS=r
faire	faire	VERinf	MORPH=empty
Voiés	vëoir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
rende	rendre	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
mal	mal1	NOMcom	NOMB.=s|GENRE=m|CAS=r
mal	mal1	NOMcom	NOMB.=s|GENRE=m|CAS=r
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
enjoissiés	enjöir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
aions	avoir	VERcjg	MODE=imp|PERS.=1|NOMB.=p
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r
terriene	terrïen	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
puissiens	pöoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=p
biens	bien2	NOMcom	NOMB.=p|GENRE=m|CAS=r
mal	mal1	NOMcom	NOMB.=s|GENRE=m|CAS=r
sostenir	sostenir	VERinf	MORPH=empty
