form	lemma	POS	morph
Li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
pelerin	pelerin	NOMcom	NOMB.=p|GENRE=m|CAS=n
tuit	tot	PROind	NOMB.=p|GENRE=m|CAS=n
entendoient	entendre	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
au	a3+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
païs	päis	NOMcom	NOMB.=s|GENRE=m|CAS=r
tot	tot	ADVgen	NOMB.=s|GENRE=m|CAS=r
§encor	entor	ADVgen	DEGRE=-
voier	voiier2	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
tant	tant	ADVgen	DEGRE=-
que	que4	CONsub	MORPH=empty
deable	dïable	NOMcom	NOMB.=s|GENRE=m|CAS=n
en	en2	PROadv	MORPH=empty
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
choier	chëoir	VERinf	MORPH=empty
un	un	PROind	NOMB.=s|GENRE=m|CAS=r
en	en1	PRE	MORPH=empty
l	le	DETdef	NOMB.=s|GENRE=f|CAS=r
’	’	PONfbl	MORPH=empty
eive	aigue	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
si	si	ADVgen	DEGRE=-
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
perdirent	perdre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
.	.	PONfrt	MORPH=empty
A	a3	PRE	MORPH=empty
chore	xhore	NOMcom	NOMB.=s|GENRE=f|CAS=r
menois	manois	ADVgen	DEGRE=-
descendirent	descendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
,	,	PONfbl	MORPH=empty
car	car	CONcoo	MORPH=empty
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
un	un	PROind	NOMB.=p|GENRE=m|CAS=n
d	de	PRE	MORPH=empty
’	’	PONfbl	MORPH=empty
els	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
forment	forment2	ADVgen	DEGRE=-
ploroent	plorer	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
autre	autre	PROind	NOMB.=p|GENRE=m|CAS=n
lor	lor2	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r
temples	temple1	NOMcom	NOMB.=p|GENRE=f|CAS=r
tiroent	tirer	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
de	de	PRE	MORPH=empty
deul	duel	NOMcom	NOMB.=s|GENRE=m|CAS=r
dom	dont	PROrel	NOMB.=x|GENRE=x|CAS=x
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
perdu	perdre	VERppe	NOMB.=s|GENRE=m|CAS=r
avoient	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
.	.	PONfrt	MORPH=empty
Li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
notonnier	notonier	NOMcom	NOMB.=p|GENRE=m|CAS=n
molt	mout	ADVgen	DEGRE=-
entendoient	entendre	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
au	a3+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
peschier	peschier2	NOMcom	NOMB.=x|GENRE=x|CAS=x
,	,	PONfbl	MORPH=empty
si	se	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
peüssunt	pöoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=p
,	,	PONfbl	MORPH=empty
mes	mais1	CONcoo	MORPH=empty
onques	onque	ADVgen	DEGRE=-
por	por2	PRE	MORPH=empty
riens	rien	PROind	NOMB.=p|GENRE=f|CAS=r
qu	que2	PROrel	NOMB.=s|GENRE=f|CAS=r
’	’	PONfbl	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
seüssunt	savoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=p
trover	trover	VERinf	MORPH=empty
ne	ne2	CONcoo	MORPH=empty
pecheir	peschier2	VERinf	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
porent	pöoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
.	.	PONfrt	MORPH=empty
Tuit	tot	DETind	NOMB.=p|GENRE=m|CAS=n
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
pelerin	pelerin	NOMcom	NOMB.=p|GENRE=m|CAS=n
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
duel	duel	NOMcom	NOMB.=s|GENRE=m|CAS=r
orent	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
