form	lemma	POS	morph
rien	rien	NOMcom	NOMB.=s|GENRE=f|CAS=r
desdeigne	desdeignier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ad	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
main	main2	NOMcom	NOMB.=s|GENRE=f|CAS=r
levee	lever	VERppe	NOMB.=s|GENRE=f|CAS=r
halt	haut	NOMcom	NOMB.=s|GENRE=m|CAS=r
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Biau	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
salt	sauver	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
Alez	aler	VERcjg	MODE=imp|PERS.=2|NOMB.=p
conduie	conduire	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
demore	demore	NOMcom	NOMB.=s|GENRE=f|CAS=n
henuie	enoiier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
novels	novel	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
chevalier	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=n
part	partir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
oste	oste	NOMcom	NOMB.=s|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mere	mere	NOMcom	NOMB.=s|GENRE=f|CAS=r
venir	venir	VERinf	MORPH=empty
puisse	pöoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
mere	mere	NOMcom	NOMB.=s|GENRE=f|CAS=r
vive	vif	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
truisse	trover	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
met	metre2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
forez	forest	NOMcom	NOMB.=p|GENRE=f|CAS=r
soutaines	soutain2	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
terres	terre	NOMcom	NOMB.=p|GENRE=f|CAS=r
pleignes	plaindre	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
valez	vaslet	NOMcom	NOMB.=s|GENRE=m|CAS=n
reconoisseit	reconoistre	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
chevalche	chevauchier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
veit	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
chastel	chastel	NOMcom	NOMB.=s|GENRE=m|CAS=r
fort	fort	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
seiant	sëoir	VERppa	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
murs	mur	NOMcom	NOMB.=p|GENRE=m|CAS=r
voit	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
