form	lemma	POS	morph
amiraus	amiral	NOMcom	NOMB.=s|GENRE=m|CAS=n
foi	fuir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
volonté	volenté	NOMcom	NOMB.=s|GENRE=f|CAS=r
niés	nevo	NOMcom	NOMB.=s|GENRE=m|CAS=n
entra	entrer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
espee	espee	NOMcom	NOMB.=s|GENRE=f|CAS=r
treite	traire	VERppe	NOMB.=s|GENRE=f|CAS=r
conpagnion	compagnon	NOMcom	NOMB.=p|GENRE=m|CAS=n
ocisdrent	ocire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
crestiens	crestiien	NOMcom	NOMB.=p|GENRE=m|CAS=r
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
mort	morir	VERppe	NOMB.=s|GENRE=m|CAS=r
numbre	nombre	NOMcom	NOMB.=s|GENRE=m|CAS=r
furent	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
seveli	sevelir	VERppe	NOMB.=p|GENRE=m|CAS=n
iglise	eglise	NOMcom	NOMB.=s|GENRE=f|CAS=r
sainz	saint	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
fit	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
enor	onor	NOMcom	NOMB.=s|GENRE=x|CAS=r
saint	saint	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
fit	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
chapele	chapele	NOMcom	NOMB.=s|GENRE=f|CAS=r
Saint	saint	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
pui	pui	NOMcom	NOMB.=s|GENRE=m|CAS=r
furent	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
seveli	sevelir	VERppe	NOMB.=p|GENRE=m|CAS=n
amor	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r
barons	baron	NOMcom	NOMB.=p|GENRE=m|CAS=r
